"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210030 Aldeias Altas";-;-;-;7;4;-;-;-;-;-;-;-;11
"210047 Alto Alegre do Pindaré";12;3;1;5;3;2;1;4;2;-;1;-;34
"210050 Alto Parnaíba";1;1;3;2;14;2;-;1;-;-;1;2;27
"210060 Amarante do Maranhão";-;-;-;-;2;-;-;-;-;-;-;-;2
"210070 Anajatuba";-;-;-;-;-;-;-;1;-;-;-;-;1
"210080 Anapurus";-;-;1;44;14;1;-;-;-;-;-;-;60
"210083 Apicum-Açu";-;-;-;1;-;-;-;1;-;-;-;-;2
"210095 Arame";-;2;-;1;5;2;2;-;-;-;-;2;14
"210120 Bacabal";1;-;-;-;-;-;-;-;-;-;-;-;1
"210125 Bacabeira";-;-;2;-;1;-;-;-;-;-;-;-;3
"210130 Bacuri";-;-;-;-;1;-;-;-;-;-;-;-;1
"210140 Balsas";2;2;3;5;-;1;-;2;-;-;1;-;16
"210160 Barra do Corda";65;28;46;61;58;19;16;16;26;36;16;12;399
"210170 Barreirinhas";-;-;-;1;-;-;-;-;-;-;-;-;1
"210180 Benedito Leite";-;1;-;-;-;-;-;-;-;-;-;-;1
"210190 Bequimão";-;-;-;-;-;1;-;-;-;-;-;-;1
"210200 Bom Jardim";-;-;1;1;2;1;-;-;-;-;-;-;5
"210220 Buriti";1;-;-;-;-;-;-;-;-;-;-;-;1
"210230 Buriti Bravo";-;-;-;2;-;-;-;-;-;-;-;-;2
"210232 Buriticupu";3;1;-;-;-;-;-;-;-;-;-;-;4
"210235 Buritirana";1;-;-;-;-;-;-;-;-;-;1;-;2
"210255 Campestre do Maranhão";1;1;1;1;1;-;-;1;1;-;1;-;8
"210275 Capinzal do Norte";-;-;-;-;-;-;-;-;1;-;-;-;1
"210280 Carolina";-;-;1;7;4;2;-;-;-;-;-;-;14
"210300 Caxias";-;1;2;15;115;42;1;1;3;2;1;2;185
"210320 Chapadinha";1;-;-;24;1;-;-;-;-;-;-;-;26
"210325 Cidelândia";-;-;-;-;2;-;-;-;-;-;-;-;2
"210360 Coroatá";4;-;-;4;1;-;-;-;-;-;-;-;9
"210370 Cururupu";-;-;-;-;-;1;-;-;-;-;-;-;1
"210390 Duque Bacelar";-;-;1;-;-;-;-;-;-;-;-;-;1
"210400 Esperantinópolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"210405 Estreito";-;1;-;9;-;-;-;-;-;-;-;-;10
"210407 Feira Nova do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210408 Fernando Falcão";-;-;-;-;-;-;-;-;-;-;-;1;1
"210409 Formosa da Serra Negra";-;1;-;1;1;-;-;-;-;-;-;-;3
"210410 Fortaleza dos Nogueiras";1;-;-;6;1;-;-;-;-;-;-;-;8
"210420 Fortuna";-;-;1;-;-;-;-;-;-;-;-;-;1
"210450 Governador Archer";2;-;-;-;-;-;-;-;-;-;-;-;2
"210455 Governador Edison Lobão";-;-;-;2;8;6;6;4;3;3;-;2;34
"210462 Governador Luiz Rocha";-;-;4;-;-;-;-;1;-;-;-;-;5
"210465 Governador Newton Bello";-;3;-;1;-;-;-;-;-;-;-;-;4
"210467 Governador Nunes Freire";-;-;6;1;-;1;-;-;1;-;-;-;9
"210480 Grajaú";-;-;1;1;-;-;-;-;-;1;-;-;3
"210500 Humberto de Campos";1;1;-;1;1;-;1;-;-;1;-;-;6
"210515 Igarapé do Meio";-;1;-;1;-;-;-;-;-;-;-;-;2
"210520 Igarapé Grande";-;1;-;-;2;-;-;-;-;-;-;-;3
"210530 Imperatriz";12;6;5;11;1;1;-;6;-;-;-;2;44
"210540 Itapecuru Mirim";-;-;3;2;24;-;-;-;-;-;-;1;30
"210542 Itinga do Maranhão";1;-;1;2;-;-;-;-;-;-;1;-;5
"210570 Lago da Pedra";-;1;-;-;-;-;-;-;-;-;-;1;2
"210592 Lagoa do Mato";1;-;-;-;-;-;-;-;-;-;-;-;1
"210596 Lagoa Grande do Maranhão";3;-;2;7;1;1;2;-;-;-;-;-;16
"210598 Lajeado Novo";-;-;1;-;-;-;-;-;-;-;-;-;1
"210632 Maracaçumé";8;9;32;21;11;2;1;-;-;-;-;-;84
"210660 Matões";-;1;-;-;-;-;-;-;-;-;-;-;1
"210663 Matões do Norte";-;-;-;1;-;-;-;-;-;-;-;-;1
"210675 Miranda do Norte";5;12;1;-;1;-;-;-;-;-;-;-;19
"210700 Montes Altos";2;-;1;1;1;-;-;-;-;-;-;-;5
