"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;-;-;-;-;-;1;-;-;-;-;-;1
"130010 Anori";-;-;-;-;-;-;-;-;-;2;2;-;4
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;-;-;1;-;1
"130040 Barcelos";10;2;1;3;3;1;2;-;-;-;2;-;24
"130060 Benjamin Constant";-;-;-;-;-;-;-;-;-;1;2;2;5
"130070 Boca do Acre";1;-;3;-;-;-;-;-;-;-;2;5;11
"130080 Borba";3;7;6;-;2;-;-;-;-;-;5;7;30
"130110 Careiro";4;4;2;1;-;1;2;-;-;-;2;-;16
"130115 Careiro da Várzea";-;-;-;-;1;-;2;-;-;-;-;-;3
"130120 Coari";7;13;1;2;-;3;1;-;-;-;-;1;28
"130130 Codajás";11;2;1;-;-;-;-;-;1;-;-;-;15
"130170 Humaitá";1;2;7;8;5;8;13;1;-;1;6;8;60
"130190 Itacoatiara";-;-;2;-;-;-;-;1;1;1;-;4;9
"130195 Itamarati";-;-;-;-;-;-;-;-;1;-;-;-;1
"130210 Japurá";-;2;-;-;-;-;-;-;-;-;-;-;2
"130240 Lábrea";1;-;3;3;2;-;1;-;2;3;1;-;16
"130250 Manacapuru";44;21;4;-;-;-;-;-;-;-;1;29;99
"130260 Manaus";534;1012;289;155;144;210;237;154;148;150;253;500;3786
"130270 Manicoré";10;14;1;-;2;-;-;-;-;-;-;1;28
"130280 Maraã";-;-;-;-;-;-;1;-;-;-;-;-;1
"130290 Maués";-;-;-;-;-;1;-;-;1;1;-;-;3
"130320 Novo Airão";-;-;-;-;-;-;-;-;-;-;-;1;1
"130330 Novo Aripuanã";6;9;4;1;-;-;-;-;-;-;-;-;20
"130340 Parintins";-;-;-;-;-;-;-;-;-;-;1;-;1
"130353 Presidente Figueiredo";-;5;1;-;-;-;-;-;-;-;-;-;6
"130380 São Gabriel da Cachoeira";270;113;91;29;36;28;33;23;28;9;17;37;714
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;-;-;2;-;-;2
"130406 Tabatinga";4;2;1;2;-;2;2;16;26;111;141;107;414
"130420 Tefé";11;9;3;10;10;2;1;1;-;-;-;-;47
"Total";917;1217;420;214;205;256;296;196;208;281;436;702;5348
