"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170025 Abreulândia";-;2;-;-;3;12;-;-;-;-;-;-;17
"170030 Aguiarnópolis";-;1;4;-;2;1;-;-;-;-;1;-;9
"170040 Almas";-;-;-;1;-;-;-;-;-;-;-;-;1
"170070 Alvorada";-;-;-;-;-;-;-;-;-;-;-;1;1
"170100 Ananás";-;1;1;-;-;-;-;-;-;-;1;-;3
"170105 Angico";-;1;-;-;-;-;-;-;-;-;-;-;1
"170110 Aparecida do Rio Negro";-;-;1;1;-;-;-;-;1;-;-;-;3
"170130 Aragominas";-;2;-;2;-;1;-;-;-;-;-;-;5
"170190 Araguacema";6;-;-;-;-;-;-;-;-;-;-;-;6
"170200 Araguaçu";162;68;46;13;8;2;5;-;-;3;4;21;332
"170210 Araguaína";30;44;61;47;67;44;31;37;26;25;35;52;499
"170215 Araguanã";1;2;-;-;1;-;-;-;-;1;-;3;8
"170220 Araguatins";11;6;-;1;3;1;-;1;-;1;1;-;25
"170230 Arapoema";-;-;1;-;-;-;-;-;-;-;-;1;2
"170240 Arraias";5;5;1;-;-;2;1;-;-;3;3;4;24
"170255 Augustinópolis";-;-;1;-;-;-;2;-;-;1;-;-;4
"170290 Axixá do Tocantins";1;1;1;-;-;-;-;-;-;-;-;-;3
"170300 Babaçulândia";-;-;2;1;-;1;2;-;-;-;1;-;7
"170305 Bandeirantes do Tocantins";3;-;1;-;-;1;-;-;1;-;-;1;7
"170307 Barra do Ouro";-;-;-;-;-;-;-;-;-;-;1;1;2
"170310 Barrolândia";3;-;5;2;-;-;-;-;-;-;-;4;14
"170320 Bernardo Sayão";-;-;-;1;2;5;1;-;-;-;-;-;9
"170330 Bom Jesus do Tocantins";-;-;1;2;-;1;-;-;1;-;-;-;5
"170360 Brasilândia do Tocantins";2;-;-;-;-;-;-;-;-;-;-;1;3
"170382 Cachoeirinha";-;1;-;-;-;-;-;-;-;-;-;-;1
"170384 Campos Lindos";-;1;2;-;-;-;-;-;1;1;-;-;5
"170386 Cariri do Tocantins";2;4;6;-;1;2;1;-;-;-;-;-;16
"170388 Carmolândia";-;-;-;-;-;-;-;1;-;-;1;-;2
"170390 Caseara";1;-;-;-;1;-;-;-;-;-;-;-;2
"170510 Chapada da Natividade";-;-;-;1;1;-;-;-;-;-;-;-;2
"170460 Chapada de Areia";1;-;-;2;1;1;1;-;-;-;-;-;6
"170550 Colinas do Tocantins";5;1;4;-;2;2;1;3;-;3;2;18;41
"171670 Colméia";1;1;-;3;5;-;-;-;-;1;-;-;11
"170555 Combinado";-;-;1;2;-;1;1;-;-;-;-;-;5
"170560 Conceição do Tocantins";-;-;-;-;-;-;-;1;-;-;-;-;1
"170610 Cristalândia";1;-;-;-;1;1;-;-;-;-;-;-;3
"170650 Darcinópolis";2;-;2;1;-;-;-;1;-;1;-;-;7
"170700 Dianópolis";-;-;2;-;2;2;1;-;-;-;-;2;9
"170710 Divinópolis do Tocantins";4;2;2;3;4;5;-;-;1;-;5;3;29
"170720 Dois Irmãos do Tocantins";6;2;-;1;1;-;-;-;-;-;-;3;13
"170740 Esperantina";-;-;-;-;1;-;-;-;-;-;-;-;1
"170755 Fátima";1;-;2;1;-;1;-;-;-;-;-;1;6
"170770 Filadélfia";1;-;1;-;-;-;1;-;-;-;-;2;5
"170820 Formoso do Araguaia";8;3;14;54;57;10;-;2;1;1;2;2;154
"170825 Fortaleza do Tabocão";-;3;3;2;3;1;-;1;-;-;-;-;13
"170830 Goianorte";-;-;4;-;1;1;-;-;1;-;-;2;9
"170900 Goiatins";2;3;4;3;1;-;1;1;-;-;-;-;15
"170930 Guaraí";7;8;19;3;3;6;1;-;-;1;-;-;48
"170950 Gurupi";15;8;13;8;2;1;-;-;-;1;1;2;51
"170980 Ipueiras";-;-;-;1;-;-;-;-;-;-;-;-;1
"171050 Itacajá";19;2;1;3;1;-;-;-;1;-;-;3;30
"171070 Itaguatins";2;-;2;2;1;-;-;-;-;-;-;-;7
"171090 Itapiratins";-;-;-;-;-;-;-;-;-;-;1;-;1
"171110 Itaporã do Tocantins";2;-;1;-;-;-;-;-;-;-;-;-;3
"171180 Juarina";-;-;-;-;-;-;-;-;-;1;-;-;1
"171190 Lagoa da Confusão";2;6;3;2;3;-;-;-;1;-;-;3;20
"171195 Lagoa do Tocantins";1;1;-;-;1;-;-;1;1;-;1;-;6
"171200 Lajeado";-;-;-;-;1;-;-;-;-;-;-;-;1
"171215 Lavandeira";-;-;-;-;-;-;1;5;1;1;3;-;11
"171240 Lizarda";-;-;1;-;-;-;1;-;-;-;-;-;2
"171245 Luzinópolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"171250 Marianópolis do Tocantins";-;1;-;3;-;5;-;-;-;-;-;-;9
"171280 Maurilândia do Tocantins";-;-;4;1;-;-;-;-;-;-;-;-;5
"171320 Miracema do Tocantins";24;5;9;4;3;-;-;1;-;1;1;3;51
"171330 Miranorte";38;20;11;6;5;3;2;2;-;1;2;5;95
"171395 Muricilândia";2;3;1;-;-;-;-;-;-;-;-;-;6
"171420 Natividade";-;-;1;-;-;-;-;-;-;-;-;-;1
"171430 Nazaré";1;-;-;-;-;2;-;-;-;-;-;-;3
"171488 Nova Olinda";-;1;4;1;-;-;-;-;-;-;-;-;6
"171500 Nova Rosalândia";-;-;-;1;-;1;-;1;-;-;1;-;4
"171510 Novo Acordo";-;-;1;-;1;-;-;-;-;-;-;-;2
"171515 Novo Alegre";-;-;-;2;1;-;-;-;-;-;-;-;3
"171525 Novo Jardim";-;-;1;-;5;4;-;1;1;1;1;2;16
"171550 Oliveira de Fátima";1;-;-;-;-;-;-;-;-;-;1;-;2
"172100 Palmas";148;194;157;116;114;117;46;45;35;73;83;141;1269
"171380 Palmeiras do Tocantins";-;-;-;2;-;-;-;-;-;-;-;-;2
"171575 Palmeirópolis";3;3;-;7;3;1;-;-;1;7;7;5;37
"171610 Paraíso do Tocantins";16;10;13;23;30;24;8;5;3;7;6;14;159
"171620 Paranã";6;9;1;4;4;1;-;-;-;-;-;-;25
"171630 Pau D'Arco";-;-;-;-;-;1;-;-;-;-;1;-;2
"171650 Pedro Afonso";1;3;1;-;1;-;-;-;-;-;-;4;10
"171660 Peixe";11;2;-;6;-;-;-;-;-;-;-;-;19
"171700 Pindorama do Tocantins";2;-;-;-;-;-;-;-;-;-;-;-;2
"171720 Piraquê";-;-;-;-;1;-;-;-;-;1;-;1;3
"171750 Pium";-;1;28;3;3;3;-;-;-;-;3;4;45
"171780 Ponte Alta do Bom Jesus";-;-;-;-;2;-;-;-;-;-;-;1;3
"171790 Ponte Alta do Tocantins";-;-;1;2;-;2;3;-;-;-;-;-;8
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"171820 Porto Nacional";6;8;8;14;18;2;-;-;-;2;2;2;62
"171840 Presidente Kennedy";-;-;2;-;-;-;-;1;-;-;1;-;4
"171845 Pugmil";-;2;4;1;-;-;-;-;1;-;-;1;9
"171855 Riachinho";-;-;1;-;-;-;-;-;-;-;-;-;1
"171865 Rio da Conceição";-;-;-;-;-;1;1;-;-;-;-;-;2
"171870 Rio dos Bois";-;2;-;-;-;-;-;1;-;1;1;-;5
"171875 Rio Sono";1;1;1;-;-;-;-;-;-;-;-;3;6
"171880 Sampaio";-;-;1;-;-;-;-;-;-;-;-;-;1
"171884 Sandolândia";19;16;2;-;5;1;-;-;-;1;-;2;46
"171886 Santa Fé do Araguaia";1;-;4;-;-;1;-;-;1;-;-;1;8
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-;1;1;-;-;-;2
"172010 São Bento do Tocantins";-;2;-;-;-;-;-;-;-;-;-;-;2
"172015 São Félix do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"172020 São Miguel do Tocantins";-;-;3;-;-;-;-;-;-;-;-;-;3
"172025 São Salvador do Tocantins";3;1;1;1;1;-;-;-;-;-;-;-;7
"172049 São Valério";-;-;-;1;-;-;-;-;-;-;-;1;2
"172065 Silvanópolis";-;-;-;-;2;1;-;-;-;-;-;-;3
"172080 Sítio Novo do Tocantins";1;1;-;4;4;2;-;1;-;-;-;-;13
"172085 Sucupira";-;-;-;-;-;-;-;-;-;1;-;-;1
"172090 Taguatinga";-;2;-;-;2;1;1;2;-;-;-;-;8
"172093 Taipas do Tocantins";-;-;1;4;-;1;-;-;-;-;-;-;6
"172097 Talismã";-;11;13;3;17;26;3;-;-;-;1;1;75
"172110 Tocantínia";7;1;2;4;11;3;3;2;1;3;2;2;41
"172120 Tocantinópolis";6;22;18;10;10;12;2;2;-;2;-;-;84
"172125 Tupirama";1;-;5;-;-;-;-;-;-;-;-;-;6
"172208 Wanderlândia";-;-;-;1;1;-;-;-;-;-;-;-;2
"172210 Xambioá";-;-;-;1;-;-;-;-;-;-;-;-;1
"Total";606;500;512;388;424;320;121;119;81;146;176;325;3718
