"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170025 Abreulândia";2;-;2;-;2;1;-;-;-;-;-;-;7
"170030 Aguiarnópolis";2;2;22;34;14;4;2;1;-;-;-;-;81
"170035 Aliança do Tocantins";1;2;1;-;-;-;-;-;-;-;-;-;4
"170040 Almas";2;1;1;2;-;-;-;-;-;-;-;-;6
"170070 Alvorada";-;-;1;1;-;-;-;-;-;-;-;-;2
"170100 Ananás";-;-;-;2;1;1;-;5;-;-;-;-;9
"170110 Aparecida do Rio Negro";-;1;-;-;-;-;-;5;1;7;2;1;17
"170130 Aragominas";-;-;-;1;-;-;-;1;3;7;8;3;23
"170190 Araguacema";-;-;-;-;-;-;1;-;-;-;-;-;1
"170200 Araguaçu";13;16;27;49;94;34;17;14;19;37;17;3;340
"170210 Araguaína";64;77;120;88;99;39;24;11;11;12;15;3;563
"170215 Araguanã";2;22;17;9;5;5;3;-;-;-;1;-;64
"170220 Araguatins";7;11;13;10;9;3;3;1;2;1;-;-;60
"170230 Arapoema";-;1;1;1;-;1;-;-;-;-;-;-;4
"170240 Arraias";1;2;3;1;-;-;-;-;-;-;-;-;7
"170255 Augustinópolis";12;1;12;-;19;1;-;-;-;-;-;3;48
"170290 Axixá do Tocantins";3;4;5;5;6;-;1;1;-;-;1;1;27
"170300 Babaçulândia";-;1;1;-;2;-;-;-;-;-;-;-;4
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-;1;-;-;-;-;1
"170307 Barra do Ouro";-;5;2;-;-;-;-;-;-;-;-;-;7
"170320 Bernardo Sayão";1;1;-;-;-;-;-;-;-;-;1;-;3
"170360 Brasilândia do Tocantins";3;2;3;-;2;1;-;1;-;-;-;-;12
"170370 Brejinho de Nazaré";-;-;-;1;-;-;-;-;-;-;-;-;1
"170380 Buriti do Tocantins";8;5;3;1;4;-;-;-;-;-;-;-;21
"170382 Cachoeirinha";6;9;24;17;24;5;3;-;1;-;-;-;89
