DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2009
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 Cacoal";-;-;-;-;-;-;-;-;-;-;-;1;1
"110070 Campo Novo de Rondônia";-;-;1;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";-;1;-;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;-;-;-;-;-;-;-;-;-;1;-;1
"110030 Vilhena";-;-;-;-;-;-;-;-;-;-;-;1;1
"150060 Altamira";-;-;-;-;-;-;-;-;-;-;-;1;1
"150360 Itaituba";1;-;-;-;-;-;-;-;-;-;-;-;1
"150730 São Félix do Xingu";-;-;-;-;-;-;-;-;-;-;1;-;1
"172100 Palmas";-;-;-;-;-;1;-;-;-;-;-;-;1
"291955 Luís Eduardo Magalhães";-;-;-;-;-;-;-;-;-;-;1;-;1
"410480 Cascavel";-;-;-;-;-;-;-;-;-;-;1;-;1
"410650 Coronel Vivida";-;-;-;-;-;-;-;-;-;-;-;1;1
"431180 Marau";-;-;-;-;-;-;-;-;-;-;-;1;1
"510010 Acorizal";-;1;3;3;-;-;-;-;-;-;2;1;10
"510020 Água Boa";2;1;15;44;32;12;1;-;-;1;2;4;114
"510025 Alta Floresta";-;-;1;1;4;3;9;13;17;28;105;63;244
"510030 Alto Araguaia";-;-;4;6;2;2;-;-;-;1;1;6;22
"510035 Alto Boa Vista";1;1;-;-;-;-;-;2;-;-;-;-;4
"510040 Alto Garças";-;-;-;-;-;-;5;2;1;7;63;10;88
"510050 Alto Paraguai";-;-;-;1;2;-;-;-;-;-;-;1;4
"510100 Araguaiana";-;-;1;-;1;-;-;-;-;-;2;12;16
"510125 Araputanga";-;5;14;25;22;11;9;3;4;17;76;216;402
"510130 Arenápolis";1;8;10;54;64;12;4;-;-;3;1;2;159
"510140 Aripuanã";4;16;9;8;4;7;43;164;189;415;399;214;1472
"510160 Barão de Melgaço";-;-;-;-;-;-;-;-;-;-;1;-;1
"510170 Barra do Bugres";3;7;46;70;53;16;22;13;10;3;8;13;264
"510180 Barra do Garças";27;47;219;216;253;82;26;14;5;39;402;1042;2372
"510190 Brasnorte";14;6;2;7;1;1;-;-;-;1;2;3;37
"510250 Cáceres";19;119;440;308;172;11;11;12;55;258;1058;369;2832
"510260 Campinápolis";1;2;3;3;13;3;-;-;-;-;-;2;27
"510263 Campo Novo do Parecis";13;13;19;32;81;40;30;55;125;72;57;35;572
"510267 Campo Verde";-;-;3;9;1;2;-;1;-;4;37;64;121
"510268 Campos de Júlio";-;-;-;2;2;-;1;1;1;-;2;8;17
"510270 Canarana";35;60;86;58;46;7;-;1;-;-;8;7;308
"510279 Carlinda";1;-;-;-;1;-;1;3;3;-;3;3;15
"510285 Castanheira";-;1;15;1;5;2;-;-;-;-;6;9;39
"510300 Chapada dos Guimarães";-;-;1;5;3;1;2;1;-;-;6;3;22
"510305 Cláudia";-;1;20;4;2;1;-;-;1;1;18;24;72
"510310 Cocalinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"510320 Colíder";4;1;4;1;4;3;4;38;137;189;1296;619;2300
"510325 Colniza";-;-;4;1;1;-;-;-;-;3;35;188;232
"510330 Comodoro";5;16;17;16;33;15;1;2;-;-;3;22;130
"510335 Confresa";58;26;14;6;13;3;-;1;1;-;1;1;124
"510336 Conquista D'Oeste";-;2;36;13;13;1;-;-;-;3;27;13;108
"510337 Cotriguaçu";1;-;-;-;-;-;-;-;-;-;-;-;1
"510340 Cuiabá";67;192;625;4642;3247;881;406;158;67;96;413;853;11647
"510343 Curvelândia";-;10;2;3;6;11;-;-;-;-;1;5;38
"510345 Denise";-;-;-;3;2;2;1;-;1;-;17;16;42
