DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2019
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"110030 Vilhena";1;-;-;-;1
"150060 Altamira";1;-;-;-;1
"210160 Barra do Corda";1;-;-;-;1
"210990 Santa Inês";1;-;-;-;1
"310350 Araguari";1;-;-;-;1
"350550 Barretos";2;-;-;-;2
"355030 São Paulo";2;-;-;-;2
"410860 Goioerê";1;-;-;-;1
"500100 Aparecida do Taboado";1;-;-;-;1
"500270 Campo Grande";4;-;1;-;5
"500325 Costa Rica";2;-;-;-;2
"500370 Dourados";3;-;-;-;3
"510020 Água Boa";84;-;-;-;84
"510025 Alta Floresta";125;-;-;-;125
"510030 Alto Araguaia";189;-;-;-;189
"510035 Alto Boa Vista";6;-;-;-;6
"510040 Alto Garças";8;-;-;-;8
"510060 Alto Taquari";152;-;-;-;152
"510100 Araguaiana";51;-;-;-;51
"510120 Araguainha";33;-;-;-;33
"510125 Araputanga";9;-;-;-;9
"510130 Arenápolis";13;-;-;-;13
"510140 Aripuanã";45;-;-;-;45
"510160 Barão de Melgaço";2;1;-;-;3
"510170 Barra do Bugres";48;-;-;-;48
"510180 Barra do Garças";29;-;-;-;29
"510185 Bom Jesus do Araguaia";70;-;-;19;89
"510190 Brasnorte";5;-;-;-;5
"510250 Cáceres";29;-;-;-;29
"510260 Campinápolis";41;-;-;-;41
"510263 Campo Novo do Parecis";20;-;-;-;20
"510267 Campo Verde";83;1;-;-;84
"510268 Campos de Júlio";41;-;1;-;42
"510269 Canabrava do Norte";64;-;-;-;64
"510270 Canarana";226;-;-;-;226
"510279 Carlinda";3;1;-;-;4
"510300 Chapada dos Guimarães";2;-;-;-;2
"510305 Cláudia";115;-;-;-;115
"510310 Cocalinho";334;-;-;-;334
"510320 Colíder";48;-;-;-;48
"510325 Colniza";461;5;-;-;466
"510330 Comodoro";123;-;-;-;123
"510335 Confresa";558;7;-;-;565
"510337 Cotriguaçu";38;-;-;-;38
"510340 Cuiabá";441;1;1;-;443
"510345 Denise";2;-;-;-;2
"510350 Diamantino";46;-;-;-;46
"510360 Dom Aquino";3;-;-;-;3
"510370 Feliz Natal";8;2;-;-;10
"510385 Gaúcha do Norte";17;-;-;-;17
"510390 General Carneiro";22;-;-;-;22
"510395 Glória D'Oeste";1;-;-;-;1
"510410 Guarantã do Norte";342;4;-;-;346
"510420 Guiratinga";3;-;-;-;3
"510450 Indiavaí";1;-;-;-;1
"510452 Ipiranga do Norte";49;-;-;-;49
"510454 Itanhangá";6;-;-;-;6
"510455 Itaúba";16;-;-;-;16
"510460 Itiquira";94;-;-;-;94
"510480 Jaciara";27;-;-;-;27
"510490 Jangada";4;-;-;-;4
"510510 Juara";43;-;-;-;43
"510515 Juína";11;-;-;-;11
"510520 Juscimeira";2;-;-;-;2
"510523 Lambari D'Oeste";6;-;-;-;6
"510525 Lucas do Rio Verde";217;-;1;-;218
"510558 Marcelândia";7;-;-;-;7
"510560 Matupá";58;-;-;-;58
"510562 Mirassol d'Oeste";28;-;-;-;28
"510590 Nobres";13;-;-;-;13
"510600 Nortelândia";13;-;-;-;13
"510610 Nossa Senhora do Livramento";2;-;-;-;2
"510621 Nova Canaã do Norte";56;-;-;-;56
"510880 Nova Guarita";1;-;-;-;1
"510618 Nova Lacerda";1;1;-;-;2
"510890 Nova Maringá";21;-;-;-;21
"510895 Nova Monte Verde";6;-;-;-;6
"510622 Nova Mutum";25;-;-;-;25
"510623 Nova Olímpia";7;1;-;-;8
"510619 Nova Santa Helena";6;-;-;-;6
"510624 Nova Ubiratã";4;-;-;-;4
"510625 Nova Xavantina";144;-;1;-;145
"510627 Novo Horizonte do Norte";1;-;-;-;1
"510626 Novo Mundo";3;1;-;-;4
"510631 Novo Santo Antônio";-;1;-;-;1
"510628 Novo São Joaquim";18;-;-;-;18
"510629 Paranaíta";36;1;-;-;37
"510630 Paranatinga";24;-;-;-;24
"510637 Pedra Preta";14;-;-;-;14
"510642 Peixoto de Azevedo";20;1;-;-;21
"510645 Planalto da Serra";21;-;-;-;21
"510650 Poconé";1;-;-;-;1
"510665 Pontal do Araguaia";40;-;-;-;40
"510670 Ponte Branca";1;-;-;-;1
"510675 Pontes e Lacerda";40;-;-;-;40
"510677 Porto Alegre do Norte";136;10;-;-;146
"510680 Porto dos Gaúchos";13;-;-;-;13
"510682 Porto Esperidião";1;-;-;-;1
"510685 Porto Estrela";3;-;-;-;3
"510700 Poxoréo";29;-;-;-;29
"510704 Primavera do Leste";195;1;-;-;196
"510706 Querência";48;-;-;-;48
"510715 Reserva do Cabaçal";3;-;-;-;3
"510718 Ribeirão Cascalheira";67;-;-;-;67
"510719 Ribeirãozinho";34;-;-;-;34
"510720 Rio Branco";55;1;-;-;56
"510760 Rondonópolis";270;3;-;-;273
"510775 Salto do Céu";13;-;-;-;13
"510724 Santa Carmem";3;-;-;-;3
"510774 Santa Cruz do Xingu";11;-;-;-;11
"510726 Santo Afonso";3;-;-;-;3
"510779 Santo Antônio do Leste";6;-;-;-;6
"510785 São Félix do Araguaia";8;2;-;-;10
"510729 São José do Povo";31;-;-;-;31
"510735 São José do Xingu";110;1;-;-;111
"510710 São José dos Quatro Marcos";8;-;-;-;8
"510787 Sapezal";66;-;-;-;66
"510790 Sinop";1112;-;1;-;1113
"510792 Sorriso";164;-;-;-;164
"510794 Tabaporã";31;-;-;-;31
"510795 Tangará da Serra";258;-;20;-;278
"510800 Tapurah";42;-;-;-;42
"510805 Terra Nova do Norte";4;-;-;-;4
"510810 Tesouro";-;1;-;-;1
"510820 Torixoréu";146;-;-;-;146
"510830 União do Sul";25;-;-;-;25
"510835 Vale de São Domingos";6;-;-;-;6
"510840 Várzea Grande";140;-;2;-;142
"510850 Vera";73;-;-;-;73
"510550 Vila Bela da Santíssima Trindade";15;-;-;-;15
"510860 Vila Rica";1;-;-;-;1
"520250 Aruanã";1;-;-;-;1
"520450 Caldas Novas";1;-;-;-;1
"520870 Goiânia";2;-;-;-;2
"520995 Indiara";1;-;-;-;1
"521720 Piranhas";1;-;-;-;1
"521810 Portelândia";1;-;-;-;1
"530010 Brasília";2;-;-;-;2
"000000 Ignorado ou exterior";2800;22;8;-;2830
"Total";10986;69;36;19;11110
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
