DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110006 Colorado do Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";-;1;-;-;-;-;-;-;-;-;-;-;1
"150140 Belém";1;-;-;-;-;-;-;-;-;-;-;-;1
"150360 Itaituba";-;-;-;-;-;-;-;-;-;-;-;1;1
"210160 Barra do Corda";1;-;-;-;-;-;-;-;-;-;-;-;1
"210910 Presidente Dutra";-;-;-;-;1;-;-;-;-;-;-;-;1
"211125 São José dos Basílios";1;-;-;-;-;-;-;-;-;-;-;-;1
"411580 Medianeira";1;-;-;-;-;-;-;-;-;-;-;-;1
"510010 Acorizal";-;-;1;-;-;-;-;-;-;-;-;-;1
"510020 Água Boa";-;-;-;-;7;-;-;-;-;-;1;-;8
"510025 Alta Floresta";76;51;65;58;41;34;11;15;9;8;24;29;421
"510030 Alto Araguaia";1;3;4;9;3;1;-;-;-;-;-;-;21
"510040 Alto Garças";-;-;2;-;-;-;-;-;-;-;-;-;2
"510060 Alto Taquari";1;-;-;-;-;2;-;-;-;1;-;-;4
"510120 Araguainha";-;1;1;-;-;1;-;-;-;-;-;-;3
"510125 Araputanga";-;2;12;7;3;2;1;3;-;1;2;-;33
"510130 Arenápolis";7;4;3;2;1;-;-;-;-;-;-;-;17
"510140 Aripuanã";19;9;2;-;-;2;1;2;3;5;11;13;67
"510170 Barra do Bugres";5;2;-;2;-;2;-;-;-;-;-;1;12
"510180 Barra do Garças";1;2;-;-;-;1;-;-;-;-;-;-;4
"510190 Brasnorte";8;2;2;-;-;-;-;-;1;1;1;1;16
"510250 Cáceres";21;17;3;6;-;2;-;-;-;-;-;1;50
"510260 Campinápolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"510263 Campo Novo do Parecis";1;3;9;1;1;1;1;1;1;1;-;-;20
"510267 Campo Verde";4;6;3;-;-;4;5;7;4;1;2;1;37
"510268 Campos de Júlio";1;2;-;-;-;-;-;-;-;-;-;-;3
"510269 Canabrava do Norte";-;-;-;-;1;-;-;-;-;-;-;-;1
"510270 Canarana";4;8;6;1;-;-;-;1;-;-;-;1;21
"510279 Carlinda";1;2;-;2;-;-;-;-;-;-;7;1;13
"510285 Castanheira";2;2;2;-;-;1;1;-;-;-;-;-;8
"510300 Chapada dos Guimarães";-;2;-;-;-;-;1;-;-;-;-;1;4
"510305 Cláudia";-;-;-;1;2;2;-;-;3;3;-;-;11
"510310 Cocalinho";-;-;4;15;17;6;-;1;1;1;-;-;45
