DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2015
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170025 Abreulândia";-;-;-;-;-;-;1;-;-;-;-;-;1
"170030 Aguiarnópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"170035 Aliança do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"170040 Almas";-;-;-;1;1;-;1;-;-;-;-;3;6
"170070 Alvorada";-;-;-;2;-;1;-;-;-;-;1;-;4
"170100 Ananás";-;1;1;1;2;1;1;-;-;-;-;-;7
"170110 Aparecida do Rio Negro";-;-;2;1;6;-;-;-;-;1;-;1;11
"170130 Aragominas";-;1;1;-;-;-;1;-;-;-;3;11;17
"170190 Araguacema";-;-;-;2;-;1;-;-;-;-;-;-;3
"170200 Araguaçu";3;5;9;5;9;2;2;-;1;-;-;2;38
"170210 Araguaína";77;60;111;159;156;102;58;49;21;14;23;29;859
"170215 Araguanã";-;-;-;2;-;-;1;-;-;-;-;-;3
"170220 Araguatins";-;-;-;1;-;-;-;1;-;-;-;-;2
"170230 Arapoema";-;-;-;-;1;-;-;-;-;-;-;-;1
"170240 Arraias";3;-;-;8;12;2;-;-;-;-;-;-;25
"170255 Augustinópolis";1;2;2;1;-;-;-;-;-;-;-;-;6
"170290 Axixá do Tocantins";-;-;2;-;1;-;-;-;-;-;-;-;3
"170300 Babaçulândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"170310 Barrolândia";1;-;-;1;1;-;-;-;-;-;-;-;3
"170330 Bom Jesus do Tocantins";-;-;-;-;1;-;1;-;-;-;-;-;2
"170360 Brasilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"170370 Brejinho de Nazaré";-;5;-;1;6;-;1;-;-;-;-;-;13
"170380 Buriti do Tocantins";-;1;-;-;-;1;-;-;-;-;2;4;8
"170386 Cariri do Tocantins";-;-;-;-;-;-;-;-;-;1;-;1;2
"170388 Carmolândia";6;1;-;1;-;-;-;1;-;1;-;1;11
"170410 Centenário";-;1;-;-;-;-;-;-;-;-;-;-;1
"170460 Chapada de Areia";-;-;1;-;-;-;-;-;-;-;-;-;1
"170550 Colinas do Tocantins";-;-;1;1;-;2;1;1;-;-;-;-;6
"170555 Combinado";-;-;1;-;-;-;-;-;-;-;-;-;1
"170560 Conceição do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"170600 Couto Magalhães";1;-;-;-;3;2;-;-;-;-;-;-;6
