DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2015
"Município infecção";"Ign/Branco";"DEN 1";"DEN 4";"Total"
"110004 Cacoal";1;-;-;1
"110007 Corumbiara";1;-;-;1
"110030 Vilhena";1;-;-;1
"150170 Bragança";1;-;-;1
"150503 Novo Progresso";1;-;-;1
"150680 Santarém";1;-;-;1
"150805 Trairão";1;-;-;1
"240810 Natal";1;-;-;1
"292400 Paulo Afonso";1;-;-;1
"317020 Uberlândia";1;-;-;1
"352044 Ilha Solteira";1;-;-;1
"352900 Marília";2;-;-;2
"410070 Alto Piquiri";1;-;-;1
"420320 Camboriú";1;-;-;1
"431350 Osório";1;-;-;1
"500025 Alcinópolis";1;-;-;1
"500270 Campo Grande";4;-;-;4
"500290 Cassilândia";1;-;-;1
"500295 Chapadão do Sul";2;-;-;2
"500370 Dourados";1;-;-;1
"500430 Iguatemi";1;-;-;1
"510020 Água Boa";39;-;-;39
"510025 Alta Floresta";721;-;-;721
"510030 Alto Araguaia";115;1;-;116
"510040 Alto Garças";6;-;-;6
"510050 Alto Paraguai";1;-;-;1
"510060 Alto Taquari";107;-;-;107
"510100 Araguaiana";2;-;-;2
"510120 Araguainha";4;-;-;4
"510125 Araputanga";93;-;-;93
"510130 Arenápolis";8;1;-;9
"510140 Aripuanã";198;-;-;198
"510170 Barra do Bugres";16;-;-;16
"510180 Barra do Garças";103;-;-;103
"510185 Bom Jesus do Araguaia";18;-;-;18
"510190 Brasnorte";60;-;-;60
"510250 Cáceres";63;1;-;64
"510260 Campinápolis";25;1;-;26
"510263 Campo Novo do Parecis";826;5;-;831
"510267 Campo Verde";341;-;-;341
"510268 Campos de Júlio";26;-;-;26
"510269 Canabrava do Norte";4;-;-;4
"510270 Canarana";268;-;-;268
"510279 Carlinda";30;1;-;31
"510285 Castanheira";37;-;-;37
"510300 Chapada dos Guimarães";22;9;-;31
"510305 Cláudia";59;-;1;60
"510310 Cocalinho";168;1;-;169
"510320 Colíder";63;-;-;63
"510325 Colniza";832;-;-;832
"510330 Comodoro";33;-;-;33
"510335 Confresa";26;-;-;26
"510337 Cotriguaçu";52;-;-;52
"510340 Cuiabá";3347;2;-;3349
"510343 Curvelândia";2;-;-;2
"510345 Denise";1;-;-;1
"510350 Diamantino";6;-;-;6
"510360 Dom Aquino";4;-;-;4
"510370 Feliz Natal";47;-;-;47
"510380 Figueirópolis D'Oeste";2;-;-;2
"510385 Gaúcha do Norte";42;-;-;42
"510390 General Carneiro";1;-;-;1
"510395 Glória D'Oeste";-;1;-;1
"510410 Guarantã do Norte";232;-;-;232
"510420 Guiratinga";28;2;-;30
"510450 Indiavaí";4;-;-;4
"510452 Ipiranga do Norte";7;-;-;7
"510454 Itanhangá";73;-;-;73
"510455 Itaúba";98;-;-;98
"510460 Itiquira";9;-;-;9
"510480 Jaciara";161;-;-;161
"510490 Jangada";2;-;-;2
"510500 Jauru";11;-;-;11
"510510 Juara";296;-;-;296
"510515 Juína";93;-;-;93
"510517 Juruena";11;-;-;11
"510520 Juscimeira";16;-;-;16
"510523 Lambari D'Oeste";3;-;-;3
"510525 Lucas do Rio Verde";189;-;-;189
"510558 Marcelândia";90;-;-;90
"510560 Matupá";545;-;-;545
"510562 Mirassol d'Oeste";188;-;-;188
"510590 Nobres";21;-;-;21
"510600 Nortelândia";5;-;-;5
"510610 Nossa Senhora do Livramento";7;-;-;7
"510615 Nova Bandeirantes";4;1;-;5
"510620 Nova Brasilândia";5;-;-;5
"510621 Nova Canaã do Norte";28;1;-;29
"510880 Nova Guarita";25;-;-;25
"510618 Nova Lacerda";11;-;-;11
"510885 Nova Marilândia";1;-;-;1
"510890 Nova Maringá";9;-;-;9
"510895 Nova Monte Verde";5;-;-;5
"510622 Nova Mutum";279;6;-;285
"510623 Nova Olímpia";25;-;-;25
"510619 Nova Santa Helena";49;-;-;49
