DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2020
"Município infecção";"Ign/Branco";"DEN 1";"Total"
"210020 Alcântara";3;-;3
"210030 Aldeias Altas";1;-;1
"210043 Alto Alegre do Maranhão";1;-;1
"210050 Alto Parnaíba";30;-;30
"210055 Amapá do Maranhão";3;-;3
"210060 Amarante do Maranhão";11;-;11
"210080 Anapurus";7;-;7
"210120 Bacabal";3;-;3
"210125 Bacabeira";15;-;15
"210130 Bacuri";1;-;1
"210140 Balsas";49;-;49
"210150 Barão de Grajaú";1;-;1
"210160 Barra do Corda";427;-;427
"210193 Bernardo do Mearim";3;-;3
"210197 Boa Vista do Gurupi";1;-;1
"210207 Bom Lugar";2;-;2
"210210 Brejo";1;-;1
"210232 Buriticupu";1;-;1
"210235 Buritirana";2;-;2
"210240 Cajapió";1;-;1
"210280 Carolina";17;-;17
"210300 Caxias";4;-;4
"210315 Centro do Guilherme";1;-;1
"210320 Chapadinha";14;-;14
"210330 Codó";1;-;1
"210350 Colinas";14;-;14
"210390 Duque Bacelar";1;-;1
"210405 Estreito";6;-;6
"210407 Feira Nova do Maranhão";14;-;14
"210409 Formosa da Serra Negra";66;-;66
"210410 Fortaleza dos Nogueiras";102;-;102
"210420 Fortuna";1;-;1
"210455 Governador Edison Lobão";13;-;13
"210462 Governador Luiz Rocha";1;-;1
"210467 Governador Nunes Freire";2;-;2
"210530 Imperatriz";28;-;28
"210540 Itapecuru Mirim";6;-;6
"210542 Itinga do Maranhão";11;-;11
"210547 Jenipapo dos Vieiras";1;-;1
"210570 Lago da Pedra";20;-;20
"210590 Lago Verde";1;-;1
"210596 Lagoa Grande do Maranhão";2;-;2
"210598 Lajeado Novo";9;-;9
"210632 Maracaçumé";1;-;1
"210640 Mata Roma";1;-;1
"210650 Matinha";1;-;1
"210660 Matões";4;-;4
"210670 Mirador";2;-;2
"210675 Miranda do Norte";2;-;2
"210700 Montes Altos";4;-;4
"210725 Nova Colinas";29;-;29
"210745 Olinda Nova do Maranhão";1;-;1
"210750 Paço do Lumiar";3;-;3
"210790 Passagem Franca";1;-;1
"210800 Pastos Bons";21;-;21
"210820 Pedreiras";1;-;1
"210845 Peritoró";1;-;1
"210850 Pindaré-Mirim";1;-;1
"210860 Pinheiro";1;-;1
"210870 Pio XII";1;-;1
"210880 Pirapemas";2;-;2
"210890 Poção de Pedras";1;-;1
"210900 Porto Franco";2;-;2
"210910 Presidente Dutra";1;-;1
"210920 Presidente Juscelino";1;-;1
"210927 Presidente Sarney";23;-;23
"210945 Raposa";3;-;3
"210950 Riachão";14;-;14
"210960 Rosário";6;-;6
"210990 Santa Inês";3;-;3
"211000 Santa Luzia";2;-;2
"211003 Santa Luzia do Paruá";1;-;1
"211020 Santa Rita";5;-;5
"211027 Santo Amaro do Maranhão";1;-;1
"211040 São Benedito do Rio Preto";2;-;2
"211050 São Bento";1;-;1
"211070 São Domingos do Maranhão";1;-;1
"211085 São Francisco do Brejão";2;-;2
"211102 São João do Carú";2;-;2
"211105 São João do Paraíso";1;-;1
"211110 São João dos Patos";1;-;1
"211120 São José de Ribamar";39;-;39
"211130 São Luís";677;-;677
"211140 São Luís Gonzaga do Maranhão";1;-;1
"211150 São Mateus do Maranhão";4;-;4
"211160 São Raimundo das Mangabeiras";8;-;8
"211172 Satubinha";3;-;3
"211176 Senador La Rocque";5;-;5
"211190 Sucupira do Norte";1;-;1
"211200 Tasso Fragoso";59;-;59
"211210 Timbiras";1;-;1
"211220 Timon";9;-;9
"211230 Tuntum";1;-;1
"211240 Turiaçu";1;-;1
"211250 Tutóia";1;-;1
"211260 Urbano Santos";1;-;1
"211280 Viana";1;-;1
"211400 Zé Doca";15;-;15
"350190 Amparo";1;-;1
"000000 Ignorado ou exterior";731;2;733
"Total";2607;2;2609
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
