DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2015
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130260 Manaus";-;-;-;1;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;1;-;1;1;-;-;-;5;4;8;20
"150013 Abel Figueiredo";1;-;1;-;1;2;8;1;-;-;-;-;14
"150030 Afuá";-;-;-;2;-;-;1;-;-;-;1;-;4
"150040 Alenquer";1;-;28;54;39;12;16;13;7;13;12;15;210
"150060 Altamira";7;18;6;14;4;2;2;1;3;1;1;2;61
"150070 Anajás";-;-;-;1;-;-;-;-;-;-;-;-;1
"150080 Ananindeua";1;7;4;2;1;-;1;6;4;-;2;1;29
"150085 Anapu";-;-;1;1;1;-;-;-;-;-;2;-;5
"150090 Augusto Corrêa";-;-;1;1;4;7;4;-;-;2;-;1;20
"150095 Aurora do Pará";2;-;-;-;-;-;-;-;-;-;-;-;2
"150100 Aveiro";-;-;-;-;-;-;1;-;-;-;-;-;1
"150110 Bagre";-;-;-;5;16;26;-;1;-;1;-;1;50
"150125 Bannach";-;1;-;-;-;-;-;-;-;-;1;-;2
"150130 Barcarena";-;1;1;1;1;1;-;1;1;1;1;1;10
"150140 Belém";33;53;92;72;83;38;36;31;15;7;7;8;475
"150145 Belterra";-;-;-;-;9;2;1;-;-;-;-;-;12
"150150 Benevides";1;-;5;2;-;2;1;4;5;1;-;2;23
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-;-;1;-;-;-;1
"150160 Bonito";-;-;-;-;-;-;-;2;-;-;-;-;2
"150170 Bragança";-;1;2;-;1;-;-;1;-;-;2;2;9
"150172 Brasil Novo";3;16;30;39;32;16;21;11;10;6;-;-;184
"150175 Brejo Grande do Araguaia";-;-;12;1;-;-;-;1;-;-;2;1;17
"150178 Breu Branco";2;5;1;-;-;-;-;-;-;1;-;-;9
"150180 Breves";-;9;38;12;18;8;25;22;15;5;3;4;159
"150210 Cametá";1;2;1;-;5;2;5;3;1;4;1;-;25
"150215 Canaã dos Carajás";-;5;18;2;22;20;11;11;-;1;2;13;105
"150230 Capitão Poço";-;-;1;-;-;1;1;-;2;6;2;4;17
"150240 Castanhal";1;7;15;8;7;3;3;8;8;14;2;6;82
"150260 Colares";-;-;1;-;1;1;-;8;5;1;1;-;18
"150270 Conceição do Araguaia";-;-;-;-;2;-;-;-;-;-;-;-;2
"150276 Cumaru do Norte";-;1;-;-;-;-;-;-;-;-;-;-;1
"150277 Curionópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"150293 Dom Eliseu";-;-;-;1;1;2;-;-;-;-;-;-;4
"150310 Gurupá";-;3;3;-;-;-;-;-;-;-;-;-;6
"150320 Igarapé-Açu";-;-;-;-;-;-;-;-;1;-;1;1;3
"150330 Igarapé-Miri";-;-;4;2;-;-;-;-;-;1;-;-;7
"150340 Inhangapi";-;-;-;-;-;-;1;1;6;19;22;-;49
"150345 Ipixuna do Pará";-;1;-;-;-;-;-;1;-;-;-;1;3
"150350 Irituia";-;-;1;1;1;4;2;6;4;-;1;-;20
"150360 Itaituba";1;3;18;3;4;-;5;5;-;1;-;4;44
"150370 Itupiranga";2;-;1;4;8;1;1;11;6;-;2;1;37
"150380 Jacundá";-;-;3;2;2;1;-;-;2;-;-;3;13
"150390 Juruti";1;-;-;-;-;1;-;-;-;-;-;-;2
"150405 Mãe do Rio";-;-;3;1;-;-;-;1;1;-;-;-;6
"150420 Marabá";10;35;7;13;2;2;-;3;1;-;-;-;73
"150440 Marapanim";-;-;-;-;-;1;-;-;-;-;-;-;1
"150442 Marituba";-;4;7;2;2;6;-;-;-;-;3;7;31
"150445 Medicilândia";-;-;-;1;1;-;-;1;-;-;-;-;3
"150460 Mocajuba";-;-;-;-;-;-;1;8;-;-;-;-;9
"150470 Moju";2;-;1;-;-;-;-;-;-;-;-;-;3
"150475 Mojuí dos Campos";1;3;-;-;-;-;-;-;-;-;-;-;4
"150480 Monte Alegre";-;1;-;1;17;5;1;48;54;19;23;31;200
"150490 Muaná";-;1;2;1;-;-;-;1;1;-;-;-;6
"150497 Nova Ipixuna";-;1;7;5;7;12;3;8;5;1;-;5;54
"150503 Novo Progresso";1;-;2;22;13;9;7;6;2;5;20;4;91
"150506 Novo Repartimento";-;-;-;-;-;-;-;-;-;-;-;1;1
"150510 Óbidos";-;-;1;3;4;-;-;2;-;-;-;-;10
"150530 Oriximiná";-;1;2;4;10;8;1;4;1;-;3;7;41
"150543 Ourilândia do Norte";8;8;34;9;-;-;-;-;-;-;-;2;61
"150548 Pacajá";3;9;9;8;9;1;1;3;19;26;60;11;159
"150550 Paragominas";-;-;-;1;-;-;-;2;-;-;-;-;3
"150553 Parauapebas";26;46;103;72;48;32;18;11;5;6;6;63;436
"150555 Pau D'Arco";-;-;-;1;-;-;1;-;-;-;-;-;2
"150565 Placas";1;-;5;4;2;-;-;-;-;-;-;-;12
"150570 Ponta de Pedras";8;13;25;12;11;2;19;9;8;1;3;4;115
