DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2015
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"110001 Alta Floresta D'Oeste";9;1;-;-;-;10
"110037 Alto Alegre dos Parecis";9;-;-;-;-;9
"110040 Alto Paraíso";4;-;-;-;-;4
"110034 Alvorada D'Oeste";35;-;-;-;-;35
"110002 Ariquemes";25;-;-;-;-;25
"110045 Buritis";7;-;-;-;-;7
"110003 Cabixi";112;-;-;-;-;112
"110060 Cacaulândia";12;-;-;-;-;12
"110004 Cacoal";45;-;-;-;-;45
"110070 Campo Novo de Rondônia";30;-;-;-;-;30
"110080 Candeias do Jamari";37;-;-;-;-;37
"110090 Castanheiras";1;-;-;-;-;1
"110005 Cerejeiras";45;-;-;-;-;45
"110092 Chupinguaia";39;-;-;-;-;39
"110006 Colorado do Oeste";1;-;-;-;-;1
"110007 Corumbiara";15;-;-;-;-;15
"110008 Costa Marques";7;-;-;-;-;7
"110009 Espigão D'Oeste";184;-;-;-;1;185
"110010 Guajará-Mirim";10;-;-;-;-;10
"110110 Itapuã do Oeste";3;-;-;-;-;3
"110011 Jaru";8;1;-;-;1;10
"110012 Ji-Paraná";11;-;-;-;-;11
"110013 Machadinho D'Oeste";18;-;-;-;-;18
"110120 Ministro Andreazza";58;1;-;-;-;59
"110140 Monte Negro";9;-;-;-;-;9
"110014 Nova Brasilândia D'Oeste";3;-;-;-;-;3
"110033 Nova Mamoré";8;-;-;-;-;8
"110143 Nova União";9;-;-;-;-;9
"110050 Novo Horizonte do Oeste";6;-;-;-;-;6
"110015 Ouro Preto do Oeste";48;-;-;-;-;48
"110145 Parecis";98;-;-;-;-;98
"110018 Pimenta Bueno";2;-;-;-;-;2
"110020 Porto Velho";196;1;-;-;-;197
"110025 Presidente Médici";7;-;-;-;-;7
"110147 Primavera de Rondônia";1;-;-;-;-;1
"110028 Rolim de Moura";30;-;-;-;-;30
"110029 Santa Luzia D'Oeste";3;-;-;-;-;3
"110148 São Felipe D'Oeste";10;-;-;-;-;10
"110149 São Francisco do Guaporé";20;-;-;-;-;20
"110032 São Miguel do Guaporé";12;-;-;-;-;12
"110150 Seringueiras";8;-;-;-;-;8
"110155 Teixeirópolis";2;-;-;-;-;2
"110160 Theobroma";1;1;-;-;-;2
"110170 Urupá";38;-;-;-;-;38
"110175 Vale do Anari";5;-;-;-;-;5
"110180 Vale do Paraíso";2;-;-;-;-;2
"110030 Vilhena";284;-;-;-;-;284
"120001 Acrelândia";1;-;-;-;-;1
"120005 Assis Brasil";1;-;-;-;-;1
"120013 Bujari";11;-;-;-;-;11
"120017 Capixaba";3;-;-;-;-;3
"120020 Cruzeiro do Sul";4349;-;-;-;-;4349
"120025 Epitaciolândia";-;1;-;-;-;1
"120030 Feijó";3;-;-;-;-;3
"120033 Mâncio Lima";11;-;-;-;-;11
"120038 Plácido de Castro";2;-;-;-;-;2
"120080 Porto Acre";20;-;-;-;-;20
"120040 Rio Branco";386;2;-;-;-;388
"120042 Rodrigues Alves";6;-;-;-;-;6
"120050 Sena Madureira";2;-;-;-;-;2
"120045 Senador Guiomard";1;-;-;-;-;1
"120060 Tarauacá";1;-;-;-;-;1
"120070 Xapuri";2;-;-;-;-;2
"130002 Alvarães";9;-;-;-;-;9
"130014 Apuí";2;-;-;-;-;2
"130040 Barcelos";4;-;-;-;-;4
"130060 Benjamin Constant";1;-;-;-;-;1
"130063 Beruri";1;-;-;-;-;1
"130080 Borba";4;-;-;-;-;4
"130110 Careiro";2;-;-;-;-;2
"130115 Careiro da Várzea";1;-;-;-;-;1
"130150 Envira";1;-;-;-;-;1
"130160 Fonte Boa";1;-;-;-;-;1
"130165 Guajará";217;-;-;-;-;217
"130170 Humaitá";10;-;-;-;-;10
"130180 Ipixuna";1;-;-;-;-;1
"130185 Iranduba";2;-;-;-;-;2
"130190 Itacoatiara";124;-;-;-;-;124
"130240 Lábrea";4;-;-;-;-;4
"130250 Manacapuru";11;-;-;-;-;11
"130255 Manaquiri";1;-;-;-;-;1
"130260 Manaus";845;2;-;-;3;850
"130270 Manicoré";1;-;-;-;-;1
"130280 Maraã";1;-;-;-;-;1
"130290 Maués";156;-;-;-;-;156
"130330 Novo Aripuanã";93;-;-;-;-;93
"130340 Parintins";523;-;-;-;-;523
"130353 Presidente Figueiredo";11;-;-;-;-;11
"130380 São Gabriel da Cachoeira";8;-;-;-;-;8
"130390 São Paulo de Olivença";2;1;-;-;-;3
"130395 São Sebastião do Uatumã";1;-;-;-;-;1
"130400 Silves";1;-;-;-;-;1
"130406 Tabatinga";180;-;-;-;-;180
"130410 Tapauá";99;-;-;-;-;99
"130420 Tefé";65;-;-;-;6;71
"140005 Alto Alegre";7;-;-;-;-;7
"140002 Amajari";40;-;-;-;-;40
"140010 Boa Vista";245;3;2;1;2;253
"140015 Bonfim";37;-;-;-;-;37
"140017 Cantá";17;-;-;-;-;17
"140020 Caracaraí";33;-;-;-;-;33
"140023 Caroebe";3;-;-;-;-;3
"140028 Iracema";10;-;-;-;-;10
"140030 Mucajaí";26;-;-;-;-;26
"140040 Normandia";2;-;-;-;-;2
"140045 Pacaraima";6;-;-;-;-;6
"140047 Rorainópolis";193;-;-;-;-;193
"140050 São João da Baliza";1;-;-;-;-;1
"140060 São Luiz";1;-;-;-;-;1
"140070 Uiramutã";9;-;-;-;-;9
"150010 Abaetetuba";19;1;-;-;-;20
"150013 Abel Figueiredo";14;-;-;-;-;14
"150030 Afuá";4;-;-;-;-;4
"150040 Alenquer";210;-;-;-;-;210
"150060 Altamira";61;-;-;-;1;62
"150070 Anajás";1;-;-;-;-;1
"150080 Ananindeua";27;-;-;-;2;29
"150085 Anapu";5;-;-;-;-;5
"150090 Augusto Corrêa";16;4;-;-;-;20
"150095 Aurora do Pará";1;-;-;-;1;2
"150100 Aveiro";1;-;-;-;-;1
"150110 Bagre";50;-;-;-;-;50
"150125 Bannach";2;-;-;-;-;2
"150130 Barcarena";9;-;-;-;1;10
"150140 Belém";476;1;-;-;4;481
"150145 Belterra";12;-;-;-;-;12
"150150 Benevides";21;1;-;-;1;23
"150157 Bom Jesus do Tocantins";1;-;-;-;-;1
"150160 Bonito";2;-;-;-;-;2
"150170 Bragança";11;-;-;-;-;11
"150172 Brasil Novo";184;-;-;-;-;184
"150175 Brejo Grande do Araguaia";17;-;-;-;-;17
"150178 Breu Branco";9;-;-;-;-;9
"150180 Breves";159;-;-;-;-;159
"150210 Cametá";25;-;-;-;-;25
"150215 Canaã dos Carajás";106;-;-;-;-;106
"150230 Capitão Poço";17;-;-;-;-;17
"150240 Castanhal";82;-;-;-;-;82
"150260 Colares";18;-;-;-;-;18
"150270 Conceição do Araguaia";2;-;-;-;-;2
"150276 Cumaru do Norte";-;1;-;-;-;1
"150277 Curionópolis";1;-;-;-;-;1
"150293 Dom Eliseu";4;-;-;-;-;4
"150310 Gurupá";5;1;-;-;-;6
"150320 Igarapé-Açu";3;-;-;-;-;3
"150330 Igarapé-Miri";7;-;-;-;-;7
"150340 Inhangapi";49;-;-;-;-;49
"150345 Ipixuna do Pará";3;-;-;-;-;3
"150350 Irituia";20;-;-;-;-;20
"150360 Itaituba";45;-;-;-;-;45
"150370 Itupiranga";37;-;-;-;-;37
"150380 Jacundá";13;-;-;-;-;13
"150390 Juruti";2;-;-;-;-;2
"150405 Mãe do Rio";6;-;-;-;-;6
"150420 Marabá";73;-;-;-;-;73
"150440 Marapanim";1;-;-;-;-;1
"150442 Marituba";31;-;-;-;-;31
"150445 Medicilândia";3;-;-;-;-;3
"150460 Mocajuba";9;-;-;-;-;9
"150470 Moju";3;-;-;-;-;3
"150475 Mojuí dos Campos";4;-;-;-;-;4
"150480 Monte Alegre";200;-;-;-;-;200
"150490 Muaná";6;-;-;-;-;6
"150497 Nova Ipixuna";54;-;-;-;-;54
"150503 Novo Progresso";92;-;-;-;-;92
"150506 Novo Repartimento";1;-;-;-;-;1
"150510 Óbidos";10;-;-;-;-;10
"150530 Oriximiná";41;-;-;-;-;41
"150543 Ourilândia do Norte";61;-;-;-;-;61
"150548 Pacajá";159;-;-;-;-;159
"150550 Paragominas";3;-;-;-;-;3
"150553 Parauapebas";435;1;-;-;-;436
"150555 Pau D'Arco";2;-;-;-;-;2
"150565 Placas";12;-;-;-;-;12
"150570 Ponta de Pedras";115;-;-;-;-;115
"150580 Portel";58;-;-;-;-;58
"150600 Prainha";37;-;-;-;-;37
"150613 Redenção";25;1;-;-;-;26
"150616 Rio Maria";3;-;-;-;-;3
"150618 Rondon do Pará";38;-;-;-;-;38
"150619 Rurópolis";13;-;-;-;-;13
"150620 Salinópolis";17;-;-;-;-;17
"150630 Salvaterra";5;-;-;-;-;5
"150635 Santa Bárbara do Pará";1;-;-;-;-;1
"150650 Santa Izabel do Pará";138;6;-;-;-;144
"150655 Santa Luzia do Pará";1;-;-;-;-;1
"150660 Santa Maria do Pará";1;-;-;-;-;1
"150670 Santana do Araguaia";12;-;-;-;-;12
"150680 Santarém";9;-;-;-;-;9
"150690 Santarém Novo";8;-;-;-;-;8
"150700 Santo Antônio do Tauá";9;-;-;-;-;9
"150720 São Domingos do Capim";4;-;-;-;-;4
"150730 São Félix do Xingu";68;-;-;-;-;68
"150745 São Geraldo do Araguaia";28;-;-;-;-;28
"150746 São João da Ponta";8;-;-;-;-;8
"150747 São João de Pirabas";1;-;-;-;-;1
"150750 São João do Araguaia";2;-;-;-;-;2
"150770 São Sebastião da Boa Vista";2;-;-;-;-;2
"150780 Senador José Porfírio";178;2;-;-;-;180
"150795 Tailândia";18;-;-;-;-;18
"150796 Terra Alta";2;-;-;-;-;2
"150800 Tomé-Açu";52;-;-;-;-;52
"150805 Trairão";1;-;-;-;-;1
"150808 Tucumã";26;-;-;-;-;26
"150810 Tucuruí";16;-;-;-;-;16
"150812 Ulianópolis";3;-;-;-;-;3
"150815 Uruará";4;-;-;-;-;4
"150835 Vitória do Xingu";16;-;-;-;-;16
"150840 Xinguara";31;-;-;-;-;31
"160020 Calçoene";370;-;-;-;-;370
"160021 Cutias";1;-;-;-;-;1
"160023 Ferreira Gomes";78;-;-;-;-;78
"160025 Itaubal";2;-;-;-;-;2
"160027 Laranjal do Jari";6;-;-;-;-;6
"160030 Macapá";1432;-;-;-;-;1432
"160040 Mazagão";260;-;-;-;-;260
"160050 Oiapoque";183;224;1;-;-;408
"160015 Pedra Branca do Amapari";105;-;-;-;-;105
"160053 Porto Grande";15;1;-;-;-;16
"160055 Pracuúba";1;-;-;-;-;1
"160060 Santana";256;-;-;-;-;256
"160005 Serra do Navio";6;10;-;-;-;16
"160070 Tartarugalzinho";52;-;-;-;-;52
"170025 Abreulândia";1;-;-;-;-;1
"170030 Aguiarnópolis";1;-;-;-;-;1
"170035 Aliança do Tocantins";1;-;-;-;-;1
"170040 Almas";6;-;-;-;-;6
"170070 Alvorada";6;-;-;-;-;6
"170100 Ananás";7;-;-;-;-;7
"170110 Aparecida do Rio Negro";10;1;-;-;-;11
"170130 Aragominas";17;-;-;-;-;17
"170190 Araguacema";3;-;-;-;-;3
"170200 Araguaçu";40;-;-;-;-;40
"170210 Araguaína";859;-;-;-;-;859
"170215 Araguanã";3;-;-;-;-;3
"170220 Araguatins";2;-;-;-;-;2
"170230 Arapoema";1;-;-;-;-;1
"170240 Arraias";26;-;-;-;-;26
"170255 Augustinópolis";6;-;-;-;-;6
"170290 Axixá do Tocantins";4;-;-;-;-;4
"170300 Babaçulândia";1;-;-;-;-;1
"170310 Barrolândia";2;1;-;-;-;3
"170330 Bom Jesus do Tocantins";2;-;-;-;-;2
"170360 Brasilândia do Tocantins";1;-;-;-;-;1
"170370 Brejinho de Nazaré";14;-;-;-;-;14
"170380 Buriti do Tocantins";8;-;-;-;-;8
"170386 Cariri do Tocantins";2;-;-;-;-;2
"170388 Carmolândia";11;-;-;-;-;11
"170410 Centenário";1;-;-;-;-;1
"170460 Chapada de Areia";1;-;-;-;-;1
"170550 Colinas do Tocantins";6;-;-;-;-;6
"170555 Combinado";1;-;-;-;-;1
"170560 Conceição do Tocantins";1;-;-;-;-;1
"170600 Couto Magalhães";6;-;-;-;-;6
"170610 Cristalândia";8;-;-;-;-;8
"170700 Dianópolis";99;-;-;-;-;99
"170710 Divinópolis do Tocantins";66;-;-;-;-;66
"170720 Dois Irmãos do Tocantins";18;-;-;-;-;18
"170730 Dueré";20;-;-;-;-;20
"170755 Fátima";2;-;-;-;-;2
"170765 Figueirópolis";5;-;-;-;-;5
"170820 Formoso do Araguaia";106;-;-;-;-;106
"170830 Goianorte";1;-;-;-;-;1
"170900 Goiatins";9;-;-;-;-;9
"170930 Guaraí";14;-;-;-;-;14
"170950 Gurupi";54;-;-;-;-;54
"170980 Ipueiras";3;-;-;-;-;3
"171050 Itacajá";1;-;-;-;-;1
"171070 Itaguatins";2;-;-;-;-;2
"171090 Itapiratins";1;-;-;-;-;1
"171110 Itaporã do Tocantins";3;-;-;-;-;3
"171150 Jaú do Tocantins";30;-;-;-;-;30
"171190 Lagoa da Confusão";5;-;-;-;-;5
"171195 Lagoa do Tocantins";4;1;-;-;-;5
"171200 Lajeado";1;-;-;-;-;1
"171245 Luzinópolis";1;-;-;-;-;1
"171250 Marianópolis do Tocantins";25;-;-;-;-;25
"171280 Maurilândia do Tocantins";2;-;-;-;-;2
"171320 Miracema do Tocantins";63;-;-;-;-;63
"171330 Miranorte";8;-;-;-;-;8
"171360 Monte do Carmo";4;-;-;-;-;4
"171370 Monte Santo do Tocantins";3;-;-;-;-;3
"171395 Muricilândia";7;-;-;-;-;7
"171420 Natividade";11;-;-;-;-;11
"171488 Nova Olinda";4;-;-;-;-;4
"171500 Nova Rosalândia";7;-;-;-;-;7
"171510 Novo Acordo";1;-;-;-;-;1
"171515 Novo Alegre";9;-;-;-;-;9
"171525 Novo Jardim";1;-;-;-;-;1
"172100 Palmas";3989;-;-;-;1;3990
"171570 Palmeirante";1;-;-;-;-;1
"171575 Palmeirópolis";108;-;-;-;-;108
"171610 Paraíso do Tocantins";177;-;-;-;-;177
"171620 Paranã";70;-;-;-;-;70
"171630 Pau D'Arco";7;-;-;-;-;7
"171650 Pedro Afonso";22;1;-;-;-;23
"171660 Peixe";4;-;-;-;-;4
"171700 Pindorama do Tocantins";2;-;-;-;-;2
"171750 Pium";42;-;-;-;-;42
"171780 Ponte Alta do Bom Jesus";2;-;-;-;-;2
"171790 Ponte Alta do Tocantins";4;-;-;-;-;4
"171800 Porto Alegre do Tocantins";3;-;-;-;-;3
"171820 Porto Nacional";112;4;-;-;-;116
"171855 Riachinho";16;-;-;-;-;16
"171865 Rio da Conceição";8;-;-;-;-;8
"171870 Rio dos Bois";1;-;-;-;-;1
"171875 Rio Sono";1;-;-;-;-;1
"171880 Sampaio";2;-;-;-;-;2
"171886 Santa Fé do Araguaia";5;-;-;-;-;5
"171888 Santa Maria do Tocantins";2;-;-;-;-;2
"171890 Santa Rosa do Tocantins";2;-;-;-;-;2
"172010 São Bento do Tocantins";1;-;-;-;-;1
"172020 São Miguel do Tocantins";19;-;-;-;-;19
"172025 São Salvador do Tocantins";2;-;-;-;-;2
"172049 São Valério";8;-;-;-;-;8
"172065 Silvanópolis";9;-;-;-;-;9
"172080 Sítio Novo do Tocantins";1;-;-;-;-;1
"172090 Taguatinga";10;-;-;-;-;10
"172093 Taipas do Tocantins";2;-;-;-;-;2
"172097 Talismã";3;-;-;-;-;3
"172110 Tocantínia";5;-;-;-;-;5
"172120 Tocantinópolis";105;-;-;-;-;105
"172208 Wanderlândia";4;-;-;-;-;4
"172210 Xambioá";2;-;-;-;-;2
"210005 Açailândia";28;-;-;-;-;28
"210030 Aldeias Altas";18;-;-;-;-;18
"210040 Altamira do Maranhão";2;-;-;-;-;2
"210047 Alto Alegre do Pindaré";1;-;-;-;-;1
"210050 Alto Parnaíba";2;-;-;-;-;2
"210060 Amarante do Maranhão";45;-;-;-;-;45
"210080 Anapurus";1;-;-;-;-;1
"210087 Araguanã";1;-;-;-;-;1
"210090 Araioses";1;-;-;-;-;1
"210095 Arame";1;-;-;-;-;1
"210120 Bacabal";23;4;-;-;-;27
"210125 Bacabeira";10;-;-;-;-;10
"210140 Balsas";29;-;-;-;-;29
"210150 Barão de Grajaú";1;-;-;-;-;1
"210160 Barra do Corda";442;1;-;-;-;443
"210170 Barreirinhas";2;1;-;-;-;3
"210177 Bela Vista do Maranhão";7;-;-;-;-;7
"210193 Bernardo do Mearim";1;-;-;-;-;1
"210200 Bom Jardim";6;-;-;-;-;6
"210203 Bom Jesus das Selvas";6;-;-;-;-;6
"210207 Bom Lugar";7;-;-;-;-;7
"210210 Brejo";33;-;-;-;-;33
"210215 Brejo de Areia";1;-;-;-;-;1
"210230 Buriti Bravo";1;-;-;-;-;1
"210232 Buriticupu";21;-;-;-;-;21
"210250 Cajari";1;-;-;-;-;1
"210255 Campestre do Maranhão";261;-;-;-;-;261
"210270 Cantanhede";18;-;-;-;-;18
"210275 Capinzal do Norte";1;-;-;-;-;1
"210280 Carolina";33;-;-;-;-;33
"210300 Caxias";248;-;-;-;-;248
"210320 Chapadinha";22;-;-;-;-;22
"210325 Cidelândia";6;-;-;-;-;6
"210330 Codó";20;-;-;-;-;20
"210340 Coelho Neto";3;-;-;-;-;3
"210350 Colinas";2;-;-;-;-;2
"210355 Conceição do Lago-Açu";1;-;-;-;-;1
"210370 Cururupu";123;-;-;-;-;123
"210380 Dom Pedro";5;-;-;-;-;5
"210405 Estreito";4;-;-;-;-;4
"210407 Feira Nova do Maranhão";1;-;-;-;-;1
"210408 Fernando Falcão";10;-;-;-;-;10
"210409 Formosa da Serra Negra";6;-;-;-;-;6
"210420 Fortuna";10;-;-;-;-;10
"210455 Governador Edison Lobão";23;-;-;-;-;23
"210480 Grajaú";23;-;-;-;-;23
"210490 Guimarães";6;-;-;-;-;6
"210515 Igarapé do Meio";2;-;-;-;-;2
"210530 Imperatriz";162;1;-;-;-;163
"210535 Itaipava do Grajaú";7;-;-;-;-;7
"210550 João Lisboa";12;1;-;-;-;13
"210560 Joselândia";1;-;-;-;-;1
"210565 Junco do Maranhão";1;-;-;-;-;1
"210570 Lago da Pedra";10;1;-;-;-;11
"210594 Lago dos Rodrigues";1;-;-;-;-;1
"210590 Lago Verde";1;-;-;-;-;1
"210598 Lajeado Novo";21;-;-;-;-;21
"210600 Lima Campos";1;-;-;-;-;1
