DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2009
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150620 Salinópolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"150670 Santana do Araguaia";-;-;-;-;-;-;-;-;-;-;-;1;1
"170025 Abreulândia";2;4;2;10;-;-;-;-;-;-;-;-;18
"170030 Aguiarnópolis";-;-;2;-;1;-;-;-;-;-;1;-;4
"170035 Aliança do Tocantins";-;-;1;-;-;-;-;-;-;-;-;3;4
"170100 Ananás";2;5;2;1;1;2;-;-;-;-;-;-;13
"170110 Aparecida do Rio Negro";1;-;2;11;8;3;-;-;-;2;2;8;37
"170130 Aragominas";2;-;-;-;-;-;-;-;-;-;-;-;2
"170190 Araguacema";1;-;11;1;-;1;-;-;-;-;2;1;17
"170200 Araguaçu";2;-;4;-;4;13;3;2;3;21;30;86;168
"170210 Araguaína";63;63;39;49;12;8;7;-;1;-;2;9;253
"170215 Araguanã";1;-;-;-;-;1;-;-;-;-;-;-;2
"170220 Araguatins";-;1;-;-;-;-;-;-;-;-;-;-;1
"170230 Arapoema";7;-;7;3;2;-;-;-;-;3;1;10;33
"170240 Arraias";-;-;1;-;10;4;-;2;2;1;5;6;31
"170255 Augustinópolis";12;14;34;10;10;2;1;-;2;-;-;1;86
"170270 Aurora do Tocantins";-;-;-;-;-;-;1;-;-;-;-;1;2
"170290 Axixá do Tocantins";1;-;-;1;1;-;-;-;-;-;1;-;4
"170300 Babaçulândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;5;2;1;-;-;-;-;-;-;-;8
"170310 Barrolândia";3;1;2;2;-;2;-;-;-;-;-;1;11
"170320 Bernardo Sayão";-;-;6;16;-;-;-;-;-;-;-;-;22
"170330 Bom Jesus do Tocantins";1;-;-;-;2;-;-;-;-;-;-;-;3
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-;-;-;-;1;1;2
"170382 Cachoeirinha";2;2;1;-;-;1;-;-;-;-;-;-;6
"170384 Campos Lindos";2;6;4;2;9;2;-;2;1;2;9;10;49
"170388 Carmolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"170389 Carrasco Bonito";-;1;4;-;2;-;-;-;-;-;3;-;10
"170390 Caseara";-;-;2;-;-;-;-;-;-;-;-;1;3
"170410 Centenário";6;1;-;1;-;-;-;1;-;-;-;-;9
"170460 Chapada de Areia";1;-;-;-;-;-;1;-;-;1;9;1;13
"170550 Colinas do Tocantins";12;21;20;11;28;18;3;4;-;4;5;15;141
"171670 Colméia";-;-;-;-;2;3;-;-;-;2;-;-;7
"170555 Combinado";-;1;1;-;-;-;-;-;-;-;-;-;2
"170560 Conceição do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;1
"170600 Couto Magalhães";3;1;-;-;-;-;-;-;-;-;-;-;4
"170625 Crixás do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"170650 Darcinópolis";-;-;-;-;-;-;-;-;-;-;2;-;2
"170700 Dianópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"170710 Divinópolis do Tocantins";1;-;-;1;-;-;-;-;1;-;-;-;3
"170720 Dois Irmãos do Tocantins";-;4;-;-;-;1;-;-;-;-;-;1;6
"170730 Dueré";3;-;-;-;1;-;-;1;-;-;3;7;15
"170740 Esperantina";-;2;2;-;-;-;-;-;-;-;-;-;4
"170755 Fátima";-;-;-;-;-;-;-;-;-;-;-;1;1
"170820 Formoso do Araguaia";-;-;-;-;1;-;-;-;-;-;-;-;1
"170825 Fortaleza do Tabocão";1;-;-;-;-;-;-;-;-;-;-;2;3
"170830 Goianorte";20;8;-;-;-;-;-;-;-;-;-;-;28
"170900 Goiatins";2;-;-;-;-;-;-;-;-;-;-;-;2
"170930 Guaraí";47;21;19;2;3;-;-;-;-;1;2;1;96
"170950 Gurupi";3;1;2;3;3;-;-;-;-;-;5;8;25
"171050 Itacajá";2;2;4;3;1;1;-;1;-;-;-;-;14
"171070 Itaguatins";-;1;2;4;3;3;-;-;-;-;-;-;13
"171110 Itaporã do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;1
"171180 Juarina";5;-;-;-;-;-;-;-;-;-;-;-;5
"171190 Lagoa da Confusão";-;-;-;1;-;-;-;-;-;-;-;-;1
"171195 Lagoa do Tocantins";-;-;-;-;2;-;-;-;-;-;-;-;2
"171200 Lajeado";-;-;-;1;2;-;1;-;-;-;2;-;6
"171215 Lavandeira";3;6;12;5;1;-;-;-;-;-;7;2;36
"171240 Lizarda";-;2;-;-;-;-;-;-;-;-;-;1;3
"171280 Maurilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";9;10;5;2;1;6;-;-;-;-;2;3;38
"171330 Miranorte";21;17;7;6;4;1;1;1;-;7;9;14;88
"171360 Monte do Carmo";1;5;-;11;24;7;3;-;-;-;-;1;52
"171370 Monte Santo do Tocantins";-;-;1;-;-;-;-;-;1;1;-;1;4
"171395 Muricilândia";-;-;-;-;-;1;-;-;-;1;-;-;2
"171420 Natividade";-;-;-;-;-;1;1;-;-;-;-;-;2
"171488 Nova Olinda";1;-;-;-;-;-;-;-;-;-;-;-;1
"171500 Nova Rosalândia";3;6;1;2;-;-;-;-;-;2;-;-;14
"171510 Novo Acordo";-;1;-;-;-;1;-;-;-;-;-;-;2
"171515 Novo Alegre";-;-;1;-;-;-;-;-;-;-;-;-;1
"171525 Novo Jardim";-;-;1;2;-;-;-;-;-;-;-;-;3
"171550 Oliveira de Fátima";-;-;-;1;-;-;-;-;-;-;-;-;1
"172100 Palmas";73;69;124;133;167;181;127;86;81;44;144;234;1463
"171570 Palmeirante";-;-;-;-;1;-;-;-;-;-;-;-;1
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;1
"171575 Palmeirópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"171610 Paraíso do Tocantins";4;3;4;3;5;5;3;4;2;7;13;17;70
"171650 Pedro Afonso";1;1;3;2;1;3;-;-;-;-;-;-;11
"171665 Pequizeiro";1;8;10;-;1;2;-;-;-;-;-;-;22
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"171750 Pium";-;-;-;-;-;1;-;-;-;-;1;2;4
"171780 Ponte Alta do Bom Jesus";-;-;1;1;-;-;-;-;-;-;-;-;2
"171790 Ponte Alta do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"171820 Porto Nacional";7;7;2;16;12;14;9;13;17;15;56;105;273
"171830 Praia Norte";-;-;1;2;-;-;-;-;-;-;-;-;3
"171840 Presidente Kennedy";-;1;4;2;-;-;-;-;-;-;-;-;7
"171845 Pugmil";-;1;1;-;-;-;-;-;-;-;4;-;6
"171850 Recursolândia";-;-;-;-;2;-;-;-;-;-;-;-;2
"171870 Rio dos Bois";-;-;4;-;-;-;-;-;-;-;-;-;4
"171875 Rio Sono";-;-;-;1;-;-;-;-;-;-;-;-;1
"171880 Sampaio";4;4;1;1;4;6;2;-;1;-;1;-;24
"171888 Santa Maria do Tocantins";-;-;-;-;1;1;-;-;9;12;8;10;41
"171890 Santa Rosa do Tocantins";-;-;-;-;-;-;-;-;-;-;1;-;1
