DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2018
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"110010 Guajará-Mirim";1;-;-;-;1
"110020 Porto Velho";1;1;-;-;2
"110030 Vilhena";1;-;-;-;1
"130240 Lábrea";1;-;-;-;1
"355030 São Paulo";1;-;-;-;1
"500830 Três Lagoas";1;-;-;-;1
"510010 Acorizal";3;-;-;-;3
"510020 Água Boa";2;-;-;-;2
"510025 Alta Floresta";107;-;-;-;107
"510030 Alto Araguaia";105;-;-;-;105
"510040 Alto Garças";3;-;-;-;3
"510060 Alto Taquari";4;-;-;-;4
"510100 Araguaiana";4;-;-;-;4
"510125 Araputanga";9;-;-;-;9
"510130 Arenápolis";84;-;1;-;85
"510140 Aripuanã";22;-;-;-;22
"510170 Barra do Bugres";54;-;-;-;54
"510180 Barra do Garças";70;-;-;-;70
"510185 Bom Jesus do Araguaia";189;3;-;1;193
"510190 Brasnorte";20;-;-;-;20
"510250 Cáceres";39;-;-;-;39
"510260 Campinápolis";2;-;-;-;2
"510263 Campo Novo do Parecis";45;1;-;-;46
"510267 Campo Verde";23;1;-;-;24
"510268 Campos de Júlio";56;-;-;-;56
"510270 Canarana";64;-;-;-;64
"510279 Carlinda";6;-;-;-;6
"510300 Chapada dos Guimarães";9;-;-;-;9
"510305 Cláudia";10;-;-;-;10
"510310 Cocalinho";61;-;-;-;61
"510320 Colíder";2;-;-;-;2
"510325 Colniza";68;-;-;-;68
"510330 Comodoro";2;-;-;-;2
"510335 Confresa";79;-;-;-;79
"510336 Conquista D'Oeste";1;-;-;-;1
"510337 Cotriguaçu";5;1;-;-;6
"510340 Cuiabá";1284;-;-;-;1284
"510345 Denise";1;-;-;-;1
"510350 Diamantino";1;-;-;-;1
"510360 Dom Aquino";2;-;-;-;2
"510370 Feliz Natal";12;-;-;-;12
"510385 Gaúcha do Norte";110;-;-;-;110
"510390 General Carneiro";4;-;-;-;4
"510410 Guarantã do Norte";3;-;-;-;3
"510454 Itanhangá";2;-;-;-;2
"510455 Itaúba";1;-;-;-;1
"510480 Jaciara";21;-;-;-;21
"510490 Jangada";2;-;-;-;2
"510510 Juara";20;1;-;-;21
"510515 Juína";3;1;-;-;4
"510520 Juscimeira";2;1;-;-;3
"510525 Lucas do Rio Verde";29;-;-;-;29
"510558 Marcelândia";2;-;-;-;2
"510560 Matupá";39;-;-;-;39
"510562 Mirassol d'Oeste";66;-;-;-;66
"510590 Nobres";6;1;-;-;7
"510600 Nortelândia";30;-;-;-;30
"510610 Nossa Senhora do Livramento";1;-;-;-;1
"510615 Nova Bandeirantes";3;-;-;-;3
"510620 Nova Brasilândia";1;-;-;-;1
"510621 Nova Canaã do Norte";12;-;-;-;12
"510618 Nova Lacerda";17;-;-;-;17
"510890 Nova Maringá";8;-;-;-;8
"510895 Nova Monte Verde";25;-;-;-;25
"510622 Nova Mutum";31;-;-;-;31
"510623 Nova Olímpia";7;1;-;-;8
"510619 Nova Santa Helena";19;-;-;-;19
"510624 Nova Ubiratã";2;-;-;-;2
"510625 Nova Xavantina";2;-;-;-;2
"510627 Novo Horizonte do Norte";4;-;-;-;4
"510631 Novo Santo Antônio";1;-;-;-;1
"510628 Novo São Joaquim";3;-;-;-;3
"510629 Paranaíta";79;-;-;-;79
"510630 Paranatinga";14;-;-;-;14
"510637 Pedra Preta";3;-;-;-;3
"510642 Peixoto de Azevedo";8;-;-;-;8
"510645 Planalto da Serra";1;3;-;-;4
"510650 Poconé";173;-;-;-;173
"510665 Pontal do Araguaia";4;-;-;-;4
"510670 Ponte Branca";1;-;-;-;1
"510675 Pontes e Lacerda";40;-;-;-;40
"510677 Porto Alegre do Norte";8;-;-;-;8
"510682 Porto Esperidião";6;-;-;-;6
"510700 Poxoréo";1;-;-;-;1
"510704 Primavera do Leste";1;-;-;-;1
"510706 Querência";106;-;-;-;106
"510718 Ribeirão Cascalheira";29;-;-;-;29
"510719 Ribeirãozinho";16;-;-;-;16
"510760 Rondonópolis";31;-;-;-;31
"510775 Salto do Céu";1;-;-;-;1
"510724 Santa Carmem";5;-;-;-;5
"510774 Santa Cruz do Xingu";2;-;-;-;2
"510776 Santa Rita do Trivelato";1;-;-;-;1
"510726 Santo Afonso";29;-;-;-;29
"510779 Santo Antônio do Leste";5;-;-;-;5
"510780 Santo Antônio do Leverger";3;-;-;-;3
"510785 São Félix do Araguaia";13;-;-;-;13
"510730 São José do Rio Claro";2;-;-;-;2
"510735 São José do Xingu";3;-;-;-;3
"510710 São José dos Quatro Marcos";5;-;-;-;5
"510787 Sapezal";2;-;-;-;2
"510790 Sinop";433;-;-;-;433
"510792 Sorriso";40;-;-;-;40
"510794 Tabaporã";2;-;-;-;2
"510795 Tangará da Serra";117;-;-;-;117
"510800 Tapurah";3;-;-;-;3
"510805 Terra Nova do Norte";2;-;-;-;2
"510810 Tesouro";3;-;-;-;3
"510820 Torixoréu";39;-;-;-;39
"510830 União do Sul";2;-;-;-;2
"510840 Várzea Grande";1500;-;-;-;1500
"510850 Vera";4;-;-;-;4
"510550 Vila Bela da Santíssima Trindade";21;1;-;-;22
"520030 Alexânia";1;-;-;-;1
"520170 Aragarças";1;-;-;-;1
"520870 Goiânia";5;-;-;-;5
"000000 Ignorado ou exterior";1593;16;-;-;1609
"Total";7288;32;1;1;7322
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
