DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2010
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150370 Itupiranga";-;-;-;-;-;-;-;1;-;-;-;-;1
"150613 Redenção";-;-;-;-;-;-;-;-;-;-;-;1;1
"150620 Salinópolis";-;-;-;-;1;-;-;-;-;-;-;-;1
"170210 Araguaína";-;-;-;-;-;-;-;-;-;-;-;1;1
"210005 Açailândia";1;1;3;3;-;5;2;2;1;1;-;-;19
"210010 Afonso Cunha";-;-;2;1;-;-;-;1;-;-;1;1;6
"210030 Aldeias Altas";3;1;-;1;-;-;-;-;-;-;-;-;5
"210047 Alto Alegre do Pindaré";-;-;-;-;-;-;-;-;-;3;-;5;8
"210050 Alto Parnaíba";-;-;-;-;8;13;-;-;-;-;-;-;21
"210060 Amarante do Maranhão";1;4;1;1;1;2;-;3;-;-;1;3;17
"210070 Anajatuba";-;-;-;-;-;-;1;-;-;-;-;-;1
"210083 Apicum-Açu";-;-;-;-;-;-;-;-;-;3;-;1;4
"210095 Arame";-;2;2;1;2;-;-;-;-;-;-;-;7
"210110 Axixá";-;-;-;-;-;1;1;-;-;-;-;-;2
"210120 Bacabal";-;-;-;-;-;-;-;-;-;-;1;1;2
"210125 Bacabeira";-;-;-;-;-;-;-;-;-;2;-;-;2
"210130 Bacuri";-;-;-;-;-;-;-;-;4;-;-;-;4
"210135 Bacurituba";-;-;-;-;-;-;-;1;-;-;-;-;1
"210140 Balsas";3;2;9;20;22;12;4;-;-;1;2;-;75
"210150 Barão de Grajaú";20;43;49;15;27;1;1;2;1;-;-;3;162
"210160 Barra do Corda";2;-;4;1;-;-;-;-;1;-;-;2;10
"210170 Barreirinhas";-;-;-;-;-;-;1;1;1;-;-;3;6
"210193 Bernardo do Mearim";-;-;-;-;-;-;-;1;-;-;-;-;1
"210197 Boa Vista do Gurupi";1;-;4;10;1;-;-;-;-;-;-;-;16
"210210 Brejo";-;-;-;-;-;-;1;-;-;-;-;-;1
"210220 Buriti";-;-;-;-;-;-;-;1;-;-;-;-;1
"210230 Buriti Bravo";-;-;-;1;-;-;-;-;-;-;-;-;1
"210237 Cachoeira Grande";-;-;-;-;-;-;-;1;-;-;-;-;1
"210240 Cajapió";-;-;-;-;-;-;1;-;-;-;-;-;1
"210255 Campestre do Maranhão";-;-;4;1;2;-;-;2;-;-;-;-;9
"210280 Carolina";-;-;2;1;1;-;-;-;-;-;1;4;9
"210300 Caxias";1;2;3;6;7;7;7;6;-;2;3;2;46
"210310 Cedral";-;-;-;-;-;-;-;14;-;2;-;1;17
"210320 Chapadinha";2;-;-;-;1;1;-;1;-;-;-;-;5
"210330 Codó";-;-;1;-;-;-;-;-;1;1;-;-;3
"210340 Coelho Neto";-;-;-;-;1;1;-;-;-;-;-;-;2
"210350 Colinas";-;-;-;-;-;-;-;-;1;1;-;-;2
"210360 Coroatá";-;-;-;1;1;-;1;-;2;1;3;-;9
"210370 Cururupu";-;-;-;-;-;-;-;2;4;13;55;2;76
"210375 Davinópolis";1;2;-;-;-;-;-;-;-;1;-;-;4
"210380 Dom Pedro";-;-;-;1;-;-;-;-;-;-;-;-;1
"210390 Duque Bacelar";-;-;3;2;-;1;1;-;-;-;-;-;7
"210400 Esperantinópolis";-;-;-;-;-;-;2;-;-;-;-;-;2
"210409 Formosa da Serra Negra";-;-;1;-;-;-;-;-;-;-;-;-;1
"210440 Gonçalves Dias";-;-;-;-;1;-;-;-;-;-;-;-;1
"210467 Governador Nunes Freire";-;-;-;-;-;-;-;-;-;1;2;-;3
"210480 Grajaú";-;-;1;4;23;10;7;3;-;-;-;-;48
"210510 Icatu";-;-;-;1;-;-;-;-;-;-;-;-;1
"210530 Imperatriz";6;22;37;10;11;4;4;1;5;10;7;10;127
"210535 Itaipava do Grajaú";1;1;-;-;-;-;-;-;-;-;-;-;2
"210540 Itapecuru Mirim";-;-;-;-;-;1;-;1;-;-;-;-;2
"210547 Jenipapo dos Vieiras";1;2;-;-;-;-;-;-;-;-;-;-;3
"210550 João Lisboa";-;-;1;-;-;-;-;-;-;-;-;-;1
"210560 Joselândia";1;1;3;-;-;-;-;-;-;-;1;7;13
"210565 Junco do Maranhão";-;-;-;-;-;-;-;-;-;-;-;3;3
"210570 Lago da Pedra";-;-;-;5;6;47;17;-;-;2;-;-;77
"210580 Lago do Junco";-;-;1;-;2;1;-;5;-;-;-;-;9
"210594 Lago dos Rodrigues";-;-;-;-;32;1;-;-;1;-;-;-;34
"210590 Lago Verde";-;-;-;-;-;-;-;-;1;1;1;-;3
