DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2019
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;1;1;2;2;21;72;26;6;17;19;27;194
"110037 Alto Alegre dos Parecis";-;-;-;1;1;-;-;-;-;1;-;12;18;33
"110040 Alto Paraíso";-;-;-;-;1;-;-;-;-;-;1;1;-;3
"110002 Ariquemes";-;-;-;-;2;2;3;2;-;-;-;11;9;29
"110045 Buritis";-;1;5;3;2;2;5;6;2;-;1;2;-;29
"110003 Cabixi";-;-;1;-;5;14;7;6;-;8;13;19;5;78
"110004 Cacoal";-;2;2;3;3;4;3;1;-;1;1;1;3;24
"110070 Campo Novo de Rondônia";-;-;1;1;2;1;-;-;-;-;-;-;-;5
"110080 Candeias do Jamari";-;1;-;-;-;1;-;-;-;1;1;-;-;4
"110005 Cerejeiras";-;-;2;3;-;1;-;1;2;-;3;1;1;14
"110006 Colorado do Oeste";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110007 Corumbiara";-;-;-;-;1;-;1;-;1;-;-;1;-;4
"110008 Costa Marques";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110094 Cujubim";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";-;2;1;-;3;-;1;1;1;-;-;-;-;9
"110100 Governador Jorge Teixeira";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110110 Itapuã do Oeste";-;-;1;1;-;1;-;-;-;-;-;-;1;4
"110011 Jaru";-;-;-;-;-;2;2;-;-;-;-;-;2;6
"110012 Ji-Paraná";-;1;1;1;5;-;-;-;-;-;-;-;-;8
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110140 Monte Negro";-;-;1;3;3;1;1;-;-;-;-;1;-;10
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;1;5;-;3;3;8;20
"110033 Nova Mamoré";-;-;1;-;11;-;1;2;-;-;-;2;8;25
"110050 Novo Horizonte do Oeste";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;-;-;2;-;-;-;-;-;1;1;1;5
"110018 Pimenta Bueno";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"110146 Pimenteiras do Oeste";-;-;-;-;1;-;-;-;-;-;-;2;1;4
"110020 Porto Velho";-;11;11;8;13;11;15;13;5;3;11;22;38;161
"110025 Presidente Médici";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";-;-;-;-;1;-;-;-;1;-;-;-;2;4
"110148 São Felipe D'Oeste";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"110149 São Francisco do Guaporé";-;-;-;1;2;-;1;1;-;-;1;1;-;7
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110180 Vale do Paraíso";-;-;-;3;-;-;-;-;-;-;-;-;-;3
"110030 Vilhena";-;1;1;-;2;1;1;-;-;-;-;1;4;11
"120001 Acrelândia";-;3;-;1;-;-;-;-;-;-;-;2;1;7
"120005 Assis Brasil";-;5;7;4;14;6;-;1;2;-;-;26;2;67
"120010 Brasiléia";-;1;2;-;-;-;-;1;-;-;-;-;1;5
"120013 Bujari";-;-;-;-;-;1;-;-;-;1;1;-;-;3
"120017 Capixaba";-;2;1;1;2;-;-;-;2;-;-;-;5;13
"120020 Cruzeiro do Sul";-;45;69;50;24;27;19;48;53;78;280;1098;922;2713
"120025 Epitaciolândia";-;3;-;-;-;2;1;-;-;-;-;-;2;8
"120030 Feijó";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"120033 Mâncio Lima";-;47;2;-;-;1;-;1;1;2;63;118;60;295
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"120035 Marechal Thaumaturgo";-;-;1;-;-;-;-;-;-;-;-;-;1;2
"120038 Plácido de Castro";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"120080 Porto Acre";-;1;1;1;3;-;1;-;-;-;1;1;3;12
"120040 Rio Branco";-;185;294;412;183;32;11;11;11;14;20;34;82;1289
"120042 Rodrigues Alves";-;18;9;7;6;12;2;-;-;1;2;77;106;240
