DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Sorotipo                     
Período:2017
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"120020 Cruzeiro do Sul";5;-;-;5
"120040 Rio Branco";1;-;-;1
"130002 Alvarães";1;-;-;1
"130040 Barcelos";2;-;-;2
"130060 Benjamin Constant";5;-;-;5
"130063 Beruri";2;-;-;2
"130068 Boa Vista do Ramos";6;-;-;6
"130080 Borba";4;-;-;4
"130100 Carauari";22;-;-;22
"130120 Coari";201;11;-;212
"130130 Codajás";33;-;-;33
"130165 Guajará";60;-;-;60
"130170 Humaitá";47;-;-;47
"130185 Iranduba";5;-;-;5
"130190 Itacoatiara";18;-;-;18
"130195 Itamarati";1;-;-;1
"130200 Itapiranga";1;-;-;1
"130210 Japurá";1;-;-;1
"130240 Lábrea";5;-;-;5
"130250 Manacapuru";14;-;-;14
"130260 Manaus";322;-;-;322
"130280 Maraã";1;-;-;1
"130290 Maués";38;-;-;38
"130310 Nova Olinda do Norte";3;-;-;3
"130320 Novo Airão";5;-;-;5
"130330 Novo Aripuanã";21;-;-;21
"130340 Parintins";20;-;-;20
"130380 São Gabriel da Cachoeira";61;-;-;61
"130406 Tabatinga";30;-;-;30
"130410 Tapauá";9;-;-;9
"130420 Tefé";286;13;1;300
"140010 Boa Vista";2;-;-;2
"000000 Ignorado ou exterior";2663;2;-;2665
"Total";3895;26;1;3922
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
