DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2016
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;10;1;-;1;-;-;-;-;-;-;-;-;12
"110037 Alto Alegre dos Parecis";-;3;1;-;-;-;-;-;-;-;1;-;1;6
"110040 Alto Paraíso";-;1;-;4;2;-;-;-;-;-;-;-;-;7
"110034 Alvorada D'Oeste";-;21;24;25;10;-;1;-;-;-;-;2;3;86
"110002 Ariquemes";-;10;5;4;9;1;-;-;-;-;-;1;-;30
"110045 Buritis";-;3;40;5;9;10;-;1;-;1;1;3;10;83
"110003 Cabixi";-;31;14;3;1;-;-;-;-;-;-;-;3;52
"110004 Cacoal";-;78;79;27;17;4;1;-;-;1;1;2;7;217
"110070 Campo Novo de Rondônia";-;4;2;2;1;-;-;-;-;-;-;1;2;12
"110080 Candeias do Jamari";-;4;23;4;-;1;-;-;-;-;-;1;-;33
"110090 Castanheiras";-;1;1;-;1;-;-;-;-;-;-;-;-;3
"110005 Cerejeiras";-;95;133;39;5;-;-;-;1;1;-;1;17;292
"110092 Chupinguaia";-;10;11;4;1;-;-;1;-;-;-;-;1;28
"110006 Colorado do Oeste";-;2;9;-;-;-;-;-;-;-;-;-;-;11
"110007 Corumbiara";-;-;2;4;-;-;-;-;-;-;1;-;2;9
"110008 Costa Marques";-;3;3;-;-;-;-;-;-;-;-;-;-;6
"110094 Cujubim";-;-;-;1;1;-;-;-;-;-;-;2;11;15
"110009 Espigão D'Oeste";-;89;89;35;33;9;7;2;1;1;-;4;10;280
"110010 Guajará-Mirim";-;5;6;1;-;-;-;-;-;3;2;6;2;25
"110110 Itapuã do Oeste";-;1;2;5;5;1;-;4;-;-;-;-;-;18
"110011 Jaru";-;4;7;2;1;1;-;2;-;-;-;1;1;19
"110012 Ji-Paraná";-;7;-;-;1;-;3;-;-;-;-;3;1;15
"110013 Machadinho D'Oeste";-;22;43;34;4;5;4;-;-;2;5;111;214;444
"110120 Ministro Andreazza";-;1;1;-;1;-;-;-;-;-;-;-;3;6
"110130 Mirante da Serra";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"110140 Monte Negro";-;1;4;3;1;1;-;-;-;-;-;-;6;16
"110014 Nova Brasilândia D'Oeste";-;102;109;70;28;12;3;1;1;1;3;1;9;340
"110143 Nova União";-;1;2;-;1;-;-;-;-;-;-;-;-;4
"110050 Novo Horizonte do Oeste";-;6;7;-;-;-;-;-;-;-;1;-;2;16
"110015 Ouro Preto do Oeste";-;15;25;36;10;-;1;1;-;-;2;1;2;93
"110145 Parecis";-;6;10;1;2;1;-;-;-;-;1;-;8;29
"110018 Pimenta Bueno";-;5;9;90;79;12;3;1;-;-;2;2;-;203
"110146 Pimenteiras do Oeste";-;7;7;8;-;-;-;-;-;-;-;-;2;24
"110020 Porto Velho";-;87;287;192;98;36;22;34;4;6;17;20;29;832
"110025 Presidente Médici";-;1;4;3;2;-;-;-;-;-;-;-;-;10
"110147 Primavera de Rondônia";-;2;1;1;-;-;-;-;-;-;-;-;-;4
"110026 Rio Crespo";-;7;5;6;4;-;-;-;-;-;-;-;-;22
"110028 Rolim de Moura";-;183;66;79;13;3;4;-;-;1;2;1;11;363
"110029 Santa Luzia D'Oeste";-;19;4;2;1;-;-;-;-;-;-;-;4;30
"110148 São Felipe D'Oeste";-;12;13;8;6;3;2;-;-;-;2;-;-;46
"110149 São Francisco do Guaporé";-;13;-;5;-;-;-;-;-;-;-;-;3;21
"110032 São Miguel do Guaporé";-;25;15;5;1;-;1;-;-;-;-;-;3;50
"110150 Seringueiras";-;22;21;8;-;-;1;-;-;-;-;-;1;53
"110160 Theobroma";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110170 Urupá";-;3;6;8;1;1;1;1;1;-;-;-;1;23
"110175 Vale do Anari";-;-;1;3;-;-;-;-;-;-;-;-;-;4
"110180 Vale do Paraíso";-;2;9;16;7;-;-;-;-;-;-;-;-;34
"110030 Vilhena";-;79;101;60;23;2;1;2;-;-;1;1;8;278
"110000 Município ignorado - RO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"120001 Acrelândia";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"120005 Assis Brasil";-;4;2;-;-;-;-;-;-;-;-;-;-;6
"120010 Brasiléia";-;-;-;2;-;-;-;-;-;1;1;6;14;24
"120017 Capixaba";-;1;4;4;32;3;-;1;3;-;2;1;2;53
"120020 Cruzeiro do Sul";-;24;56;10;6;3;13;9;9;4;2;9;5;150
"120025 Epitaciolândia";-;1;5;24;2;-;-;-;-;-;-;-;-;32
"120030 Feijó";-;6;-;-;-;-;-;-;-;-;-;-;-;6
"120033 Mâncio Lima";-;-;1;-;-;-;-;-;1;-;-;1;-;3
"120038 Plácido de Castro";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"120080 Porto Acre";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"120039 Porto Walter";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120040 Rio Branco";-;88;196;72;36;30;11;8;2;-;1;-;9;453
"120042 Rodrigues Alves";-;1;-;-;-;-;-;-;-;-;-;1;-;2
"120045 Senador Guiomard";-;-;1;1;1;-;1;-;-;-;-;-;-;4
"120070 Xapuri";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130014 Apuí";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130030 Autazes";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"130040 Barcelos";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"130050 Barreirinha";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;-;-;-;-;-;-;-;-;-;-;2;7;9
"130063 Beruri";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;6;8;5;-;1;2;-;-;1;-;23
"130070 Boca do Acre";-;-;2;2;-;1;-;-;-;-;-;-;-;5
"130080 Borba";-;1;1;1;6;3;-;3;4;4;3;1;10;37
"130110 Careiro";-;-;2;-;1;-;-;-;-;-;-;-;-;3
"130120 Coari";-;1;4;18;11;-;1;10;5;1;-;2;1;54
"130165 Guajará";-;4;4;5;8;1;18;3;2;1;-;4;1;51
"130170 Humaitá";-;3;9;1;2;-;-;-;-;-;-;-;1;16
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"130185 Iranduba";-;-;4;5;1;1;-;-;2;-;-;-;1;14
"130190 Itacoatiara";-;15;19;15;14;18;8;7;3;3;-;-;1;103
"130210 Japurá";-;-;-;-;-;-;1;-;-;-;1;6;-;8
"130240 Lábrea";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130250 Manacapuru";-;2;1;2;4;-;2;4;-;-;-;1;-;16
"130260 Manaus";-;109;54;33;79;66;26;21;8;5;18;16;28;463
"130290 Maués";-;28;32;22;25;12;11;6;3;1;4;4;7;155
"130310 Nova Olinda do Norte";-;-;2;7;17;13;4;-;-;-;-;1;-;44
"130320 Novo Airão";-;1;-;-;-;-;6;4;2;-;1;-;-;14
"130330 Novo Aripuanã";-;1;7;21;45;14;2;-;1;-;-;-;2;93
"130340 Parintins";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;4;-;6;8;-;1;-;-;-;-;-;-;19
"130380 São Gabriel da Cachoeira";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"130390 São Paulo de Olivença";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"130406 Tabatinga";-;5;22;11;15;-;-;-;5;2;1;-;1;62
"130410 Tapauá";-;16;31;8;-;-;-;-;-;-;-;2;8;65
"130420 Tefé";-;-;-;4;4;4;8;2;-;-;1;3;-;26
