DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2018
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110010 Guajará-Mirim";-;-;1;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";1;-;-;-;-;-;-;-;-;-;-;1;2
"110030 Vilhena";-;-;-;1;-;-;-;-;-;-;-;-;1
"130240 Lábrea";-;-;-;-;-;-;-;-;-;-;1;-;1
"355030 São Paulo";1;-;-;-;-;-;-;-;-;-;-;-;1
"500830 Três Lagoas";-;-;-;-;-;-;-;-;-;-;-;1;1
"510010 Acorizal";-;2;1;-;-;-;-;-;-;-;-;-;3
"510020 Água Boa";-;-;-;-;1;1;-;-;-;-;-;-;2
"510025 Alta Floresta";20;17;14;3;4;1;3;6;2;6;20;11;107
"510030 Alto Araguaia";1;-;5;20;49;11;1;-;-;-;7;11;105
"510040 Alto Garças";-;-;-;1;1;1;-;-;-;-;-;-;3
"510060 Alto Taquari";-;-;1;-;1;1;-;-;-;-;-;1;4
"510100 Araguaiana";-;-;2;-;-;1;-;-;-;-;-;1;4
"510125 Araputanga";2;-;-;1;1;2;2;-;-;-;-;1;9
"510130 Arenápolis";1;7;29;44;4;-;-;-;-;-;-;-;85
"510140 Aripuanã";2;2;1;3;2;4;-;-;-;-;3;5;22
"510170 Barra do Bugres";1;6;13;9;17;3;3;2;-;-;-;-;54
"510180 Barra do Garças";4;-;-;3;3;3;1;3;1;11;27;14;70
"510185 Bom Jesus do Araguaia";7;20;54;51;20;9;6;6;2;1;10;7;193
"510190 Brasnorte";3;1;4;5;5;1;-;-;-;-;-;1;20
"510250 Cáceres";8;12;9;4;1;-;-;-;-;-;4;1;39
"510260 Campinápolis";-;-;-;1;1;-;-;-;-;-;-;-;2
"510263 Campo Novo do Parecis";5;6;6;11;6;2;4;-;3;-;1;2;46
"510267 Campo Verde";1;1;2;3;2;1;4;2;1;1;2;4;24
"510268 Campos de Júlio";-;21;10;8;12;-;2;-;1;-;1;1;56
"510270 Canarana";3;4;9;15;7;8;-;-;1;7;5;5;64
"510279 Carlinda";-;-;-;2;2;-;-;-;-;1;1;-;6
"510300 Chapada dos Guimarães";-;4;3;1;-;-;-;-;-;-;-;1;9
"510305 Cláudia";-;-;-;-;-;1;-;1;1;-;3;4;10
"510310 Cocalinho";7;11;18;13;6;2;2;-;-;-;-;2;61
"510320 Colíder";-;-;-;-;2;-;-;-;-;-;-;-;2
"510325 Colniza";8;11;6;13;12;4;4;-;5;2;-;3;68
"510330 Comodoro";-;-;-;-;1;1;-;-;-;-;-;-;2
"510335 Confresa";1;4;4;13;5;-;4;13;3;-;11;21;79
"510336 Conquista D'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"510337 Cotriguaçu";4;1;1;-;-;-;-;-;-;-;-;-;6
"510340 Cuiabá";235;401;214;164;60;30;39;38;12;24;27;40;1284
"510345 Denise";-;-;1;-;-;-;-;-;-;-;-;-;1
"510350 Diamantino";-;1;-;-;-;-;-;-;-;-;-;-;1
"510360 Dom Aquino";-;2;-;-;-;-;-;-;-;-;-;-;2
"510370 Feliz Natal";-;1;1;2;4;2;-;-;-;1;1;-;12
"510385 Gaúcha do Norte";-;1;3;17;50;18;6;1;5;1;1;7;110
"510390 General Carneiro";-;-;-;-;-;1;1;-;-;-;-;2;4
"510410 Guarantã do Norte";-;2;-;-;-;-;-;-;1;-;-;-;3
"510454 Itanhangá";-;-;-;-;-;-;-;-;-;-;2;-;2
"510455 Itaúba";-;-;-;-;-;-;-;-;-;-;-;1;1
"510480 Jaciara";4;6;-;3;-;2;2;2;-;-;1;1;21
"510490 Jangada";-;-;-;-;-;1;-;-;-;-;-;1;2
"510510 Juara";1;-;2;6;6;2;-;-;-;1;2;1;21
"510515 Juína";1;2;1;-;-;-;-;-;-;-;-;-;4
"510520 Juscimeira";-;-;2;-;-;-;-;1;-;-;-;-;3
"510525 Lucas do Rio Verde";1;3;5;6;4;5;2;-;1;1;1;-;29
"510558 Marcelândia";-;1;1;-;-;-;-;-;-;-;-;-;2
"510560 Matupá";7;9;7;3;2;-;-;-;-;3;6;2;39
"510562 Mirassol d'Oeste";11;12;22;11;2;2;1;3;1;-;-;1;66
"510590 Nobres";-;4;-;-;-;-;-;-;1;-;2;-;7
"510600 Nortelândia";-;2;12;8;5;1;1;1;-;-;-;-;30
"510610 Nossa Senhora do Livramento";-;1;-;-;-;-;-;-;-;-;-;-;1
"510615 Nova Bandeirantes";1;-;-;-;1;-;-;-;-;-;1;-;3
"510620 Nova Brasilândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"510621 Nova Canaã do Norte";1;1;1;6;2;-;-;-;-;1;-;-;12
"510618 Nova Lacerda";-;-;-;-;1;1;-;2;12;-;-;1;17
"510890 Nova Maringá";-;-;4;4;-;-;-;-;-;-;-;-;8
"510895 Nova Monte Verde";2;1;-;2;11;3;1;1;2;2;-;-;25
"510622 Nova Mutum";-;2;2;2;3;1;-;1;1;4;10;5;31
"510623 Nova Olímpia";1;-;-;-;-;-;-;-;-;2;2;3;8
"510619 Nova Santa Helena";7;7;-;3;2;-;-;-;-;-;-;-;19
"510624 Nova Ubiratã";-;1;-;-;-;-;-;-;1;-;-;-;2
"510625 Nova Xavantina";-;-;-;1;-;1;-;-;-;-;-;-;2
"510627 Novo Horizonte do Norte";-;-;-;-;-;-;-;-;-;-;2;2;4
"510631 Novo Santo Antônio";-;-;-;-;-;-;-;-;-;-;-;1;1
"510628 Novo São Joaquim";-;-;-;-;-;1;-;-;-;-;-;2;3
"510629 Paranaíta";17;20;22;9;3;-;-;-;-;-;4;4;79
"510630 Paranatinga";2;2;2;-;1;1;1;-;1;1;1;2;14
"510637 Pedra Preta";-;-;2;1;-;-;-;-;-;-;-;-;3
"510642 Peixoto de Azevedo";2;1;2;1;1;-;-;-;-;-;1;-;8
"510645 Planalto da Serra";-;-;-;-;-;-;-;-;-;-;3;1;4
"510650 Poconé";97;64;5;3;2;-;-;-;-;-;1;1;173
"510665 Pontal do Araguaia";-;-;1;-;-;-;-;-;-;-;2;1;4
"510670 Ponte Branca";-;-;-;-;-;-;-;-;1;-;-;-;1
"510675 Pontes e Lacerda";4;6;4;8;1;3;2;4;2;1;2;3;40
"510677 Porto Alegre do Norte";-;1;1;3;-;-;1;-;-;2;-;-;8
"510682 Porto Esperidião";1;-;3;2;-;-;-;-;-;-;-;-;6
"510700 Poxoréo";-;-;-;-;-;-;-;-;-;-;-;1;1
"510704 Primavera do Leste";-;-;-;-;-;-;-;-;-;-;1;-;1
"510706 Querência";1;1;5;13;24;17;18;5;12;2;7;1;106
"510718 Ribeirão Cascalheira";1;1;1;2;3;5;1;2;1;5;4;3;29
"510719 Ribeirãozinho";-;-;6;2;-;1;1;2;1;1;2;-;16
"510760 Rondonópolis";5;5;5;2;4;3;4;1;-;-;-;2;31
"510775 Salto do Céu";-;-;-;-;-;-;-;-;-;1;-;-;1
"510724 Santa Carmem";3;1;-;1;-;-;-;-;-;-;-;-;5
"510774 Santa Cruz do Xingu";-;-;-;-;-;-;-;-;-;2;-;-;2
"510776 Santa Rita do Trivelato";-;-;1;-;-;-;-;-;-;-;-;-;1
"510726 Santo Afonso";-;4;22;1;2;-;-;-;-;-;-;-;29
"510779 Santo Antônio do Leste";-;1;-;3;-;-;-;-;-;-;1;-;5
"510780 Santo Antônio do Leverger";1;-;1;1;-;-;-;-;-;-;-;-;3
"510785 São Félix do Araguaia";1;1;-;-;-;-;4;-;-;-;7;-;13
"510730 São José do Rio Claro";-;-;1;-;-;-;-;-;-;-;-;1;2
"510735 São José do Xingu";-;-;-;-;1;1;1;-;-;-;-;-;3
"510710 São José dos Quatro Marcos";1;2;2;-;-;-;-;-;-;-;-;-;5
"510787 Sapezal";-;1;-;-;-;-;-;-;1;-;-;-;2
"510790 Sinop";18;24;50;51;86;82;35;19;17;7;20;24;433
"510792 Sorriso";3;6;4;8;3;3;1;-;3;2;3;4;40
"510794 Tabaporã";-;1;-;-;-;-;1;-;-;-;-;-;2
"510795 Tangará da Serra";8;19;52;12;7;6;1;5;-;2;2;3;117
"510800 Tapurah";1;-;-;-;-;1;-;-;-;-;1;-;3
"510805 Terra Nova do Norte";-;-;-;2;-;-;-;-;-;-;-;-;2
"510810 Tesouro";-;-;-;-;-;-;1;-;-;1;1;-;3
"510820 Torixoréu";13;11;4;8;1;-;-;-;-;1;-;1;39
"510830 União do Sul";1;-;-;-;-;1;-;-;-;-;-;-;2
"510840 Várzea Grande";644;375;221;47;21;18;15;3;3;3;29;121;1500
"510850 Vera";-;-;-;3;1;-;-;-;-;-;-;-;4
"510550 Vila Bela da Santíssima Trindade";3;7;1;2;-;-;-;-;1;4;-;4;22
"520030 Alexânia";-;-;-;-;1;-;-;-;-;-;-;-;1
"520170 Aragarças";-;-;-;1;-;-;-;-;-;-;-;-;1
"520870 Goiânia";1;1;1;-;2;-;-;-;-;-;-;-;5
"000000 Ignorado ou exterior";274;195;290;203;152;83;43;51;45;34;77;162;1609
"Total";1455;1341;1180;852;634;353;219;175;145;138;323;507;7322
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
