DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2014
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"411520 Maringá";-;-;-;1;-;-;-;-;-;-;-;-;1
"510010 Acorizal";-;-;-;-;-;-;-;1;-;-;-;1;2
"510020 Água Boa";3;-;1;1;2;-;-;-;-;-;-;1;8
"510025 Alta Floresta";70;97;167;121;45;17;14;4;14;14;14;14;591
"510030 Alto Araguaia";1;1;-;3;1;-;1;1;1;1;3;-;13
"510040 Alto Garças";-;-;-;-;1;-;-;1;1;-;-;-;3
"510050 Alto Paraguai";1;-;-;-;-;-;-;-;-;1;-;-;2
"510060 Alto Taquari";1;-;-;1;-;-;-;1;6;3;-;-;12
"510080 Apiacás";-;-;-;1;-;-;-;-;-;-;-;-;1
"510100 Araguaiana";1;-;-;-;-;1;-;-;-;-;-;-;2
"510125 Araputanga";10;5;8;9;2;2;6;-;1;1;-;-;44
"510130 Arenápolis";1;1;-;1;-;-;-;-;-;-;-;1;4
"510140 Aripuanã";5;6;6;8;6;7;2;-;2;2;5;1;50
"510170 Barra do Bugres";1;2;-;-;-;-;-;-;-;-;-;-;3
"510180 Barra do Garças";5;9;3;7;2;1;1;-;-;-;-;2;30
"510185 Bom Jesus do Araguaia";5;7;-;-;-;-;-;-;-;-;-;-;12
"510190 Brasnorte";4;3;1;4;-;1;1;2;-;-;1;1;18
"510250 Cáceres";12;15;10;4;2;2;-;-;1;1;-;6;53
"510260 Campinápolis";-;-;1;-;1;-;-;-;-;-;-;1;3
"510263 Campo Novo do Parecis";1;1;-;1;-;2;1;-;-;-;-;2;8
"510267 Campo Verde";4;4;10;6;5;2;1;-;3;1;2;1;39
"510268 Campos de Júlio";12;10;15;13;8;7;8;1;1;1;-;-;76
"510269 Canabrava do Norte";-;-;4;-;3;3;-;-;-;-;-;2;12
"510270 Canarana";2;2;-;1;-;1;-;-;-;-;-;-;6
"510279 Carlinda";1;-;5;10;4;-;-;-;-;1;-;1;22
"510285 Castanheira";-;-;-;-;-;-;-;-;-;-;-;1;1
"510300 Chapada dos Guimarães";-;-;1;-;-;-;-;-;1;-;-;-;2
"510305 Cláudia";4;2;-;5;-;1;-;-;-;-;1;-;13
"510310 Cocalinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"510320 Colíder";2;7;11;1;5;-;2;-;2;-;2;-;32
"510325 Colniza";24;15;23;16;8;19;9;7;26;20;23;24;214
"510330 Comodoro";6;16;7;8;13;-;-;-;-;2;-;6;58
"510335 Confresa";7;20;9;1;1;-;-;-;-;1;-;-;39
"510337 Cotriguaçu";-;-;-;2;2;2;1;-;-;-;2;-;9
"510340 Cuiabá";110;130;203;139;111;110;55;97;136;93;75;27;1286
"510343 Curvelândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"510360 Dom Aquino";-;-;1;2;1;-;-;-;-;-;-;-;4
"510370 Feliz Natal";-;4;6;-;2;2;-;-;-;-;-;5;19
"510385 Gaúcha do Norte";1;-;-;1;1;1;-;-;-;-;1;-;5
"510390 General Carneiro";-;-;1;-;-;-;-;-;-;-;-;2;3
"510410 Guarantã do Norte";3;1;-;2;3;-;-;-;-;-;2;1;12
"510420 Guiratinga";-;2;-;-;3;2;-;-;1;-;-;-;8
"510450 Indiavaí";-;2;2;3;-;-;-;-;-;-;1;-;8
"510452 Ipiranga do Norte";1;2;-;1;-;-;-;-;-;1;-;-;5
"510454 Itanhangá";1;1;-;2;3;2;1;1;1;1;-;1;14
"510455 Itaúba";2;9;9;5;5;8;4;-;-;-;1;-;43
"510460 Itiquira";-;-;-;-;-;1;-;-;-;-;-;-;1
"510480 Jaciara";3;2;1;5;8;7;4;1;-;-;-;1;32
"510500 Jauru";3;2;-;1;1;-;-;-;2;-;3;1;13
"510510 Juara";-;-;-;1;2;-;2;2;4;2;6;21;40
