DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2008
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 Cacoal";1;-;-;-;-;-;-;-;-;-;-;-;1
"110006 Colorado do Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 Manaus";-;1;-;-;-;-;-;-;-;-;-;-;1
"150619 Rurópolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"410830 Foz do Iguaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"500270 Campo Grande";-;-;-;-;2;-;-;-;-;-;-;-;2
"510010 Acorizal";-;1;-;1;-;-;-;-;-;-;-;-;2
"510020 Água Boa";-;1;-;-;1;-;-;-;-;-;-;-;2
"510025 Alta Floresta";124;63;51;22;2;-;-;-;-;-;-;15;277
"510030 Alto Araguaia";-;-;4;2;2;2;-;-;-;-;-;-;10
"510035 Alto Boa Vista";3;28;1;-;1;-;-;10;10;4;7;-;64
"510040 Alto Garças";-;-;1;-;-;-;-;-;-;-;-;-;1
"510050 Alto Paraguai";-;-;1;-;-;-;-;-;-;-;-;-;1
"510080 Apiacás";-;-;-;-;-;-;-;1;-;-;-;-;1
"510100 Araguaiana";1;16;19;12;-;2;-;-;-;-;1;1;52
"510125 Araputanga";2;-;-;1;-;-;-;-;-;-;-;1;4
"510130 Arenápolis";-;-;5;5;1;-;1;-;-;-;-;-;12
"510140 Aripuanã";10;9;4;7;-;-;-;-;-;-;-;1;31
"510160 Barão de Melgaço";-;-;-;-;-;-;2;-;1;-;-;-;3
"510170 Barra do Bugres";6;12;5;4;-;-;-;-;-;-;-;1;28
"510180 Barra do Garças";213;228;167;112;4;-;-;-;-;-;6;29;759
"510185 Bom Jesus do Araguaia";-;-;1;-;-;-;-;-;-;-;-;-;1
"510190 Brasnorte";-;-;4;2;4;6;1;2;8;19;27;43;116
"510250 Cáceres";18;1;2;1;-;-;-;1;-;-;-;1;24
"510260 Campinápolis";-;1;-;-;1;-;-;-;-;-;-;-;2
"510263 Campo Novo do Parecis";4;9;3;-;1;-;-;-;-;2;4;8;31
"510267 Campo Verde";-;1;7;1;1;-;-;-;-;-;1;-;11
"510268 Campos de Júlio";1;9;1;1;1;-;-;-;-;-;1;-;14
