DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2013
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110020 Porto Velho";3;-;-;-;-;-;-;-;-;-;-;-;3
"130006 Amaturá";1;-;-;-;-;-;-;-;-;-;-;-;1
"130014 Apuí";-;2;-;-;1;-;-;-;-;-;-;-;3
"130030 Autazes";-;-;1;-;-;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;2;3;13;1;-;-;1;4;-;-;24
"130060 Benjamin Constant";1;-;-;-;-;-;-;-;-;-;-;1;2
"130070 Boca do Acre";2;2;2;-;-;-;-;-;-;-;-;-;6
"130080 Borba";8;13;19;7;6;2;2;8;8;2;3;2;80
"130090 Canutama";-;-;-;2;-;-;-;-;-;-;-;-;2
"130110 Careiro";21;32;22;11;3;-;-;-;-;-;-;1;90
"130115 Careiro da Várzea";-;1;-;1;-;-;-;-;-;-;-;-;2
"130120 Coari";35;283;249;136;13;10;1;2;7;6;11;6;759
"130130 Codajás";20;49;7;1;-;-;-;-;-;-;-;-;77
"130150 Envira";2;-;-;-;-;-;-;-;-;-;-;2;4
"130170 Humaitá";103;70;25;4;1;-;-;4;6;16;13;5;247
"130185 Iranduba";1;-;2;3;1;-;-;-;-;-;-;-;7
"130190 Itacoatiara";7;25;25;20;1;5;-;-;-;1;-;3;87
"130210 Japurá";-;-;-;-;-;1;-;-;-;-;-;-;1
"130240 Lábrea";12;3;2;5;-;1;-;-;-;2;-;-;25
"130250 Manacapuru";57;41;22;2;2;3;-;-;-;-;4;3;134
"130255 Manaquiri";-;-;-;1;-;-;-;-;-;-;-;-;1
"130260 Manaus";1722;1851;2098;1594;925;551;208;85;80;34;78;105;9331
"130270 Manicoré";-;1;-;-;-;1;-;-;6;3;-;-;11
"130290 Maués";-;3;24;25;12;6;2;-;-;-;1;-;73
"130310 Nova Olinda do Norte";-;1;2;-;-;-;-;-;-;-;-;-;3
"130320 Novo Airão";2;5;5;-;-;-;-;-;-;-;-;-;12
"130330 Novo Aripuanã";-;2;7;3;4;6;4;1;-;-;-;-;27
"130340 Parintins";3;3;1;1;1;-;1;1;1;-;-;-;12
"130353 Presidente Figueiredo";-;-;1;1;2;1;-;-;1;1;-;-;7
"130356 Rio Preto da Eva";1;-;-;-;-;2;1;-;-;-;-;-;4
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;2;-;-;-;-;-;2
"130370 Santo Antônio do Içá";18;-;-;-;-;-;-;-;-;-;-;-;18
"130380 São Gabriel da Cachoeira";35;20;30;42;14;9;15;8;3;7;-;-;183
"130395 São Sebastião do Uatumã";-;-;1;-;-;-;-;-;-;-;-;-;1
"130406 Tabatinga";136;5;-;1;1;-;-;2;2;3;36;71;257
"130420 Tefé";2;8;11;15;19;20;7;3;1;2;3;2;93
"150680 Santarém";1;-;-;-;-;-;-;-;-;-;-;-;1
"230440 Fortaleza";1;-;-;-;-;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";921;1219;999;767;444;321;335;241;158;209;159;245;6018
"Total";3115;3639;3557;2645;1463;940;578;355;274;290;308;446;17610
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
