DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"130260 Manaus";4;-;-;-;4
"150010 Abaetetuba";3;-;-;-;3
"150013 Abel Figueiredo";10;-;-;-;10
"150020 Acará";24;-;-;-;24
"150034 Água Azul do Norte";1;-;-;-;1
"150040 Alenquer";2;-;-;-;2
"150050 Almeirim";50;1;-;-;51
"150060 Altamira";188;1;-;-;189
"150070 Anajás";1;-;-;-;1
"150080 Ananindeua";8;-;-;1;9
"150085 Anapu";43;-;-;-;43
"150090 Augusto Corrêa";1;-;-;-;1
"150095 Aurora do Pará";7;-;-;-;7
"150125 Bannach";3;-;-;-;3
"150130 Barcarena";7;-;-;-;7
"150140 Belém";148;-;-;3;151
"150170 Bragança";1;-;-;-;1
"150172 Brasil Novo";64;-;-;-;64
"150175 Brejo Grande do Araguaia";8;-;-;-;8
"150178 Breu Branco";2;-;-;-;2
"150180 Breves";6;-;-;-;6
"150210 Cametá";3;-;-;-;3
"150215 Canaã dos Carajás";9;-;-;-;9
"150230 Capitão Poço";1;-;-;-;1
"150240 Castanhal";14;-;-;-;14
"150270 Conceição do Araguaia";10;-;-;-;10
"150277 Curionópolis";4;-;-;-;4
"150293 Dom Eliseu";14;-;-;-;14
"150310 Gurupá";15;21;-;-;36
"150320 Igarapé-Açu";3;-;-;-;3
"150340 Inhangapi";1;-;-;-;1
"150345 Ipixuna do Pará";13;-;-;-;13
"150350 Irituia";4;-;-;-;4
"150360 Itaituba";36;1;-;-;37
"150370 Itupiranga";34;-;-;-;34
"150390 Juruti";5;-;-;-;5
"150420 Marabá";85;-;-;-;85
"150430 Maracanã";1;-;-;-;1
"150442 Marituba";11;1;-;-;12
"150445 Medicilândia";11;-;-;-;11
"150450 Melgaço";1;-;-;-;1
"150460 Mocajuba";1;-;-;-;1
"150470 Moju";2;-;-;-;2
"150475 Mojuí dos Campos";1;-;-;-;1
"150480 Monte Alegre";3;-;-;-;3
"150490 Muaná";1;-;-;-;1
"150495 Nova Esperança do Piriá";3;-;-;-;3
"150497 Nova Ipixuna";11;-;-;-;11
"150503 Novo Progresso";46;1;-;-;47
"150510 Óbidos";8;-;-;-;8
"150520 Oeiras do Pará";-;-;-;1;1
"150530 Oriximiná";199;-;-;-;199
"150543 Ourilândia do Norte";15;-;-;-;15
"150548 Pacajá";174;-;-;1;175
"150550 Paragominas";5;-;-;-;5
"150553 Parauapebas";532;-;-;-;532
"150565 Placas";1;-;-;-;1
"150570 Ponta de Pedras";13;-;-;-;13
"150580 Portel";12;-;-;-;12
"150613 Redenção";5;-;-;-;5
"150616 Rio Maria";1;-;-;-;1
"150618 Rondon do Pará";6;-;-;-;6
"150619 Rurópolis";2;-;-;-;2
"150620 Salinópolis";9;-;-;-;9
"150650 Santa Izabel do Pará";3;-;-;-;3
"150655 Santa Luzia do Pará";1;-;-;-;1
"150658 Santa Maria das Barreiras";2;-;-;-;2
"150670 Santana do Araguaia";4;-;-;-;4
"150680 Santarém";20;-;-;-;20
"150720 São Domingos do Capim";13;-;-;-;13
"150730 São Félix do Xingu";173;-;-;-;173
"150745 São Geraldo do Araguaia";52;-;-;-;52
"150746 São João da Ponta";24;4;-;-;28
"150750 São João do Araguaia";5;-;-;-;5
"150780 Senador José Porfírio";496;2;-;-;498
"150790 Soure";1;-;-;-;1
"150795 Tailândia";20;-;1;-;21
"150796 Terra Alta";1;-;-;-;1
"150797 Terra Santa";1;-;-;-;1
"150800 Tomé-Açu";23;-;-;-;23
"150803 Tracuateua";1;-;-;-;1
"150808 Tucumã";8;1;-;-;9
"150810 Tucuruí";1;-;-;-;1
"150815 Uruará";62;-;-;-;62
"150820 Vigia";2;-;-;-;2
"150835 Vitória do Xingu";4;-;-;-;4
"150840 Xinguara";12;-;-;-;12
"160027 Laranjal do Jari";1;-;-;-;1
"160030 Macapá";1;-;-;-;1
"211130 São Luís";1;-;-;-;1
"354980 São José do Rio Preto";1;-;-;-;1
"000000 Ignorado ou exterior";1699;-;1;5;1705
"Total";4538;33;2;11;4584
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
