DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2018
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"110001 Alta Floresta D'Oeste";5;-;-;-;-;5
"110037 Alto Alegre dos Parecis";1;-;-;-;-;1
"110040 Alto Paraíso";3;-;-;-;-;3
"110034 Alvorada D'Oeste";-;1;-;-;-;1
"110002 Ariquemes";8;-;-;-;-;8
"110045 Buritis";19;-;-;-;-;19
"110003 Cabixi";2;-;-;-;-;2
"110004 Cacoal";20;-;-;-;-;20
"110070 Campo Novo de Rondônia";4;-;-;-;-;4
"110005 Cerejeiras";10;-;-;-;-;10
"110006 Colorado do Oeste";1;-;-;-;-;1
"110094 Cujubim";3;-;-;-;-;3
"110009 Espigão D'Oeste";26;-;-;-;-;26
"110100 Governador Jorge Teixeira";1;-;-;-;-;1
"110010 Guajará-Mirim";34;-;-;-;-;34
"110110 Itapuã do Oeste";2;-;-;-;-;2
"110011 Jaru";1;-;-;-;-;1
"110012 Ji-Paraná";18;-;-;-;-;18
"110013 Machadinho D'Oeste";4;-;-;-;-;4
"110140 Monte Negro";2;-;-;-;-;2
"110014 Nova Brasilândia D'Oeste";4;-;-;-;-;4
"110033 Nova Mamoré";2;-;-;-;-;2
"110143 Nova União";1;-;-;-;-;1
"110015 Ouro Preto do Oeste";5;-;-;-;-;5
"110145 Parecis";2;-;-;-;-;2
"110018 Pimenta Bueno";2;-;-;-;-;2
"110020 Porto Velho";102;6;-;-;-;108
"110025 Presidente Médici";1;-;-;-;-;1
"110147 Primavera de Rondônia";1;-;-;-;-;1
"110026 Rio Crespo";3;-;-;-;-;3
"110028 Rolim de Moura";14;-;-;-;-;14
"110029 Santa Luzia D'Oeste";3;-;-;-;-;3
"110148 São Felipe D'Oeste";5;-;-;-;-;5
"110149 São Francisco do Guaporé";4;-;-;-;-;4
"110032 São Miguel do Guaporé";2;-;-;-;-;2
"110150 Seringueiras";5;-;-;-;-;5
"110155 Teixeirópolis";1;-;-;-;-;1
"110170 Urupá";1;-;-;-;-;1
"110180 Vale do Paraíso";1;-;-;-;-;1
"110030 Vilhena";10;-;-;-;-;10
"120001 Acrelândia";55;-;-;-;-;55
"120010 Brasiléia";21;-;-;-;-;21
"120013 Bujari";5;-;-;-;-;5
"120017 Capixaba";7;-;-;-;-;7
"120020 Cruzeiro do Sul";987;-;-;-;-;987
"120025 Epitaciolândia";9;-;-;-;-;9
"120030 Feijó";986;-;-;-;-;986
"120033 Mâncio Lima";518;-;-;-;-;518
"120034 Manoel Urbano";98;-;-;-;-;98
"120038 Plácido de Castro";1;-;-;-;-;1
"120080 Porto Acre";13;-;-;-;-;13
"120040 Rio Branco";330;-;-;-;-;330
"120042 Rodrigues Alves";86;-;-;-;-;86
"120050 Sena Madureira";1;-;-;-;-;1
"120045 Senador Guiomard";5;-;-;-;-;5
"120060 Tarauacá";266;-;-;-;-;266
"120070 Xapuri";1;-;-;-;-;1
"130002 Alvarães";1;-;-;-;-;1
"130040 Barcelos";1;-;-;-;-;1
"130080 Borba";1;-;-;-;-;1
