DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2017
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"110020 Porto Velho";1;-;-;1
"130260 Manaus";2;-;-;2
"150010 Abaetetuba";119;18;-;137
"150013 Abel Figueiredo";6;-;-;6
"150030 Afuá";2;-;-;2
"150034 Água Azul do Norte";1;-;-;1
"150040 Alenquer";41;-;-;41
"150050 Almeirim";1;-;-;1
"150060 Altamira";7;-;-;7
"150080 Ananindeua";3;-;-;3
"150085 Anapu";411;1;-;412
"150090 Augusto Corrêa";-;1;-;1
"150095 Aurora do Pará";1;-;-;1
"150125 Bannach";8;-;-;8
"150130 Barcarena";11;-;-;11
"150140 Belém";42;-;-;42
"150157 Bom Jesus do Tocantins";1;-;-;1
"150160 Bonito";-;1;-;1
"150170 Bragança";1;1;-;2
"150172 Brasil Novo";1;-;-;1
"150175 Brejo Grande do Araguaia";1;-;-;1
"150178 Breu Branco";1;-;-;1
"150180 Breves";3;-;-;3
"150210 Cametá";1;-;-;1
"150215 Canaã dos Carajás";25;-;-;25
"150230 Capitão Poço";51;1;-;52
"150240 Castanhal";16;-;-;16
"150250 Chaves";2;-;-;2
"150260 Colares";1;-;-;1
"150270 Conceição do Araguaia";4;-;-;4
"150275 Concórdia do Pará";1;-;-;1
"150276 Cumaru do Norte";8;1;-;9
"150277 Curionópolis";2;-;-;2
"150285 Curuá";1;-;-;1
"150293 Dom Eliseu";2;-;-;2
"150295 Eldorado do Carajás";2;-;-;2
"150307 Garrafão do Norte";2;-;-;2
"150310 Gurupá";4;-;-;4
"150345 Ipixuna do Pará";2;-;-;2
"150350 Irituia";2;-;-;2
"150360 Itaituba";31;-;-;31
"150370 Itupiranga";3;-;-;3
"150380 Jacundá";94;-;-;94
"150390 Juruti";1;-;-;1
"150400 Limoeiro do Ajuru";13;-;-;13
"150420 Marabá";230;-;-;230
"150430 Maracanã";1;-;-;1
"150442 Marituba";1;-;-;1
"150445 Medicilândia";1;-;-;1
"150480 Monte Alegre";3;-;-;3
"150495 Nova Esperança do Piriá";61;-;-;61
"150497 Nova Ipixuna";2;-;-;2
"150503 Novo Progresso";62;-;-;62
"150506 Novo Repartimento";143;-;-;143
"150510 Óbidos";2;-;-;2
"150520 Oeiras do Pará";3;-;-;3
"150530 Oriximiná";27;-;-;27
"150543 Ourilândia do Norte";73;-;-;73
"150548 Pacajá";275;-;-;275
"150549 Palestina do Pará";56;-;-;56
"150550 Paragominas";39;-;-;39
"150553 Parauapebas";1051;-;-;1051
"150555 Pau D'Arco";7;-;-;7
"150565 Placas";1;-;-;1
"150610 Primavera";5;-;-;5
"150613 Redenção";88;-;-;88
"150616 Rio Maria";24;2;-;26
"150618 Rondon do Pará";42;-;-;42
"150620 Salinópolis";1;-;-;1
"150670 Santana do Araguaia";20;-;-;20
"150680 Santarém";2;-;-;2
"150700 Santo Antônio do Tauá";2;-;-;2
"150710 São Caetano de Odivelas";3;-;-;3
"150730 São Félix do Xingu";46;-;-;46
"150740 São Francisco do Pará";2;-;-;2
"150745 São Geraldo do Araguaia";217;-;-;217
"150747 São João de Pirabas";8;-;-;8
"150775 Sapucaia";1;-;-;1
"150780 Senador José Porfírio";7;-;-;7
"150790 Soure";15;-;-;15
"150795 Tailândia";4;-;-;4
"150800 Tomé-Açu";1;-;-;1
"150803 Tracuateua";1;-;-;1
"150805 Trairão";1;-;-;1
"150808 Tucumã";3;-;-;3
"150810 Tucuruí";145;-;-;145
"150812 Ulianópolis";1;-;-;1
"150820 Vigia";83;-;-;83
"150835 Vitória do Xingu";8;-;-;8
"150840 Xinguara";856;-;-;856
"160060 Santana";4;-;-;4
"330455 Rio de Janeiro";1;-;-;1
"000000 Ignorado ou exterior";3284;17;1;3302
"Total";7845;43;1;7889
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
