DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2009
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150140 Belém";1;-;-;-;-;-;-;-;-;-;-;-;1
"210005 Açailândia";1;2;6;1;8;6;2;2;-;-;-;2;30
"210010 Afonso Cunha";3;-;4;6;16;5;1;-;-;-;-;1;36
"210030 Aldeias Altas";-;-;3;3;6;12;2;-;-;-;-;-;26
"210040 Altamira do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210043 Alto Alegre do Maranhão";-;-;2;-;-;-;-;-;-;-;-;-;2
"210047 Alto Alegre do Pindaré";-;-;-;3;1;1;1;-;-;-;-;-;6
"210050 Alto Parnaíba";1;-;-;-;-;-;-;-;-;-;-;-;1
"210055 Amapá do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210060 Amarante do Maranhão";-;-;1;-;1;-;-;-;-;-;-;-;2
"210070 Anajatuba";-;-;1;1;-;-;-;-;-;-;-;-;2
"210080 Anapurus";-;-;1;-;-;-;-;-;-;-;-;-;1
"210083 Apicum-Açu";-;2;-;-;-;-;-;-;-;-;-;-;2
"210095 Arame";-;-;-;2;2;-;-;-;-;-;-;-;4
"210110 Axixá";-;-;1;-;-;-;-;-;-;-;-;-;1
"210120 Bacabal";-;-;1;3;1;-;-;1;-;-;-;-;6
"210140 Balsas";4;6;12;11;3;3;1;-;1;1;-;1;43
"210150 Barão de Grajaú";2;-;-;1;2;-;1;-;3;1;2;-;12
"210160 Barra do Corda";4;4;23;15;10;3;1;2;1;-;-;1;64
"210170 Barreirinhas";1;-;-;2;-;-;-;1;-;-;-;-;4
"210190 Bequimão";-;-;-;-;-;-;1;-;-;-;-;-;1
"210193 Bernardo do Mearim";1;-;-;-;1;-;-;-;-;-;-;-;2
"210197 Boa Vista do Gurupi";-;-;7;3;-;-;-;-;-;-;-;2;12
"210203 Bom Jesus das Selvas";-;-;-;-;1;-;-;-;-;-;-;-;1
"210215 Brejo de Areia";-;-;1;-;-;-;-;-;-;-;-;-;1
"210220 Buriti";-;-;2;-;-;-;-;-;-;-;-;-;2
"210230 Buriti Bravo";-;1;10;11;15;5;2;-;-;-;-;-;44
"210232 Buriticupu";-;1;-;-;-;-;-;-;-;-;-;-;1
"210237 Cachoeira Grande";-;-;1;-;-;-;-;-;-;-;-;-;1
"210250 Cajari";-;-;-;-;-;1;-;-;-;-;-;-;1
"210255 Campestre do Maranhão";-;-;-;1;-;-;-;-;-;-;-;-;1
"210275 Capinzal do Norte";-;2;4;1;6;-;-;-;-;-;-;-;13
"210280 Carolina";2;1;4;1;4;-;-;-;-;-;-;-;12
"210300 Caxias";6;7;42;8;15;6;3;-;-;-;-;-;87
"210320 Chapadinha";1;-;5;8;-;-;1;1;-;-;-;-;16
"210325 Cidelândia";-;-;6;-;-;-;-;-;1;-;-;-;7
"210330 Codó";-;-;3;1;-;-;-;-;-;-;-;-;4
"210340 Coelho Neto";-;-;-;-;1;-;-;-;-;-;-;-;1
"210350 Colinas";6;1;4;-;-;-;-;-;-;-;-;-;11
"210360 Coroatá";-;-;7;8;3;3;1;-;-;-;-;-;22
"210375 Davinópolis";-;2;-;-;-;-;-;-;-;-;-;-;2
"210390 Duque Bacelar";-;1;-;3;-;-;-;-;-;-;-;-;4
"210400 Esperantinópolis";-;2;5;5;14;-;-;-;-;-;-;-;26
"210409 Formosa da Serra Negra";-;-;2;2;2;-;-;-;-;-;-;-;6
"210420 Fortuna";-;1;-;-;-;-;-;-;-;-;-;-;1
"210440 Gonçalves Dias";-;-;1;6;12;-;-;-;-;-;-;-;19
"210450 Governador Archer";-;-;-;-;1;-;-;-;-;-;-;-;1
"210455 Governador Edison Lobão";-;-;2;-;1;2;-;-;-;-;-;-;5
"210460 Governador Eugênio Barros";-;-;2;1;-;-;-;-;-;-;-;-;3
"210462 Governador Luiz Rocha";-;6;8;-;-;-;-;-;-;-;-;-;14
"210480 Grajaú";-;-;2;-;2;-;-;-;-;1;-;-;5
"210490 Guimarães";-;-;1;-;-;-;-;-;-;-;-;-;1
"210500 Humberto de Campos";1;-;-;3;-;-;-;-;-;-;-;-;4
"210510 Icatu";-;-;2;-;-;-;-;-;-;-;-;-;2
"210530 Imperatriz";20;64;80;46;32;17;1;-;-;-;-;-;260
"210535 Itaipava do Grajaú";-;-;-;1;-;-;-;-;-;-;-;-;1
"210540 Itapecuru Mirim";-;-;1;-;-;-;-;-;-;-;-;-;1
"210542 Itinga do Maranhão";5;5;17;6;1;-;-;1;-;-;-;-;35
"210547 Jenipapo dos Vieiras";-;-;-;1;-;-;-;-;-;-;-;-;1
"210550 João Lisboa";-;1;2;-;1;-;-;-;-;-;-;-;4
"210560 Joselândia";1;4;4;5;6;9;2;1;-;-;-;-;32
"210565 Junco do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;1
