DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"270020 Anadia";-;-;-;-;-;-;2;-;-;-;-;-;2
"270030 Arapiraca";4;1;1;2;7;3;-;-;1;-;-;-;19
"270040 Atalaia";-;-;-;-;-;1;-;-;-;-;-;-;1
"270050 Barra de Santo Antônio";-;2;-;-;-;-;-;-;-;2;-;-;4
"270060 Barra de São Miguel";-;-;-;-;1;-;-;-;-;-;-;-;1
"270080 Belém";-;-;-;-;1;-;-;-;-;-;-;-;1
"270100 Boca da Mata";-;-;1;-;-;-;-;-;-;-;-;-;1
"270110 Branquinha";-;-;-;2;-;-;-;-;-;-;-;-;2
"270130 Cajueiro";1;2;1;2;-;-;-;-;-;-;-;-;6
"270140 Campo Alegre";-;-;-;-;-;-;1;1;-;-;-;1;3
"270160 Canapi";3;5;-;11;5;1;-;-;-;-;-;-;25
"270170 Capela";-;-;-;-;-;-;-;-;1;-;-;-;1
"270190 Chã Preta";2;5;4;35;3;1;-;-;-;-;-;-;50
"270220 Coqueiro Seco";-;-;-;1;-;-;-;-;-;-;-;-;1
"270230 Coruripe";-;-;1;-;-;-;1;-;-;-;-;-;2
"270235 Craíbas";1;-;1;1;1;-;-;-;-;-;-;-;4
"270240 Delmiro Gouveia";-;-;-;-;-;-;-;-;-;8;1;-;9
"270255 Estrela de Alagoas";-;-;-;1;1;-;-;-;-;-;-;-;2
"270260 Feira Grande";2;1;-;-;1;-;-;-;-;-;-;-;4
"270290 Girau do Ponciano";1;1;-;-;1;-;-;-;-;-;-;1;4
"270300 Ibateguara";-;5;5;19;29;4;-;-;-;-;-;-;62
"270310 Igaci";-;-;-;1;-;-;-;-;-;-;-;-;1
"270320 Igreja Nova";-;-;-;-;-;1;-;-;-;-;-;-;1
"270330 Inhapi";4;-;-;-;-;1;1;1;-;-;-;-;7
"270340 Jacaré dos Homens";-;-;-;-;1;-;4;-;-;-;-;-;5
"270350 Jacuípe";2;1;1;1;-;-;-;-;-;-;-;-;5
"270360 Japaratinga";-;-;-;-;-;2;-;-;-;-;-;-;2
"270370 Jaramataia";-;3;-;2;-;-;-;-;2;-;-;-;7
"270375 Jequiá da Praia";-;-;-;-;-;1;-;-;-;-;-;-;1
"270400 Junqueiro";1;1;-;1;2;3;4;1;-;1;-;1;15
"270410 Lagoa da Canoa";2;2;-;-;1;-;-;-;-;-;-;-;5
"270420 Limoeiro de Anadia";-;1;-;-;1;-;-;-;-;-;-;-;2
"270430 Maceió";54;68;54;64;77;80;130;98;59;45;35;39;803
"270440 Major Isidoro";-;-;-;-;-;-;-;-;-;2;1;-;3
"270490 Mar Vermelho";-;-;-;-;-;12;-;-;-;-;-;-;12
"270450 Maragogi";3;10;10;30;19;10;1;4;-;1;6;-;94
"270460 Maravilha";-;-;1;4;-;-;-;-;-;-;-;-;5
"270470 Marechal Deodoro";-;-;-;-;-;2;1;-;-;-;-;-;3
"270500 Mata Grande";-;-;1;-;-;-;1;-;-;-;-;-;2
"270520 Messias";-;-;-;-;1;2;3;-;2;-;-;-;8
"270560 Novo Lino";-;-;-;-;4;1;-;-;-;-;-;-;5
"270570 Olho d'Água das Flores";1;-;-;-;-;-;-;-;-;-;-;-;1
"270580 Olho d'Água do Casado";-;-;-;-;-;-;1;-;-;-;-;-;1
"270590 Olho d'Água Grande";-;-;-;-;-;-;-;-;-;-;-;1;1
"270610 Ouro Branco";-;-;1;4;-;1;-;-;-;-;-;-;6
"270630 Palmeira dos Índios";3;1;1;14;12;14;2;1;2;1;1;2;54
"270640 Pão de Açúcar";-;-;-;-;4;3;-;-;-;-;-;-;7
"270660 Paulo Jacinto";15;3;4;9;10;3;3;3;-;-;-;-;50
"270670 Penedo";-;-;-;1;-;3;1;-;-;-;-;-;5
"270680 Piaçabuçu";-;-;-;-;-;3;1;3;3;1;-;1;12
"270690 Pilar";3;9;5;9;12;6;6;2;-;-;-;-;52
"270700 Pindoba";-;-;-;-;-;-;1;3;1;-;-;-;5
"270720 Poço das Trincheiras";-;-;1;9;4;-;3;3;1;-;-;-;21
"270730 Porto Calvo";1;1;-;6;3;1;1;-;-;-;-;-;13
"270760 Quebrangulo";1;-;-;-;-;1;-;-;-;-;-;-;2
"270770 Rio Largo";5;8;6;1;1;-;3;3;2;1;1;3;34
"270790 Santa Luzia do Norte";-;2;1;1;-;-;-;-;-;-;-;-;4
"270800 Santana do Ipanema";-;-;-;-;1;-;-;-;-;-;1;-;2
"270810 Santana do Mundaú";-;-;-;-;-;1;-;-;-;-;-;-;1
"270830 São José da Laje";-;-;-;3;-;-;1;1;-;-;-;-;5
"270840 São José da Tapera";-;1;-;-;1;5;-;-;-;-;-;-;7
"270850 São Luís do Quitunde";-;-;1;2;1;1;-;-;-;-;-;1;6
"270860 São Miguel dos Campos";-;1;-;-;9;6;2;-;-;-;-;-;18
"270880 São Sebastião";-;-;-;1;2;-;3;7;1;2;2;-;18
"270890 Satuba";2;2;-;2;2;-;-;-;1;-;-;-;9
"270895 Senador Rui Palmeira";-;1;-;1;1;1;2;1;-;-;-;-;7
"270900 Tanque d'Arca";1;1;-;-;1;-;-;-;-;-;-;-;3
"270910 Taquarana";1;-;-;-;-;-;-;-;-;-;-;-;1
"270915 Teotônio Vilela";-;1;-;-;-;-;-;-;-;-;-;-;1
"270920 Traipu";-;1;-;-;-;-;-;-;-;-;-;-;1
"270940 Viçosa";13;1;-;1;2;-;1;3;-;-;-;6;27
"280020 Aquidabã";-;-;-;-;-;-;-;-;-;1;6;-;7
"280030 Aracaju";7;12;9;15;81;241;247;127;66;43;15;4;867
"280040 Arauá";-;-;1;-;-;-;-;1;-;-;-;-;2
"280060 Barra dos Coqueiros";1;-;-;-;-;-;1;1;-;-;1;1;5
"280067 Boquim";-;-;-;-;-;-;1;-;-;-;-;-;1
"280100 Campo do Brito";-;-;-;-;-;-;-;2;-;-;-;-;2
"280120 Canindé de São Francisco";-;-;-;-;-;-;-;1;1;-;-;-;2
"280130 Capela";-;-;-;-;-;-;1;1;-;-;-;-;2
"280140 Carira";-;-;-;-;2;-;-;-;-;-;-;-;2
"280150 Carmópolis";-;-;-;-;-;-;7;3;1;-;-;1;12
"280170 Cristinápolis";-;-;-;1;1;-;-;-;-;-;-;-;2
"280220 Feira Nova";-;-;1;-;-;-;-;-;-;-;-;-;1
"280240 Gararu";-;-;-;-;-;1;-;2;1;-;-;-;4
"280290 Itabaiana";-;-;-;1;-;-;-;-;-;1;-;-;2
"280300 Itabaianinha";-;-;-;-;-;-;5;6;1;1;3;1;17
"280320 Itaporanga d'Ajuda";-;-;-;-;1;-;-;1;-;-;-;-;2
"280330 Japaratuba";1;1;2;2;5;-;-;-;-;1;-;-;12
"280340 Japoatã";-;2;-;-;-;-;-;-;-;-;-;-;2
"280350 Lagarto";-;2;-;-;-;2;-;-;-;-;-;-;4
"280360 Laranjeiras";-;-;-;-;-;1;6;1;-;-;-;2;10
"280390 Malhador";-;-;-;-;1;3;1;1;1;-;2;-;9
"280410 Moita Bonita";-;-;-;-;-;-;-;1;-;-;-;-;1
"280430 Muribeca";-;-;-;-;-;-;1;-;4;2;-;-;7
"280440 Neópolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"280450 Nossa Senhora da Glória";-;-;-;1;-;-;-;1;-;-;-;-;2
"280460 Nossa Senhora das Dores";-;-;-;1;-;1;-;-;-;-;-;-;2
"280480 Nossa Senhora do Socorro";9;11;5;1;8;25;56;65;38;16;3;7;244
"280520 Pinhão";-;-;1;4;3;-;-;-;-;-;-;-;8
"280530 Pirambu";-;-;-;2;-;-;1;1;-;-;-;-;4
"280540 Poço Redondo";-;-;-;-;-;-;1;1;-;-;-;-;2
"280560 Porto da Folha";-;-;-;-;-;-;-;-;1;1;2;-;4
"280570 Propriá";-;-;-;-;-;-;-;-;1;-;-;-;1
"280600 Ribeirópolis";1;-;-;-;-;-;1;-;-;-;-;-;2
"280620 Salgado";-;-;-;-;-;-;-;-;-;-;-;1;1
"280630 Santa Luzia do Itanhy";-;-;1;-;5;2;-;-;-;-;-;-;8
"280660 Santo Amaro das Brotas";-;-;-;-;-;-;-;-;1;-;-;-;1
"280670 São Cristóvão";-;-;-;-;-;-;-;2;-;-;-;1;3
"280720 Siriri";1;-;-;-;-;-;-;-;-;-;-;-;1
"280740 Tobias Barreto";-;1;-;-;2;-;-;1;-;-;-;-;4
"280760 Umbaúba";-;-;-;-;-;-;-;-;-;1;-;-;1
"290010 Abaíra";-;-;-;-;1;-;-;-;-;-;-;-;1
"290020 Abaré";1;1;-;17;140;124;13;1;-;-;-;-;297
"290030 Acajutiba";-;-;-;1;2;-;-;-;-;-;-;-;3
"290035 Adustina";2;2;5;7;5;-;1;-;-;-;-;-;22
"290040 Água Fria";1;-;-;-;-;-;-;-;-;-;-;-;1
"290060 Aiquara";-;-;1;-;2;-;2;-;-;-;-;-;5
"290070 Alagoinhas";-;-;-;2;1;2;-;2;-;-;-;-;7
"290080 Alcobaça";-;-;-;-;-;-;-;-;1;-;-;-;1
"290090 Almadina";-;1;9;22;10;1;-;1;-;-;-;-;44
"290100 Amargosa";9;58;142;140;79;13;-;-;1;-;1;1;444
"290110 Amélia Rodrigues";-;-;-;-;-;-;1;-;-;-;-;-;1
"290115 América Dourada";-;-;-;3;4;3;-;-;-;-;-;-;10
"290130 Andaraí";5;4;-;1;6;17;1;-;-;-;-;-;34
"290135 Andorinha";-;-;2;1;-;-;1;-;-;-;-;-;4
"290140 Angical";-;-;-;-;1;5;2;-;-;-;-;1;9
"290150 Anguera";-;-;-;-;2;1;-;-;-;-;-;-;3
"290160 Antas";-;-;-;1;-;-;-;-;-;-;-;-;1
"290170 Antônio Cardoso";-;-;1;5;2;1;4;-;-;-;-;-;13
"290190 Aporá";-;-;-;1;-;-;-;-;-;-;-;-;1
"290195 Apuarema";-;-;1;13;9;1;-;-;-;-;-;-;24
"290200 Aracatu";-;-;2;8;11;7;4;2;2;-;3;5;44
"290210 Araci";9;17;9;7;27;25;6;-;2;14;-;-;116
"290225 Arataca";-;-;-;-;1;-;-;-;-;-;-;-;1
"290230 Aratuípe";-;-;-;1;-;-;-;-;-;-;-;-;1
"290260 Baixa Grande";-;2;9;6;34;9;1;1;1;-;-;-;63
"290270 Barra";-;-;1;-;-;1;-;-;-;-;-;-;2
"290280 Barra da Estiva";-;-;1;1;-;3;1;2;-;-;-;-;8
"290290 Barra do Choça";-;-;-;-;-;1;2;-;-;-;-;-;3
"290300 Barra do Mendes";-;-;5;19;49;14;3;-;2;-;-;-;92
"290310 Barra do Rocha";-;1;4;3;-;-;-;-;-;-;-;-;8
"290320 Barreiras";33;39;38;53;64;61;24;12;7;3;4;5;343
"290323 Barro Alto";1;1;7;23;30;6;1;-;-;-;-;-;69
"290330 Barro Preto";-;-;-;29;4;-;1;-;-;-;-;-;34
"290327 Barrocas";1;1;10;7;-;-;-;1;-;-;-;4;24
"290340 Belmonte";3;-;-;2;3;1;-;-;-;-;-;1;10
"290350 Belo Campo";-;1;1;2;1;-;2;-;-;-;1;-;8
"290370 Boa Nova";-;-;-;11;16;-;-;1;1;-;-;-;29
"290380 Boa Vista do Tupim";-;7;32;21;-;-;-;-;-;-;-;-;60
"290390 Bom Jesus da Lapa";-;1;1;8;44;49;24;9;11;-;-;-;147
"290395 Bom Jesus da Serra";-;1;-;2;1;1;-;-;-;-;-;-;5
"290410 Boquira";1;1;15;207;83;7;5;-;1;-;-;-;320
"290420 Botuporã";1;7;22;2;-;-;-;1;-;-;-;-;33
"290430 Brejões";-;1;3;13;8;8;2;1;-;-;-;-;36
"290440 Brejolândia";-;-;-;-;-;9;3;-;-;-;-;-;12
"290450 Brotas de Macaúbas";6;2;6;2;-;2;-;5;-;-;2;-;25
"290460 Brumado";-;3;22;158;267;161;61;9;3;-;-;-;684
"290470 Buerarema";1;3;-;-;2;1;-;-;-;-;-;-;7
"290480 Caatiba";-;-;8;7;-;-;-;1;-;-;-;-;16
"290485 Cabaceiras do Paraguaçu";-;-;2;2;22;22;1;-;-;-;-;-;49
"290490 Cachoeira";-;-;1;26;52;17;-;-;-;-;-;-;96
"290500 Caculé";11;44;90;38;12;1;1;1;-;-;-;3;201
"290510 Caém";-;-;-;-;1;1;-;-;-;-;-;-;2
"290515 Caetanos";-;-;3;-;-;-;-;-;-;-;-;-;3
"290520 Caetité";1;6;31;90;96;44;30;4;2;-;-;-;304
"290530 Cafarnaum";-;-;-;-;-;-;1;-;-;1;-;-;2
"290540 Cairu";-;9;3;3;-;-;-;-;1;-;-;-;16
"290550 Caldeirão Grande";1;2;1;2;-;2;-;-;-;-;-;1;9
"290560 Camacan";-;7;5;17;43;10;11;3;-;-;1;-;97
"290570 Camaçari";20;21;53;19;26;14;8;4;1;1;-;1;168
"290590 Campo Alegre de Lourdes";-;1;-;1;-;-;-;-;1;-;-;-;3
"290600 Campo Formoso";-;-;8;37;44;18;8;-;3;2;1;-;121
"290610 Canápolis";-;-;-;2;13;18;4;-;-;-;-;-;37
"290620 Canarana";1;1;4;54;44;23;-;-;-;-;-;-;127
"290630 Canavieiras";1;2;-;8;2;-;-;-;-;-;-;-;13
"290640 Candeal";-;-;-;5;7;-;-;-;-;-;-;-;12
"290650 Candeias";2;5;13;24;51;65;23;2;2;-;-;-;187
"290660 Candiba";-;-;-;-;-;-;-;-;1;-;-;-;1
"290670 Cândido Sales";14;10;5;5;5;-;-;-;-;1;-;-;40
"290680 Cansanção";-;1;1;19;9;3;-;1;1;1;-;-;36
"290685 Capela do Alto Alegre";-;-;-;-;-;-;-;1;-;-;-;-;1
"290689 Caraíbas";-;-;-;1;-;-;-;1;-;-;-;-;2
"290690 Caravelas";4;1;24;10;44;3;-;-;1;-;-;-;87
"290710 Carinhanha";-;1;3;19;37;13;9;1;1;3;-;-;87
"290720 Casa Nova";-;-;-;6;11;-;-;-;-;-;-;-;17
"290730 Castro Alves";1;9;-;1;1;-;-;-;-;-;1;-;13
"290750 Catu";2;4;5;27;38;38;18;10;2;-;1;1;146
"290760 Central";2;-;-;1;1;2;-;-;-;-;-;2;8
"290770 Chorrochó";-;-;-;-;2;8;3;-;-;-;-;-;13
"290780 Cícero Dantas";-;-;-;-;-;-;-;-;1;-;-;-;1
"290790 Cipó";-;-;-;11;20;9;3;1;1;-;-;-;45
"290800 Coaraci";-;-;4;-;-;-;-;-;-;-;-;-;4
"290810 Cocos";-;-;1;-;-;-;-;-;-;-;-;-;1
"290820 Conceição da Feira";2;-;1;5;1;-;-;-;-;-;-;-;9
"290830 Conceição do Almeida";1;-;-;1;-;-;-;-;-;-;-;1;3
"290840 Conceição do Coité";-;2;9;5;4;13;48;-;-;-;-;-;81
"290850 Conceição do Jacuípe";-;-;1;1;2;3;-;-;-;-;-;-;7
"290860 Conde";-;-;-;-;1;1;-;-;-;-;1;-;3
"290870 Condeúba";1;-;-;-;-;-;-;-;-;-;-;-;1
"290880 Contendas do Sincorá";-;-;5;10;35;53;14;3;-;-;-;-;120
"290890 Coração de Maria";-;-;2;5;13;-;-;-;-;-;-;-;20
"290900 Cordeiros";-;1;-;-;-;-;-;-;-;-;-;-;1
"290910 Coribe";2;19;23;3;8;4;3;2;-;-;-;-;64
"290920 Coronel João Sá";1;1;2;-;2;-;4;15;7;14;24;8;78
"290930 Correntina";4;4;11;120;53;14;-;-;-;-;-;1;207
"290940 Cotegipe";-;-;-;1;1;3;18;4;2;2;-;-;31
"290950 Cravolândia";-;-;-;-;4;5;-;-;-;-;-;-;9
"290960 Crisópolis";-;-;-;-;1;-;-;-;-;-;-;-;1
"290980 Cruz das Almas";1;2;-;4;1;1;-;-;-;-;-;-;9
"290990 Curaçá";-;-;-;13;42;43;32;3;-;-;-;-;133
"291000 Dário Meira";-;-;-;14;17;9;2;2;-;4;2;-;50
"291005 Dias d'Ávila";-;-;1;1;1;4;-;-;-;-;1;-;8
"291010 Dom Basílio";-;-;-;-;8;12;10;-;-;-;1;-;31
"291020 Dom Macedo Costa";-;-;1;7;9;7;1;-;-;-;-;-;25
"291030 Elísio Medrado";-;-;-;6;1;-;-;-;-;-;-;-;7
"291040 Encruzilhada";1;7;15;25;7;3;1;1;-;-;-;-;60
"291070 Euclides da Cunha";-;-;-;-;-;1;1;-;-;-;-;-;2
"291072 Eunápolis";13;41;97;111;241;95;13;13;13;6;16;-;659
"291077 Feira da Mata";1;-;-;3;3;1;-;-;-;-;-;-;8
"291080 Feira de Santana";1;6;6;27;51;39;31;9;3;1;-;3;177
"291085 Filadélfia";1;3;3;3;10;6;1;-;-;-;1;1;29
"291090 Firmino Alves";-;-;-;1;33;32;10;-;-;-;-;-;76
"291100 Floresta Azul";1;-;3;-;-;-;-;-;-;-;-;-;4
"291110 Formosa do Rio Preto";-;-;-;-;-;-;1;-;-;-;-;-;1
"291120 Gandu";-;1;1;6;21;27;5;8;1;2;3;3;78
"291130 Gentio do Ouro";3;5;1;-;1;-;-;-;-;-;-;-;10
"291140 Glória";-;-;-;-;-;2;2;1;2;-;-;-;7
"291150 Gongogi";-;-;3;-;6;-;-;-;-;-;-;-;9
"291160 Governador Mangabeira";3;22;53;19;12;11;6;2;1;1;-;-;130
"291165 Guajeru";-;-;1;2;-;1;-;-;-;-;-;-;4
"291170 Guanambi";1;2;11;76;81;21;2;1;3;1;1;2;202
"291180 Guaratinga";-;-;-;-;2;-;-;-;-;-;-;-;2
"291185 Heliópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"291190 Iaçu";-;-;-;1;5;9;-;-;-;-;-;-;15
"291200 Ibiassucê";-;2;21;12;-;-;-;-;-;-;-;-;35
"291210 Ibicaraí";-;1;5;11;29;16;4;1;1;-;1;-;69
"291220 Ibicoara";-;-;-;-;5;2;-;1;-;-;-;-;8
"291230 Ibicuí";-;-;-;-;8;1;-;-;-;-;-;-;9
"291240 Ibipeba";-;-;-;-;2;-;-;-;-;-;-;-;2
"291250 Ibipitanga";-;-;-;-;18;23;22;13;3;-;-;-;79
"291260 Ibiquera";-;7;-;6;6;-;1;1;-;-;-;-;21
"291270 Ibirapitanga";2;4;2;2;20;2;3;-;1;-;-;-;36
"291280 Ibirapuã";-;3;2;4;6;2;11;-;1;-;3;-;32
"291290 Ibirataia";56;17;46;15;19;-;-;-;3;3;1;6;166
"291300 Ibitiara";2;-;1;1;35;9;1;2;-;1;-;1;53
"291310 Ibititá";-;-;-;1;-;-;-;-;-;-;-;-;1
"291320 Ibotirama";-;-;-;1;-;-;-;-;-;-;-;-;1
"291350 Iguaí";3;5;12;15;-;1;-;-;-;-;-;1;37
"291360 Ilhéus";30;37;35;22;33;26;12;6;3;13;5;6;228
"291370 Inhambupe";12;7;14;18;31;37;7;6;3;1;-;3;139
"291380 Ipecaetá";-;-;2;1;5;17;6;-;-;-;-;-;31
"291390 Ipiaú";2;4;23;11;15;1;1;-;-;-;-;-;57
"291400 Ipirá";-;1;-;-;-;-;1;-;-;-;-;-;2
"291410 Ipupiara";-;1;1;1;14;13;16;14;-;-;2;1;63
"291420 Irajuba";-;1;20;168;7;1;-;-;-;-;-;-;197
"291430 Iramaia";-;-;3;46;20;-;3;-;-;-;-;-;72
"291440 Iraquara";-;4;30;40;-;-;-;-;-;-;-;-;74
"291450 Irará";-;1;-;1;-;-;-;-;-;-;-;-;2
"291460 Irecê";4;14;42;130;282;106;43;14;16;3;12;1;667
"291465 Itabela";-;1;1;-;2;-;-;-;-;-;-;-;4
"291470 Itaberaba";-;3;2;2;-;-;-;-;-;-;-;-;7
"291480 Itabuna";4;32;10;37;58;74;52;41;23;30;30;35;426
"291490 Itacaré";-;1;1;-;-;-;-;-;-;-;-;-;2
"291500 Itaeté";-;-;2;4;-;-;-;-;-;-;-;-;6
"291510 Itagi";-;-;-;-;-;-;-;1;-;-;-;-;1
"291520 Itagibá";-;-;2;1;-;-;-;-;-;-;-;-;3
"291530 Itagimirim";-;-;-;-;-;3;-;1;-;1;-;-;5
"291535 Itaguaçu da Bahia";-;-;-;-;-;1;-;-;-;-;-;-;1
"291540 Itaju do Colônia";-;-;-;-;-;-;-;-;-;-;-;1;1
"291550 Itajuípe";-;-;-;3;5;3;2;-;-;2;-;1;16
"291560 Itamaraju";20;13;7;7;17;3;1;-;-;-;1;1;70
"291570 Itamari";-;-;11;4;5;-;-;2;2;-;-;-;24
"291580 Itambé";-;-;-;3;4;-;-;-;-;-;-;-;7
"291600 Itanhém";39;104;109;73;136;23;2;-;-;-;-;3;489
"291610 Itaparica";-;-;1;2;3;-;-;-;-;-;-;1;7
"291620 Itapé";-;-;-;1;1;2;-;-;-;-;-;-;4
"291630 Itapebi";-;-;-;-;2;-;-;-;-;-;-;-;2
"291640 Itapetinga";3;17;39;20;4;1;-;-;-;-;-;-;84
"291650 Itapicuru";-;-;3;3;-;-;-;-;-;-;-;-;6
"291670 Itaquara";-;-;-;1;1;-;-;-;1;-;1;-;4
"291680 Itarantim";-;-;-;-;-;1;-;-;-;-;-;-;1
"291685 Itatim";-;-;-;2;9;1;-;-;-;-;-;-;12
"291690 Itiruçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"291700 Itiúba";2;2;1;7;10;20;11;1;-;1;-;-;55
"291710 Itororó";-;-;-;-;1;2;-;-;-;-;-;-;3
"291720 Ituaçu";-;-;-;1;1;-;-;-;-;-;-;-;2
"291730 Ituberá";-;-;-;1;-;-;-;-;-;-;-;-;1
"291733 Iuiú";-;-;-;-;-;-;-;-;-;1;1;-;2
"291735 Jaborandi";1;2;2;13;65;11;-;-;-;-;-;-;94
"291740 Jacaraci";107;155;150;64;24;5;1;-;1;1;1;43;552
"291750 Jacobina";-;-;3;-;3;1;-;-;-;-;-;-;7
"291760 Jaguaquara";1;46;55;41;158;13;2;-;-;-;1;-;317
"291770 Jaguarari";-;7;7;34;12;1;-;-;-;-;-;-;61
"291780 Jaguaripe";1;-;-;-;-;-;-;-;-;-;-;-;1
"291800 Jequié";9;32;30;34;4;3;3;3;2;2;2;4;128
"291810 Jeremoabo";-;-;-;15;16;14;11;1;1;-;-;-;58
"291820 Jiquiriçá";-;-;2;-;-;2;1;1;-;-;-;-;6
"291830 Jitaúna";-;-;3;5;2;2;-;-;-;-;-;-;12
"291835 João Dourado";-;1;1;6;4;7;1;-;-;2;1;2;25
"291840 Juazeiro";7;21;35;55;114;87;28;6;-;2;-;-;355
"291850 Jussara";-;-;1;-;-;-;-;-;-;-;-;-;1
"291855 Jussari";-;-;2;5;2;5;1;3;-;1;-;-;19
"291860 Jussiape";-;-;-;-;2;-;-;-;-;-;-;-;2
"291870 Lafaiete Coutinho";-;-;33;5;2;-;-;-;-;-;-;-;40
"291875 Lagoa Real";-;-;1;5;9;5;2;1;-;-;-;-;23
"291880 Laje";-;-;-;-;-;-;1;-;-;-;-;-;1
"291890 Lajedão";-;-;2;1;-;-;-;-;-;-;-;-;3
"291900 Lajedinho";-;-;-;1;2;-;-;-;-;-;-;-;3
"291905 Lajedo do Tabocal";-;2;1;-;-;-;-;-;-;-;-;-;3
"291910 Lamarão";-;-;-;1;1;-;-;-;-;-;-;-;2
"291915 Lapão";2;-;8;16;19;16;21;1;1;-;2;1;87
"291920 Lauro de Freitas";3;15;11;14;21;21;13;3;1;-;-;4;106
"291930 Lençóis";-;5;13;68;24;8;2;1;-;-;-;-;121
"291940 Licínio de Almeida";1;-;16;23;9;-;-;-;-;-;-;-;49
"291950 Livramento de Nossa Senhora";-;-;11;50;75;7;-;-;-;1;2;-;146
"291955 Luís Eduardo Magalhães";-;6;11;33;36;20;6;-;-;-;2;-;114
"291960 Macajuba";1;1;21;7;8;1;-;-;1;-;-;-;40
"291970 Macarani";-;-;2;13;2;1;-;-;-;-;-;-;18
"291980 Macaúbas";-;-;-;-;-;1;-;-;-;-;-;-;1
"292000 Maiquinique";2;3;8;24;13;1;-;-;-;-;-;-;51
"292010 Mairi";-;-;1;4;3;-;1;-;-;-;-;-;9
"292020 Malhada";-;-;-;1;-;-;-;-;-;-;-;-;1
"292030 Malhada de Pedras";-;-;-;2;7;5;1;-;-;-;-;-;15
"292040 Manoel Vitorino";-;-;-;1;1;2;-;3;12;73;4;-;96
"292050 Maracás";-;1;12;7;8;1;2;-;-;-;-;1;32
"292070 Maraú";9;14;5;8;9;13;3;1;-;-;1;-;63
"292080 Marcionílio Souza";-;-;-;1;-;-;-;-;-;-;-;-;1
"292090 Mascote";2;-;-;-;-;-;-;-;-;-;-;-;2
"292100 Mata de São João";-;3;-;2;7;2;2;-;-;-;-;-;16
"292110 Medeiros Neto";3;7;5;-;1;4;7;-;-;-;-;-;27
"292120 Miguel Calmon";1;2;6;4;6;6;1;1;-;1;1;-;29
"292130 Milagres";-;1;-;1;1;-;1;-;1;-;-;-;5
"292145 Mirante";-;-;1;4;-;4;1;-;-;1;-;-;11
"292150 Monte Santo";-;1;-;-;-;1;-;-;-;-;-;-;2
"292160 Morpará";-;3;50;48;8;3;3;-;-;-;-;-;115
"292170 Morro do Chapéu";-;3;15;71;53;32;2;2;-;-;-;-;178
"292180 Mortugaba";-;-;-;-;8;4;1;-;-;-;1;-;14
"292200 Mucuri";3;3;14;16;28;14;4;4;4;4;7;8;109
"292205 Mulungu do Morro";-;-;-;3;25;16;2;-;-;-;-;-;46
"292210 Mundo Novo";-;1;-;3;-;-;-;-;-;-;-;-;4
"292220 Muniz Ferreira";-;1;-;-;-;-;-;-;-;-;-;-;1
"292230 Muritiba";-;-;1;1;7;8;-;1;-;-;-;1;19
"292240 Mutuípe";-;-;-;-;6;-;-;-;-;-;-;-;6
"292250 Nazaré";-;-;1;5;2;1;-;-;-;-;-;-;9
"292260 Nilo Peçanha";-;-;-;-;4;-;-;-;-;-;-;-;4
"292265 Nordestina";-;-;-;6;4;-;2;-;-;2;-;-;14
"292270 Nova Canaã";-;-;1;1;3;-;-;-;-;-;-;-;5
"292273 Nova Fátima";-;1;-;-;-;-;-;-;-;-;-;-;1
"292275 Nova Ibiá";1;1;1;12;7;-;-;-;-;-;-;-;22
"292280 Nova Itarana";-;1;-;-;5;6;2;-;-;-;-;-;14
"292285 Nova Redenção";1;1;6;48;47;18;5;-;-;-;-;-;126
"292290 Nova Soure";-;-;-;1;2;1;2;-;-;-;-;-;6
"292300 Nova Viçosa";1;-;-;-;-;-;-;-;1;-;-;1;3
"292303 Novo Horizonte";4;-;-;-;-;-;-;-;-;-;-;7;11
"292305 Novo Triunfo";-;-;-;1;1;1;2;1;1;-;-;-;7
"292310 Olindina";-;-;-;-;2;-;-;-;-;-;-;-;2
"292320 Oliveira dos Brejinhos";2;1;3;12;27;51;7;-;-;-;-;-;103
"292330 Ouriçangas";1;-;2;14;73;25;5;2;-;-;1;1;124
"292340 Palmas de Monte Alto";2;2;6;13;22;3;-;1;-;-;-;-;49
"292350 Palmeiras";-;-;11;7;15;1;-;-;-;-;-;-;34
"292360 Paramirim";-;-;1;2;-;-;-;-;-;-;-;-;3
"292370 Paratinga";-;-;-;-;1;1;-;-;-;-;-;-;2
"292380 Paripiranga";-;-;-;-;1;-;-;-;-;-;-;-;1
"292390 Pau Brasil";1;1;2;-;-;-;-;-;-;-;-;-;4
"292400 Paulo Afonso";1;-;-;5;17;20;7;-;-;-;-;-;50
"292405 Pé de Serra";1;2;8;23;27;25;4;-;-;-;-;-;90
"292410 Pedrão";-;-;-;2;1;-;-;-;-;-;-;-;3
"292420 Pedro Alexandre";-;-;-;-;-;-;-;-;-;1;-;-;1
"292440 Pilão Arcado";-;-;-;-;-;1;-;-;-;-;-;-;1
"292450 Pindaí";-;-;-;-;-;1;-;-;-;-;-;-;1
