DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2017
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"110001 Alta Floresta D'Oeste";10;-;-;-;-;10
"110037 Alto Alegre dos Parecis";5;-;-;-;-;5
"110040 Alto Paraíso";6;-;-;-;-;6
"110034 Alvorada D'Oeste";6;-;-;-;-;6
"110002 Ariquemes";34;-;-;-;-;34
"110045 Buritis";82;-;-;-;-;82
"110003 Cabixi";5;-;-;-;-;5
"110004 Cacoal";23;1;-;-;-;24
"110070 Campo Novo de Rondônia";11;-;-;-;-;11
"110080 Candeias do Jamari";11;-;-;-;-;11
"110090 Castanheiras";1;-;-;-;-;1
"110005 Cerejeiras";242;-;-;-;-;242
"110006 Colorado do Oeste";2;-;-;-;-;2
"110007 Corumbiara";1;-;-;-;-;1
"110008 Costa Marques";1;-;-;-;-;1
"110094 Cujubim";36;1;-;-;-;37
"110009 Espigão D'Oeste";85;-;-;-;-;85
"110100 Governador Jorge Teixeira";4;-;-;-;-;4
"110010 Guajará-Mirim";16;-;-;-;-;16
"110110 Itapuã do Oeste";5;-;-;-;-;5
"110011 Jaru";18;-;-;-;-;18
"110012 Ji-Paraná";40;1;-;-;-;41
"110013 Machadinho D'Oeste";119;-;-;-;-;119
"110120 Ministro Andreazza";4;1;-;-;-;5
"110130 Mirante da Serra";7;-;-;-;-;7
"110140 Monte Negro";11;-;-;-;-;11
"110014 Nova Brasilândia D'Oeste";70;-;-;-;-;70
"110033 Nova Mamoré";1;-;-;-;-;1
"110050 Novo Horizonte do Oeste";4;-;-;-;-;4
"110015 Ouro Preto do Oeste";28;-;-;-;-;28
"110145 Parecis";11;-;-;-;-;11
"110018 Pimenta Bueno";4;-;-;-;-;4
"110146 Pimenteiras do Oeste";2;-;-;-;-;2
"110020 Porto Velho";285;-;-;-;-;285
"110025 Presidente Médici";14;-;-;-;-;14
"110026 Rio Crespo";1;-;-;-;-;1
"110028 Rolim de Moura";84;-;-;-;-;84
"110029 Santa Luzia D'Oeste";2;-;-;-;-;2
"110148 São Felipe D'Oeste";13;-;-;-;-;13
"110149 São Francisco do Guaporé";6;-;-;-;-;6
"110032 São Miguel do Guaporé";4;-;-;-;-;4
"110155 Teixeirópolis";1;-;-;-;-;1
"110170 Urupá";10;2;-;-;-;12
"110180 Vale do Paraíso";35;-;-;-;-;35
"110030 Vilhena";16;-;-;-;-;16
"120001 Acrelândia";136;-;-;-;-;136
"120005 Assis Brasil";1;-;-;-;-;1
"120010 Brasiléia";66;-;-;-;-;66
"120017 Capixaba";14;-;-;-;-;14
