DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2016
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"130050 Barreirinha";1;-;-;-;1
"130260 Manaus";2;-;-;-;2
"150010 Abaetetuba";109;-;-;-;109
"150013 Abel Figueiredo";1;-;-;-;1
"150020 Acará";1;-;-;-;1
"150030 Afuá";1;-;-;-;1
"150040 Alenquer";521;-;-;-;521
"150060 Altamira";5;1;-;-;6
"150080 Ananindeua";28;-;-;-;28
"150085 Anapu";45;-;-;-;45
"150095 Aurora do Pará";1;-;-;-;1
"150100 Aveiro";1;-;-;-;1
"150125 Bannach";16;-;-;-;16
"150130 Barcarena";70;1;-;-;71
"150140 Belém";208;-;1;-;209
"150145 Belterra";1;-;-;-;1
"150150 Benevides";3;-;-;-;3
"150160 Bonito";1;-;-;-;1
"150170 Bragança";3;-;-;-;3
"150172 Brasil Novo";28;-;-;-;28
"150178 Breu Branco";6;-;-;-;6
"150180 Breves";42;-;-;-;42
"150210 Cametá";11;-;-;-;11
"150215 Canaã dos Carajás";51;-;-;-;51
"150220 Capanema";3;-;-;-;3
"150230 Capitão Poço";34;2;-;-;36
"150240 Castanhal";11;-;-;-;11
"150250 Chaves";1;-;-;-;1
"150260 Colares";2;-;-;-;2
"150270 Conceição do Araguaia";4;-;-;-;4
"150276 Cumaru do Norte";2;-;-;-;2
"150277 Curionópolis";10;-;-;-;10
"150280 Curralinho";1;-;-;-;1
"150290 Curuçá";2;-;-;-;2
"150293 Dom Eliseu";3;-;-;-;3
"150295 Eldorado do Carajás";1;-;-;-;1
"150304 Floresta do Araguaia";1;-;1;-;2
"150307 Garrafão do Norte";1;-;-;-;1
"150310 Gurupá";15;-;-;-;15
"150320 Igarapé-Açu";19;-;-;-;19
"150330 Igarapé-Miri";4;-;-;-;4
"150340 Inhangapi";8;-;-;-;8
"150345 Ipixuna do Pará";2;-;-;-;2
"150350 Irituia";3;-;-;-;3
"150360 Itaituba";415;-;-;1;416
"150370 Itupiranga";23;-;-;-;23
"150380 Jacundá";64;-;-;-;64
"150390 Juruti";4;-;-;-;4
"150400 Limoeiro do Ajuru";2;-;-;-;2
"150405 Mãe do Rio";3;-;-;-;3
"150420 Marabá";156;-;-;-;156
"150430 Maracanã";1;-;-;-;1
"150442 Marituba";12;-;-;-;12
"150460 Mocajuba";1;-;-;-;1
"150470 Moju";3;-;-;-;3
"150475 Mojuí dos Campos";1;-;-;-;1
"150480 Monte Alegre";186;-;-;-;186
"150490 Muaná";2;-;-;-;2
"150495 Nova Esperança do Piriá";15;-;-;-;15
"150497 Nova Ipixuna";90;-;-;-;90
"150503 Novo Progresso";240;-;-;-;240
"150506 Novo Repartimento";107;-;-;-;107
"150510 Óbidos";33;-;-;-;33
"150520 Oeiras do Pará";7;-;-;-;7
"150530 Oriximiná";291;-;-;-;291
"150543 Ourilândia do Norte";41;-;-;-;41
"150548 Pacajá";219;-;-;-;219
"150550 Paragominas";8;-;-;-;8
"150553 Parauapebas";325;-;-;-;325
"150555 Pau D'Arco";40;-;-;-;40
"150565 Placas";3;-;-;-;3
"150570 Ponta de Pedras";32;-;-;-;32
"150580 Portel";20;-;-;-;20
"150590 Porto de Moz";3;-;-;-;3
"150600 Prainha";46;-;-;-;46
"150610 Primavera";3;-;-;-;3
"150613 Redenção";17;-;-;-;17
"150618 Rondon do Pará";115;-;-;-;115
"150619 Rurópolis";2;-;-;-;2
"150620 Salinópolis";13;-;-;-;13
"150630 Salvaterra";8;-;-;-;8
"150635 Santa Bárbara do Pará";4;-;-;-;4
"150650 Santa Izabel do Pará";20;-;-;-;20
"150655 Santa Luzia do Pará";1;-;-;-;1
"150658 Santa Maria das Barreiras";3;-;-;-;3
"150660 Santa Maria do Pará";4;-;-;-;4
"150670 Santana do Araguaia";140;-;-;-;140
"150680 Santarém";1;-;-;-;1
"150690 Santarém Novo";2;-;-;-;2
"150700 Santo Antônio do Tauá";9;-;-;-;9
"150710 São Caetano de Odivelas";2;-;-;-;2
