DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2020
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"110001 Alta Floresta D'Oeste";3;-;-;-;-;3
"110037 Alto Alegre dos Parecis";76;-;-;-;-;76
"110040 Alto Paraíso";15;-;-;-;-;15
"110034 Alvorada D'Oeste";2;-;-;-;-;2
"110002 Ariquemes";156;1;-;-;-;157
"110045 Buritis";102;-;-;-;-;102
"110003 Cabixi";7;-;2;-;-;9
"110060 Cacaulândia";21;-;-;-;-;21
"110004 Cacoal";83;-;-;-;-;83
"110070 Campo Novo de Rondônia";8;-;-;-;-;8
"110005 Cerejeiras";157;-;-;-;-;157
"110092 Chupinguaia";1;1;-;-;-;2
"110006 Colorado do Oeste";9;-;-;-;-;9
"110007 Corumbiara";33;-;-;-;-;33
"110008 Costa Marques";19;1;-;-;-;20
"110094 Cujubim";2;-;-;-;-;2
"110009 Espigão D'Oeste";8;-;-;-;-;8
"110100 Governador Jorge Teixeira";6;-;-;-;-;6
"110010 Guajará-Mirim";14;-;-;-;-;14
"110110 Itapuã do Oeste";95;5;-;-;-;100
"110011 Jaru";25;-;-;-;-;25
"110012 Ji-Paraná";3;-;-;-;-;3
"110013 Machadinho D'Oeste";27;-;-;-;-;27
"110120 Ministro Andreazza";5;-;-;-;-;5
"110140 Monte Negro";12;-;-;-;-;12
"110014 Nova Brasilândia D'Oeste";228;-;1;-;-;229
"110033 Nova Mamoré";194;1;-;-;-;195
"110143 Nova União";1;-;-;-;-;1
"110050 Novo Horizonte do Oeste";3;-;-;-;-;3
"110015 Ouro Preto do Oeste";8;-;-;-;-;8
"110145 Parecis";12;-;-;-;-;12
"110018 Pimenta Bueno";4;-;-;-;-;4
"110146 Pimenteiras do Oeste";13;-;-;-;-;13
"110020 Porto Velho";253;13;9;-;-;275
"110147 Primavera de Rondônia";10;-;-;-;-;10
"110026 Rio Crespo";6;-;-;-;-;6
"110028 Rolim de Moura";121;-;-;-;-;121
"110029 Santa Luzia D'Oeste";20;1;-;-;-;21
"110148 São Felipe D'Oeste";18;-;-;-;-;18
"110149 São Francisco do Guaporé";44;-;-;-;-;44
"110032 São Miguel do Guaporé";86;-;-;-;-;86
"110155 Teixeirópolis";1;-;-;-;-;1
"110160 Theobroma";5;-;-;-;-;5
"110170 Urupá";-;1;-;-;-;1
"110175 Vale do Anari";19;-;-;-;-;19
"110030 Vilhena";894;-;1;-;-;895
"120001 Acrelândia";20;-;-;-;-;20
"120005 Assis Brasil";169;-;-;-;-;169
"120010 Brasiléia";62;-;-;-;-;62
"120013 Bujari";6;-;-;-;-;6
"120017 Capixaba";2;-;-;-;-;2
"120020 Cruzeiro do Sul";2787;-;-;-;-;2787
"120025 Epitaciolândia";94;-;-;-;-;94
"120030 Feijó";46;-;-;-;-;46
"120033 Mâncio Lima";139;-;-;-;-;139
"120034 Manoel Urbano";2;-;-;-;-;2
"120035 Marechal Thaumaturgo";5;-;-;-;-;5
"120080 Porto Acre";34;-;-;-;-;34
"120039 Porto Walter";18;-;-;-;-;18
"120040 Rio Branco";353;-;-;-;-;353
"120042 Rodrigues Alves";109;-;-;-;-;109
"120045 Senador Guiomard";7;-;-;-;-;7
"120060 Tarauacá";583;-;-;-;-;583
"120070 Xapuri";1;-;-;-;-;1
"130040 Barcelos";22;-;-;-;-;22
"130060 Benjamin Constant";709;-;-;-;-;709
"130070 Boca do Acre";621;-;-;-;-;621
"130090 Canutama";2;-;-;-;-;2
"130100 Carauari";368;-;-;-;-;368
"130110 Careiro";5;-;-;-;-;5
"130120 Coari";7;-;-;-;-;7
"130130 Codajás";1;-;-;-;-;1
"130140 Eirunepé";278;-;-;-;-;278
"130150 Envira";11;-;-;-;-;11
"130165 Guajará";403;-;-;-;-;403
"130170 Humaitá";130;-;-;-;-;130
"130180 Ipixuna";1;-;-;-;-;1
"130185 Iranduba";8;-;-;-;-;8
"130190 Itacoatiara";13;-;-;-;-;13
"130200 Itapiranga";1;-;-;-;-;1
"130230 Jutaí";64;-;-;-;-;64
"130240 Lábrea";2;-;-;-;-;2
"130250 Manacapuru";1;-;-;-;-;1
"130260 Manaus";610;10;-;-;-;620
"130270 Manicoré";1;-;-;-;-;1
"130340 Parintins";20;-;-;-;-;20
"130353 Presidente Figueiredo";77;-;-;-;-;77
"130356 Rio Preto da Eva";1;-;-;-;-;1
"130360 Santa Isabel do Rio Negro";35;-;-;-;-;35
"130370 Santo Antônio do Içá";26;-;-;-;-;26
"130380 São Gabriel da Cachoeira";805;1;-;-;-;806
"130390 São Paulo de Olivença";2;-;-;-;-;2
"130406 Tabatinga";91;-;-;-;-;91
"130420 Tefé";14;-;-;-;-;14
"140005 Alto Alegre";3;1;-;-;-;4
"140002 Amajari";3;-;1;-;-;4
"140010 Boa Vista";207;18;17;-;-;242
"140015 Bonfim";3;-;1;-;-;4
"140017 Cantá";30;1;-;-;-;31
"140020 Caracaraí";46;-;1;-;-;47
"140023 Caroebe";3;-;-;-;-;3
"140028 Iracema";1;-;-;-;-;1
"140030 Mucajaí";3;-;1;-;-;4
"140040 Normandia";18;2;10;-;-;30
"140045 Pacaraima";-;-;1;-;-;1
"140047 Rorainópolis";16;-;1;-;-;17
"140050 São João da Baliza";1;-;-;-;-;1
"140060 São Luiz";3;-;-;-;-;3
"140070 Uiramutã";28;-;-;-;-;28
"150010 Abaetetuba";2;-;-;-;-;2
"150030 Afuá";1;-;-;-;-;1
"150034 Água Azul do Norte";2;-;-;-;-;2
"150040 Alenquer";35;-;-;-;-;35
"150050 Almeirim";1;-;-;-;-;1
"150060 Altamira";160;-;-;-;-;160
"150080 Ananindeua";2;-;-;-;-;2
"150085 Anapu";7;-;-;-;-;7
"150090 Augusto Corrêa";1;1;-;-;-;2
"150125 Bannach";47;1;-;-;-;48
"150130 Barcarena";3;-;-;-;-;3
"150140 Belém";16;1;-;-;-;17
"150145 Belterra";6;-;-;-;-;6
"150172 Brasil Novo";27;-;-;-;-;27
"150175 Brejo Grande do Araguaia";3;-;-;-;-;3
"150178 Breu Branco";-;-;1;-;-;1
"150180 Breves";1;-;-;-;-;1
"150210 Cametá";2;-;-;-;-;2
"150215 Canaã dos Carajás";2;-;-;-;-;2
"150220 Capanema";2;-;-;-;-;2
"150240 Castanhal";12;-;-;-;-;12
"150270 Conceição do Araguaia";51;-;-;-;-;51
"150276 Cumaru do Norte";19;-;-;-;-;19
"150280 Curralinho";1;-;-;-;-;1
"150293 Dom Eliseu";4;-;-;-;-;4
"150304 Floresta do Araguaia";1;-;-;-;-;1
"150307 Garrafão do Norte";1;-;-;-;-;1
"150330 Igarapé-Miri";3;-;-;-;-;3
"150340 Inhangapi";1;-;-;-;-;1
"150350 Irituia";2;-;-;-;-;2
"150360 Itaituba";114;-;-;-;-;114
"150370 Itupiranga";4;-;-;-;-;4
"150375 Jacareacanga";1;-;-;-;-;1
"150380 Jacundá";11;-;-;-;-;11
"150420 Marabá";2;-;-;-;-;2
"150442 Marituba";3;2;-;-;-;5
"150445 Medicilândia";11;-;-;-;-;11
"150460 Mocajuba";6;-;-;-;-;6
"150470 Moju";1;-;-;-;-;1
"150475 Mojuí dos Campos";1;-;-;-;-;1
"150480 Monte Alegre";10;-;-;-;-;10
"150490 Muaná";2;-;-;-;-;2
"150495 Nova Esperança do Piriá";1;-;-;-;-;1
"150497 Nova Ipixuna";1;-;-;-;-;1
"150503 Novo Progresso";209;-;-;-;-;209
"150506 Novo Repartimento";34;-;-;-;-;34
"150510 Óbidos";1;-;-;-;-;1
"150543 Ourilândia do Norte";39;-;-;-;-;39
"150548 Pacajá";41;-;-;-;-;41
"150549 Palestina do Pará";5;-;-;-;-;5
"150550 Paragominas";-;1;-;-;-;1
"150553 Parauapebas";14;-;-;-;-;14
"150555 Pau D'Arco";13;1;-;-;-;14
"150613 Redenção";39;-;-;-;-;39
"150616 Rio Maria";45;2;-;-;-;47
"150619 Rurópolis";4;-;-;-;-;4
"150620 Salinópolis";3;-;-;-;-;3
"150630 Salvaterra";2;-;-;-;-;2
"150650 Santa Izabel do Pará";5;-;-;-;-;5
"150660 Santa Maria do Pará";1;-;-;-;-;1
"150670 Santana do Araguaia";127;1;-;-;-;128
"150680 Santarém";29;-;-;-;-;29
"150690 Santarém Novo";6;-;-;-;-;6
"150715 São Domingos do Araguaia";14;-;-;-;-;14
"150720 São Domingos do Capim";1;-;-;-;-;1
"150730 São Félix do Xingu";38;7;-;-;-;45
"150745 São Geraldo do Araguaia";4;-;-;-;-;4
"150747 São João de Pirabas";17;-;-;-;-;17
"150750 São João do Araguaia";9;-;-;-;-;9
"150780 Senador José Porfírio";12;-;-;-;-;12
"150790 Soure";3;-;-;-;-;3
"150795 Tailândia";1;-;-;-;-;1
"150803 Tracuateua";3;-;-;-;-;3
"150805 Trairão";9;-;-;-;-;9
"150808 Tucumã";9;-;-;-;-;9
"150810 Tucuruí";-;-;1;-;-;1
"150815 Uruará";42;-;-;-;-;42
"150820 Vigia";2;-;-;-;-;2
"150835 Vitória do Xingu";83;-;-;-;-;83
"150840 Xinguara";1;-;-;-;-;1
