DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2019
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"150780 Senador José Porfírio";175;-;14;-;-;189
"150790 Soure";1;-;-;-;-;1
"150795 Tailândia";13;-;-;-;-;13
"150800 Tomé-Açu";3;-;-;-;-;3
"150803 Tracuateua";1;-;-;-;-;1
"150808 Tucumã";13;-;-;-;-;13
"150810 Tucuruí";10;-;-;-;-;10
"150815 Uruará";2;-;-;-;-;2
"150820 Vigia";3;-;-;-;-;3
"150835 Vitória do Xingu";41;-;-;-;-;41
"150840 Xinguara";2;-;-;-;-;2
"160021 Cutias";1;-;-;-;-;1
"160023 Ferreira Gomes";1;-;-;-;-;1
"160027 Laranjal do Jari";2;-;-;-;-;2
"160030 Macapá";130;1;-;-;-;131
"160040 Mazagão";1;-;-;-;-;1
"160050 Oiapoque";5;-;-;-;-;5
"160015 Pedra Branca do Amapari";3;-;-;-;-;3
"160060 Santana";15;-;-;-;-;15
"160005 Serra do Navio";11;-;-;-;-;11
"170025 Abreulândia";4;-;-;-;-;4
"170030 Aguiarnópolis";15;-;-;-;-;15
"170035 Aliança do Tocantins";6;-;-;-;-;6
"170040 Almas";1;-;-;-;-;1
"170070 Alvorada";21;-;-;-;-;21
"170100 Ananás";6;-;-;-;-;6
"170110 Aparecida do Rio Negro";4;-;-;-;-;4
"170130 Aragominas";7;1;15;-;-;23
"170190 Araguacema";3;-;-;-;-;3
"170200 Araguaçu";25;-;-;-;-;25
"170210 Araguaína";1657;3;56;-;-;1716
"170215 Araguanã";3;-;-;-;-;3
"170220 Araguatins";9;-;-;-;-;9
"170230 Arapoema";3;-;-;-;-;3
"170240 Arraias";392;-;-;-;-;392
"170255 Augustinópolis";4;-;-;-;-;4
"170300 Babaçulândia";59;-;-;-;-;59
"170305 Bandeirantes do Tocantins";6;-;-;-;-;6
"170307 Barra do Ouro";1;-;-;-;-;1
"170310 Barrolândia";2;-;-;-;-;2
"170320 Bernardo Sayão";5;-;-;-;-;5
"170330 Bom Jesus do Tocantins";16;-;-;-;-;16
"170360 Brasilândia do Tocantins";3;-;-;-;-;3
"170370 Brejinho de Nazaré";15;-;-;-;-;15
"170384 Campos Lindos";10;-;-;-;-;10
"170386 Cariri do Tocantins";4;-;-;-;-;4
"170388 Carmolândia";2;-;-;-;-;2
"170389 Carrasco Bonito";1;-;-;-;-;1
"170390 Caseara";1;-;-;-;-;1
"170410 Centenário";4;-;-;-;-;4
"170510 Chapada da Natividade";4;-;-;-;-;4
"170460 Chapada de Areia";1;-;-;-;-;1
"170550 Colinas do Tocantins";5;-;-;-;-;5
"171670 Colméia";1;-;3;-;-;4
"170555 Combinado";24;-;-;-;-;24
"170560 Conceição do Tocantins";23;-;-;-;-;23
"170600 Couto Magalhães";6;-;-;-;-;6
"170610 Cristalândia";5;-;-;-;-;5
"170650 Darcinópolis";2;-;-;-;-;2
"170700 Dianópolis";139;-;-;-;-;139
"170710 Divinópolis do Tocantins";43;-;-;-;-;43
"170720 Dois Irmãos do Tocantins";19;-;-;-;-;19
"170730 Dueré";7;-;-;-;-;7
"170740 Esperantina";3;-;-;-;-;3
"170755 Fátima";4;-;-;-;-;4
"170765 Figueirópolis";27;-;-;-;-;27
"170770 Filadélfia";5;-;-;-;-;5
"170820 Formoso do Araguaia";421;-;-;-;-;421
"170825 Fortaleza do Tabocão";7;-;-;-;-;7
"170900 Goiatins";4;-;-;-;-;4
"170930 Guaraí";72;-;1;-;-;73
"170950 Gurupi";169;1;5;-;-;175
"170980 Ipueiras";2;2;-;-;-;4
"171050 Itacajá";9;-;-;-;-;9
"171070 Itaguatins";5;-;-;-;-;5
"171090 Itapiratins";2;-;-;-;-;2
"171110 Itaporã do Tocantins";14;-;-;-;-;14
"171150 Jaú do Tocantins";17;-;1;-;-;18
"171190 Lagoa da Confusão";77;-;-;-;-;77
"171195 Lagoa do Tocantins";3;-;-;-;-;3
"171200 Lajeado";29;1;-;-;-;30
"171215 Lavandeira";4;-;-;-;-;4
"171240 Lizarda";6;-;-;-;-;6
"171245 Luzinópolis";7;-;-;-;-;7
"171250 Marianópolis do Tocantins";10;-;-;-;-;10
"171280 Maurilândia do Tocantins";12;-;-;-;-;12
"171320 Miracema do Tocantins";12;-;2;-;-;14
"171330 Miranorte";25;-;-;-;-;25
"171360 Monte do Carmo";93;-;-;-;-;93
"171395 Muricilândia";7;-;-;-;-;7
"171420 Natividade";8;-;13;-;-;21
"171430 Nazaré";1;-;-;-;-;1
"171488 Nova Olinda";22;-;-;-;-;22
"171500 Nova Rosalândia";7;-;2;-;-;9
"171510 Novo Acordo";1;-;-;-;-;1
"171515 Novo Alegre";2;-;-;-;-;2
"171525 Novo Jardim";21;-;-;-;-;21
"171550 Oliveira de Fátima";1;-;-;-;-;1
"172100 Palmas";136;-;14;-;-;150
"171570 Palmeirante";4;-;-;-;-;4
"171380 Palmeiras do Tocantins";4;-;-;-;-;4
"171575 Palmeirópolis";39;-;-;-;-;39
"171610 Paraíso do Tocantins";502;1;1;-;-;504
"171620 Paranã";7;-;-;-;-;7
"171650 Pedro Afonso";26;-;-;-;-;26
"171660 Peixe";131;-;-;-;-;131
"171665 Pequizeiro";1;-;-;-;-;1
"171700 Pindorama do Tocantins";1;-;-;-;-;1
"171720 Piraquê";2;-;-;-;-;2
"171750 Pium";2;-;-;-;-;2
"171780 Ponte Alta do Bom Jesus";61;-;-;-;-;61
"171790 Ponte Alta do Tocantins";37;-;-;-;-;37
"171800 Porto Alegre do Tocantins";21;-;-;-;-;21
"171820 Porto Nacional";1140;-;-;-;-;1140
"171830 Praia Norte";34;-;-;-;-;34
"171840 Presidente Kennedy";4;-;-;-;-;4
"171845 Pugmil";5;-;-;-;-;5
"171850 Recursolândia";5;-;-;-;-;5
"171855 Riachinho";7;-;-;-;-;7
"171865 Rio da Conceição";5;-;-;-;-;5
"171870 Rio dos Bois";17;-;-;-;-;17
"171875 Rio Sono";9;-;-;-;-;9
"171880 Sampaio";4;-;-;-;-;4
"171884 Sandolândia";16;-;-;-;-;16
"171886 Santa Fé do Araguaia";9;-;-;-;-;9
"171889 Santa Rita do Tocantins";7;-;-;-;-;7
"171890 Santa Rosa do Tocantins";6;-;-;-;-;6
"171900 Santa Tereza do Tocantins";14;-;-;-;-;14
"172010 São Bento do Tocantins";11;-;-;-;-;11
"172015 São Félix do Tocantins";3;-;-;-;-;3
"172020 São Miguel do Tocantins";21;-;-;-;-;21
"172025 São Salvador do Tocantins";1;-;-;-;-;1
"172030 São Sebastião do Tocantins";1;-;-;-;-;1
"172049 São Valério";49;-;-;-;-;49
"172065 Silvanópolis";44;-;-;-;-;44
"172085 Sucupira";7;-;-;-;-;7
"172090 Taguatinga";5;-;1;-;-;6
"172093 Taipas do Tocantins";85;-;-;-;-;85
"172097 Talismã";37;-;-;-;-;37
"172110 Tocantínia";42;-;1;-;-;43
"172120 Tocantinópolis";133;-;-;-;-;133
"172125 Tupirama";13;-;-;-;-;13
"172130 Tupiratins";2;-;-;-;-;2
"172208 Wanderlândia";4;-;-;-;-;4
"172210 Xambioá";13;-;1;-;-;14
"210005 Açailândia";2;-;-;-;-;2
"210010 Afonso Cunha";1;-;-;-;-;1
"210020 Alcântara";1;-;-;-;-;1
"210030 Aldeias Altas";9;-;-;-;-;9
"210043 Alto Alegre do Maranhão";43;-;-;-;-;43
"210047 Alto Alegre do Pindaré";4;-;-;-;-;4
"210050 Alto Parnaíba";6;-;-;-;-;6
"210055 Amapá do Maranhão";2;-;-;-;-;2
"210060 Amarante do Maranhão";61;-;-;-;-;61
"210070 Anajatuba";1;-;-;-;-;1
"210080 Anapurus";52;-;-;-;-;52
"210083 Apicum-Açu";1;-;-;-;-;1
"210090 Araioses";1;-;-;-;-;1
"210100 Arari";5;-;-;-;-;5
"210110 Axixá";2;-;-;-;-;2
"210120 Bacabal";3;-;-;-;-;3
"210125 Bacabeira";7;-;-;-;-;7
"210130 Bacuri";1;-;-;-;-;1
"210135 Bacurituba";1;-;-;-;-;1
"210140 Balsas";39;-;-;-;-;39
"210150 Barão de Grajaú";15;1;-;-;-;16
"210160 Barra do Corda";521;1;5;-;-;527
"210170 Barreirinhas";4;-;-;-;-;4
"210210 Brejo";3;-;-;-;-;3
"210220 Buriti";9;-;-;-;-;9
"210230 Buriti Bravo";1;-;-;-;-;1
"210232 Buriticupu";2;-;-;-;-;2
"210235 Buritirana";1;-;-;-;-;1
"210237 Cachoeira Grande";1;-;-;-;-;1
"210255 Campestre do Maranhão";5;-;-;-;-;5
"210270 Cantanhede";2;-;-;-;-;2
"210275 Capinzal do Norte";5;-;-;-;-;5
"210280 Carolina";10;-;-;-;-;10
"210300 Caxias";183;-;-;-;-;183
"210320 Chapadinha";30;-;-;-;-;30
"210325 Cidelândia";22;-;-;-;-;22
"210330 Codó";6;1;-;-;-;7
"210340 Coelho Neto";8;-;-;-;-;8
"210350 Colinas";158;-;-;-;-;158
"210360 Coroatá";4;-;-;-;-;4
"210370 Cururupu";2;-;-;-;-;2
"210375 Davinópolis";1;-;-;-;-;1
"210380 Dom Pedro";14;-;-;-;-;14
"210390 Duque Bacelar";6;-;-;-;-;6
"210400 Esperantinópolis";2;-;-;-;-;2
"210405 Estreito";30;-;-;-;-;30
"210407 Feira Nova do Maranhão";152;1;-;-;-;153
"210409 Formosa da Serra Negra";123;-;-;-;-;123
"210410 Fortaleza dos Nogueiras";8;-;-;-;-;8
"210420 Fortuna";4;-;-;-;-;4
"210430 Godofredo Viana";1;-;-;-;-;1
"210440 Gonçalves Dias";4;-;-;-;-;4
"210450 Governador Archer";1;-;-;-;-;1
"210455 Governador Edison Lobão";93;-;-;-;-;93
"210462 Governador Luiz Rocha";1;-;-;-;-;1
"210465 Governador Newton Bello";2;-;-;-;-;2
"210470 Graça Aranha";3;-;-;-;-;3
"210480 Grajaú";6;-;1;-;-;7
"210500 Humberto de Campos";2;-;-;-;-;2
"210510 Icatu";2;-;-;-;-;2
"210515 Igarapé do Meio";1;-;-;-;-;1
"210520 Igarapé Grande";56;-;-;-;-;56
"210530 Imperatriz";96;-;-;-;-;96
"210535 Itaipava do Grajaú";4;-;-;-;-;4
"210540 Itapecuru Mirim";22;-;-;-;-;22
"210542 Itinga do Maranhão";9;-;-;-;-;9
"210545 Jatobá";11;-;-;-;-;11
"210547 Jenipapo dos Vieiras";18;-;-;-;-;18
"210550 João Lisboa";2;-;-;-;-;2
"210560 Joselândia";3;-;-;-;-;3
"210570 Lago da Pedra";10;1;-;-;-;11
"210580 Lago do Junco";10;2;-;-;-;12
"210592 Lagoa do Mato";1;-;-;-;-;1
"210596 Lagoa Grande do Maranhão";32;-;-;-;-;32
"210598 Lajeado Novo";3;-;-;-;-;3
"210600 Lima Campos";2;-;-;-;-;2
"210630 Magalhães de Almeida";1;-;-;-;-;1
"210632 Maracaçumé";3;-;-;-;-;3
"210637 Maranhãozinho";1;-;-;-;-;1
"210640 Mata Roma";19;-;-;-;-;19
"210650 Matinha";2;-;-;-;-;2
"210660 Matões";4;-;-;-;-;4
"210670 Mirador";2;-;-;-;-;2
"210675 Miranda do Norte";3;-;-;-;-;3
"210680 Mirinzal";2;-;-;-;-;2
"210690 Monção";1;-;-;-;-;1
"210700 Montes Altos";22;-;-;-;-;22
"210710 Morros";1;-;-;-;-;1
"210725 Nova Colinas";7;-;-;-;-;7
"210730 Nova Iorque";2;-;-;-;-;2
"210745 Olinda Nova do Maranhão";1;-;-;-;-;1
"210750 Paço do Lumiar";51;1;-;-;-;52
"210770 Paraibano";5;-;-;-;-;5
"210790 Passagem Franca";1;-;-;-;-;1
"210800 Pastos Bons";1;-;-;-;-;1
"210805 Paulino Neves";2;-;-;-;-;2
"210810 Paulo Ramos";2;-;-;-;-;2
"210820 Pedreiras";2;-;-;-;-;2
"210845 Peritoró";9;-;-;-;-;9
"210850 Pindaré-Mirim";1;-;-;-;-;1
"210860 Pinheiro";3;-;-;-;-;3
"210890 Poção de Pedras";46;-;-;-;-;46
"210900 Porto Franco";10;-;-;-;-;10
"210910 Presidente Dutra";46;-;1;-;-;47
"210920 Presidente Juscelino";2;-;-;-;-;2
"210927 Presidente Sarney";8;-;-;-;-;8
"210945 Raposa";1;-;-;-;-;1
"210950 Riachão";9;-;-;-;-;9
"210955 Ribamar Fiquene";6;-;-;-;-;6
"210960 Rosário";10;-;-;-;-;10
"210970 Sambaíba";1;-;-;-;-;1
"210975 Santa Filomena do Maranhão";1;-;-;-;-;1
"210980 Santa Helena";2;-;-;-;-;2
"210990 Santa Inês";32;-;-;-;-;32
"211000 Santa Luzia";2;-;-;-;-;2
"211003 Santa Luzia do Paruá";3;-;-;-;-;3
"211010 Santa Quitéria do Maranhão";2;-;-;-;-;2
"211020 Santa Rita";6;-;-;-;-;6
"211023 Santana do Maranhão";1;-;-;-;-;1
"211027 Santo Amaro do Maranhão";1;-;-;-;-;1
"211040 São Benedito do Rio Preto";3;-;-;-;-;3
"211050 São Bento";1;-;-;-;-;1
"211060 São Bernardo";1;-;-;-;-;1
"211070 São Domingos do Maranhão";5;-;-;-;-;5
"211085 São Francisco do Brejão";11;-;-;-;-;11
"211090 São Francisco do Maranhão";2;-;-;-;-;2
"211102 São João do Carú";1;-;-;-;-;1
"211105 São João do Paraíso";8;-;-;-;-;8
"211110 São João dos Patos";12;-;-;-;-;12
"211120 São José de Ribamar";98;-;-;-;-;98
"211125 São José dos Basílios";49;-;-;-;-;49
"211130 São Luís";940;2;-;-;-;942
"211140 São Luís Gonzaga do Maranhão";1;-;-;-;-;1
"211150 São Mateus do Maranhão";15;-;-;-;-;15
"211153 São Pedro da Água Branca";1;-;-;-;-;1
"211157 São Pedro dos Crentes";292;-;-;-;-;292
"211160 São Raimundo das Mangabeiras";6;-;-;-;-;6
"211163 São Raimundo do Doca Bezerra";1;-;-;-;-;1
"211167 São Roberto";7;-;-;-;-;7
"211172 Satubinha";1;-;-;-;-;1
"211174 Senador Alexandre Costa";1;-;-;-;-;1
"211176 Senador La Rocque";22;-;-;-;-;22
"211180 Sítio Novo";27;-;-;-;-;27
"211190 Sucupira do Norte";1;-;-;-;-;1
"211195 Sucupira do Riachão";2;-;-;-;-;2
"211200 Tasso Fragoso";2;-;-;-;-;2
"211210 Timbiras";1;-;-;-;-;1
"211220 Timon";10;-;-;-;-;10
"211223 Trizidela do Vale";3;-;-;-;-;3
"211230 Tuntum";67;-;-;-;-;67
"211250 Tutóia";6;-;-;-;-;6
"211260 Urbano Santos";15;-;-;-;-;15
"211270 Vargem Grande";1;-;-;-;-;1
"211280 Viana";2;-;-;-;-;2
"211290 Vitória do Mearim";1;-;-;-;-;1
"211300 Vitorino Freire";1;-;-;-;-;1
"211400 Zé Doca";27;-;-;-;-;27
"220005 Acauã";7;-;-;-;-;7
"220010 Agricolândia";1;-;-;-;-;1
"220020 Água Branca";2;-;-;-;-;2
"220027 Alegrete do Piauí";1;-;-;-;-;1
"220030 Alto Longá";11;-;-;-;-;11
"220040 Altos";10;-;-;-;-;10
"220045 Alvorada do Gurguéia";51;-;-;-;-;51
"220060 Angical do Piauí";1;-;-;-;-;1
"220080 Antônio Almeida";3;2;-;-;-;5
"220090 Aroazes";1;-;-;-;-;1
"220095 Aroeiras do Itaim";1;-;-;-;-;1
"220100 Arraial";1;-;-;-;-;1
"220110 Avelino Lopes";46;-;-;-;-;46
"220115 Baixa Grande do Ribeiro";4;-;-;-;-;4
"220120 Barras";4;-;-;-;-;4
"220150 Batalha";2;-;-;-;-;2
"220157 Belém do Piauí";14;-;-;-;-;14
"220160 Beneditinos";12;1;-;-;-;13
"220170 Bertolínia";4;-;-;-;-;4
"220173 Betânia do Piauí";-;2;-;-;-;2
"220180 Bocaina";10;-;-;-;-;10
"220190 Bom Jesus";29;-;-;-;-;29
"220191 Bom Princípio do Piauí";1;-;-;-;-;1
"220196 Brasileira";1;-;-;-;-;1
"220198 Brejo do Piauí";2;-;-;-;-;2
"220202 Buriti dos Montes";32;-;-;-;-;32
"220205 Cabeceiras do Piauí";1;-;-;-;-;1
"220211 Campo Alegre do Fidalgo";-;1;-;-;-;1
"220213 Campo Grande do Piauí";11;-;-;-;-;11
"220220 Campo Maior";3;-;-;-;-;3
"220230 Canto do Buriti";6;-;-;-;-;6
"220240 Capitão de Campos";2;-;-;-;-;2
"220250 Caracol";1;-;-;-;-;1
"220253 Caraúbas do Piauí";12;-;-;-;-;12
"220260 Castelo do Piauí";31;-;-;-;-;31
"220270 Cocal";4;-;-;-;-;4
"220273 Coivaras";1;-;-;-;-;1
"220277 Colônia do Piauí";1;-;-;-;-;1
"220285 Coronel José Dias";15;-;-;-;-;15
"220290 Corrente";22;-;-;-;-;22
"220310 Cristino Castro";19;-;-;-;-;19
"220320 Curimatá";5;-;-;-;-;5
"220327 Curral Novo do Piauí";5;-;-;-;-;5
"220330 Demerval Lobão";3;-;-;-;-;3
"220335 Dirceu Arcoverde";2;1;-;-;-;3
"220340 Dom Expedito Lopes";18;-;-;-;-;18
"220345 Dom Inocêncio";1;-;-;-;-;1
"220360 Eliseu Martins";31;-;-;-;-;31
"220370 Esperantina";3;-;-;-;-;3
"220380 Flores do Piauí";7;-;-;-;-;7
"220390 Floriano";19;-;-;-;-;19
"220415 Francisco Macedo";5;-;-;-;-;5
"220430 Fronteiras";2;-;-;-;-;2
"220435 Geminiano";29;-;-;-;-;29
"220460 Hugo Napoleão";3;-;-;-;-;3
"220490 Isaías Coelho";1;-;-;-;-;1
"220500 Itainópolis";53;-;-;-;-;53
"220520 Jaicós";31;-;-;-;-;31
"220535 João Costa";2;-;-;-;-;2
"220550 José de Freitas";9;-;-;-;-;9
"220552 Júlio Borges";6;-;-;-;-;6
"220557 Lagoa de São Francisco";4;-;-;-;-;4
"220556 Lagoa do Barro do Piauí";1;-;-;-;-;1
"220554 Lagoinha do Piauí";2;-;-;-;-;2
"220570 Luís Correia";1;-;-;-;-;1
"220580 Luzilândia";2;-;-;-;-;2
"220585 Madeiro";1;-;-;-;-;1
"220590 Manoel Emídio";11;3;-;-;-;14
"220595 Marcolândia";1;-;-;-;-;1
"220600 Marcos Parente";1;-;-;-;-;1
"220605 Massapê do Piauí";1;-;-;-;-;1
"220620 Miguel Alves";2;-;-;-;-;2
"220635 Milton Brandão";1;-;-;-;-;1
"220640 Monsenhor Gil";2;-;-;-;-;2
"220650 Monsenhor Hipólito";3;-;-;-;-;3
"220690 Novo Oriente do Piauí";2;-;-;-;-;2
"220700 Oeiras";52;-;-;-;-;52
"220710 Olho D'Água do Piauí";1;-;-;-;-;1
"220720 Padre Marcos";12;-;-;-;-;12
"220730 Paes Landim";2;-;-;-;-;2
"220740 Palmeira do Piauí";2;-;-;-;-;2
"220750 Palmeirais";1;-;-;-;-;1
"220755 Paquetá";1;-;-;-;-;1
"220760 Parnaguá";20;-;-;-;-;20
"220770 Parnaíba";33;-;-;-;-;33
"220780 Paulistana";2;-;-;-;-;2
"220785 Pavussu";32;-;-;-;-;32
"220790 Pedro II";43;-;-;-;-;43
"220793 Pedro Laurentino";2;-;-;-;-;2
"220800 Picos";322;-;1;-;-;323
"220810 Pimenteiras";1;-;-;-;-;1
"220820 Pio IX";1;-;-;-;-;1
