DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2013
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110005 Cerejeiras";1;-;-;-;-;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";1;-;-;-;-;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";-;-;-;-;-;-;-;-;1;-;-;-;1
"150060 Altamira";-;-;-;-;-;-;1;-;-;-;-;-;1
"250510 Cuité";1;-;-;-;-;-;-;-;-;-;-;-;1
"313420 Ituiutaba";-;2;-;-;-;-;-;-;-;-;-;-;2
"317020 Uberlândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"350250 Aparecida";1;-;-;-;-;-;-;-;-;-;-;-;1
"350600 Bauru";-;1;-;-;-;-;-;-;-;-;-;-;1
"351380 Diadema";1;-;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";-;-;1;-;-;-;-;-;-;-;-;-;1
"411915 Pinhais";1;-;-;-;-;-;-;-;-;-;-;-;1
"411990 Ponta Grossa";1;-;-;-;-;-;-;-;-;-;-;-;1
"500270 Campo Grande";-;1;-;-;-;-;-;-;-;-;-;-;1
"500370 Dourados";-;1;-;-;-;-;-;-;-;-;-;-;1
"500380 Fátima do Sul";1;-;-;-;-;-;-;-;-;-;-;-;1
"500470 Ivinhema";1;-;-;-;-;-;-;-;-;-;-;-;1
"510010 Acorizal";-;2;-;-;-;-;-;-;1;-;1;1;5
"510020 Água Boa";47;24;21;1;-;-;-;-;-;-;12;4;109
"510025 Alta Floresta";310;243;177;136;47;33;26;25;32;28;62;40;1159
"510030 Alto Araguaia";1;9;16;8;4;1;-;-;-;-;-;-;39
"510035 Alto Boa Vista";1;-;-;1;-;-;-;-;-;-;-;-;2
"510050 Alto Paraguai";7;3;4;1;-;-;-;-;-;-;-;-;15
"510060 Alto Taquari";24;10;2;1;-;-;-;-;-;-;-;1;38
"510080 Apiacás";2;1;-;-;3;1;-;-;-;-;-;-;7
"510100 Araguaiana";26;5;3;3;-;-;-;-;-;-;1;1;39
"510125 Araputanga";20;20;11;11;4;4;-;-;2;2;10;5;89
"510130 Arenápolis";10;2;2;2;-;-;-;-;1;2;2;2;23
"510140 Aripuanã";13;20;19;4;9;3;2;-;8;4;-;1;83
"510170 Barra do Bugres";111;79;13;14;3;-;-;-;-;-;-;5;225
"510180 Barra do Garças";163;250;142;55;11;2;3;2;3;2;6;17;656
"510185 Bom Jesus do Araguaia";2;5;1;-;4;-;-;-;-;-;-;-;12
"510190 Brasnorte";35;10;5;10;6;3;1;1;2;5;5;9;92
"510250 Cáceres";240;153;87;30;9;4;3;1;3;1;7;24;562
"510260 Campinápolis";4;7;1;1;2;-;-;-;-;-;-;-;15
"510263 Campo Novo do Parecis";186;155;247;411;135;24;3;2;-;2;7;7;1179
"510267 Campo Verde";131;56;38;50;9;2;3;-;2;1;3;19;314
"510268 Campos de Júlio";44;35;38;19;2;7;9;1;1;-;2;1;159
"510269 Canabrava do Norte";6;7;9;6;2;-;-;-;-;-;1;-;31
