DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2020
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"140010 Boa Vista";1;-;-;-;1
"150010 Abaetetuba";2;-;-;-;2
"150030 Afuá";1;-;-;-;1
"150034 Água Azul do Norte";2;-;-;-;2
"150040 Alenquer";35;-;-;-;35
"150050 Almeirim";1;-;-;-;1
"150060 Altamira";157;-;-;-;157
"150080 Ananindeua";2;-;-;-;2
"150085 Anapu";7;-;-;-;7
"150090 Augusto Corrêa";1;1;-;-;2
"150125 Bannach";47;1;-;-;48
"150130 Barcarena";3;-;-;-;3
"150140 Belém";13;1;-;-;14
"150145 Belterra";6;-;-;-;6
"150172 Brasil Novo";27;-;-;-;27
"150175 Brejo Grande do Araguaia";3;-;-;-;3
"150178 Breu Branco";-;-;1;-;1
"150180 Breves";1;-;-;-;1
"150210 Cametá";2;-;-;-;2
"150215 Canaã dos Carajás";1;-;-;-;1
"150220 Capanema";2;-;-;-;2
"150240 Castanhal";12;-;-;-;12
"150270 Conceição do Araguaia";51;-;-;-;51
"150276 Cumaru do Norte";19;-;-;-;19
"150280 Curralinho";1;-;-;-;1
"150293 Dom Eliseu";4;-;-;-;4
"150304 Floresta do Araguaia";1;-;-;-;1
"150307 Garrafão do Norte";1;-;-;-;1
"150330 Igarapé-Miri";3;-;-;-;3
"150340 Inhangapi";1;-;-;-;1
"150350 Irituia";2;-;-;-;2
"150360 Itaituba";114;-;-;-;114
"150370 Itupiranga";4;-;-;-;4
"150375 Jacareacanga";1;-;-;-;1
"150380 Jacundá";11;-;-;-;11
"150420 Marabá";2;-;-;-;2
"150442 Marituba";3;2;-;-;5
"150445 Medicilândia";11;-;-;-;11
"150460 Mocajuba";6;-;-;-;6
"150470 Moju";1;-;-;-;1
"150475 Mojuí dos Campos";1;-;-;-;1
"150480 Monte Alegre";10;-;-;-;10
"150490 Muaná";2;-;-;-;2
"150495 Nova Esperança do Piriá";1;-;-;-;1
"150497 Nova Ipixuna";1;-;-;-;1
"150503 Novo Progresso";208;-;-;-;208
"150506 Novo Repartimento";34;-;-;-;34
"150510 Óbidos";1;-;-;-;1
"150543 Ourilândia do Norte";39;-;-;-;39
"150548 Pacajá";41;-;-;-;41
"150549 Palestina do Pará";5;-;-;-;5
"150550 Paragominas";-;1;-;-;1
"150553 Parauapebas";13;-;-;-;13
"150555 Pau D'Arco";13;1;-;-;14
"150613 Redenção";39;-;-;-;39
"150616 Rio Maria";44;2;-;-;46
"150619 Rurópolis";4;-;-;-;4
"150620 Salinópolis";3;-;-;-;3
"150630 Salvaterra";2;-;-;-;2
"150650 Santa Izabel do Pará";5;-;-;-;5
"150660 Santa Maria do Pará";1;-;-;-;1
"150670 Santana do Araguaia";127;1;-;-;128
"150680 Santarém";28;-;-;-;28
"150690 Santarém Novo";6;-;-;-;6
"150715 São Domingos do Araguaia";14;-;-;-;14
"150720 São Domingos do Capim";1;-;-;-;1
"150730 São Félix do Xingu";38;7;-;-;45
"150745 São Geraldo do Araguaia";4;-;-;-;4
"150747 São João de Pirabas";17;-;-;-;17
"150750 São João do Araguaia";9;-;-;-;9
"150780 Senador José Porfírio";12;-;-;-;12
"150790 Soure";3;-;-;-;3
"150795 Tailândia";1;-;-;-;1
"150803 Tracuateua";3;-;-;-;3
"150805 Trairão";9;-;-;-;9
"150808 Tucumã";9;-;-;-;9
"150810 Tucuruí";-;-;1;-;1
"150815 Uruará";42;-;-;-;42
"150820 Vigia";2;-;-;-;2
"150835 Vitória do Xingu";83;-;-;-;83
"150840 Xinguara";1;-;-;-;1
"410754 Espigão Alto do Iguaçu";1;-;-;-;1
"000000 Ignorado ou exterior";2332;11;1;2;2346
"Total";3771;28;3;2;3804
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
