DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2016
"Município infecção";"Ign/Branco";"DEN 1";"DEN 4";"Total"
"150293 Dom Eliseu";2;-;-;2
"170384 Campos Lindos";1;-;-;1
"170770 Filadélfia";1;-;-;1
"172020 São Miguel do Tocantins";1;-;-;1
"210005 Açailândia";1;-;-;1
"210030 Aldeias Altas";2;-;-;2
"210047 Alto Alegre do Pindaré";2;-;-;2
"210050 Alto Parnaíba";6;-;-;6
"210060 Amarante do Maranhão";24;-;-;24
"210110 Axixá";1;-;-;1
"210120 Bacabal";191;-;-;191
"210125 Bacabeira";7;-;-;7
"210140 Balsas";1321;-;-;1321
"210150 Barão de Grajaú";12;-;-;12
"210160 Barra do Corda";254;-;-;254
"210170 Barreirinhas";1;-;-;1
"210177 Bela Vista do Maranhão";1;-;-;1
"210173 Belágua";1;-;-;1
"210193 Bernardo do Mearim";2;-;-;2
"210200 Bom Jardim";89;-;-;89
"210203 Bom Jesus das Selvas";490;-;-;490
"210210 Brejo";12;-;-;12
"210230 Buriti Bravo";1;-;-;1
"210232 Buriticupu";4;-;-;4
"210237 Cachoeira Grande";1;-;-;1
"210270 Cantanhede";29;1;-;30
"210280 Carolina";64;-;-;64
"210300 Caxias";449;-;-;449
"210315 Centro do Guilherme";1;-;-;1
"210320 Chapadinha";3;-;-;3
"210325 Cidelândia";4;-;-;4
"210330 Codó";6;-;-;6
"210340 Coelho Neto";155;-;-;155
"210360 Coroatá";11;-;-;11
"210370 Cururupu";424;5;-;429
"210375 Davinópolis";6;-;-;6
"210380 Dom Pedro";2;-;-;2
"210390 Duque Bacelar";4;-;-;4
"210400 Esperantinópolis";19;-;-;19
"210405 Estreito";6;-;-;6
"210407 Feira Nova do Maranhão";16;-;-;16
"210408 Fernando Falcão";1;-;-;1
"210409 Formosa da Serra Negra";8;-;-;8
"210410 Fortaleza dos Nogueiras";20;-;-;20
"210420 Fortuna";36;-;-;36
"210455 Governador Edison Lobão";50;-;-;50
"210465 Governador Newton Bello";1;-;-;1
"210467 Governador Nunes Freire";162;-;-;162
"210470 Graça Aranha";2;-;-;2
"210480 Grajaú";83;-;-;83
"210510 Icatu";1;-;-;1
"210515 Igarapé do Meio";2;-;-;2
"210530 Imperatriz";514;-;-;514
"210535 Itaipava do Grajaú";129;-;-;129
"210540 Itapecuru Mirim";5;-;-;5
"210542 Itinga do Maranhão";2;-;-;2
"210547 Jenipapo dos Vieiras";1;-;-;1
"210550 João Lisboa";204;-;-;204
"210560 Joselândia";2;-;-;2
"210565 Junco do Maranhão";1;-;-;1
"210570 Lago da Pedra";10;-;-;10
"210594 Lago dos Rodrigues";12;-;-;12
"210590 Lago Verde";2;-;-;2
"210598 Lajeado Novo";5;-;-;5
"210600 Lima Campos";1;-;-;1
"210650 Matinha";1;-;-;1
"210660 Matões";2;-;-;2
"210663 Matões do Norte";1;-;-;1
"210690 Monção";2;-;-;2
"210720 Nina Rodrigues";2;-;-;2
"210725 Nova Colinas";2;-;-;2
"210730 Nova Iorque";7;-;-;7
"210735 Nova Olinda do Maranhão";116;-;-;116
"210740 Olho d'Água das Cunhãs";1;-;-;1
"210745 Olinda Nova do Maranhão";1;-;-;1
"210750 Paço do Lumiar";117;-;-;117
"210790 Passagem Franca";1;-;-;1
"210800 Pastos Bons";3;-;-;3
"210805 Paulino Neves";2;-;-;2
"210820 Pedreiras";1;-;-;1
"210845 Peritoró";12;-;-;12
"210850 Pindaré-Mirim";10;-;-;10
"210860 Pinheiro";2;-;-;2
"210870 Pio XII";1;-;-;1
"210890 Poção de Pedras";1;-;-;1
"210900 Porto Franco";15;2;-;17
"210905 Porto Rico do Maranhão";1;-;-;1
"210910 Presidente Dutra";67;-;-;67
"210930 Presidente Vargas";8;-;-;8
"210945 Raposa";7;-;-;7
"210950 Riachão";79;4;8;91
"210955 Ribamar Fiquene";2;-;-;2
"210960 Rosário";91;-;-;91
"210975 Santa Filomena do Maranhão";3;-;-;3
"210980 Santa Helena";1;-;-;1
"210990 Santa Inês";8;-;-;8
"211000 Santa Luzia";1;-;-;1
"211010 Santa Quitéria do Maranhão";17;-;-;17
"211020 Santa Rita";15;-;-;15
