DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Rondônia
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2008
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";15;3;-;-;-;-;-;-;-;-;-;3;21
"110037 Alto Alegre dos Parecis";11;-;5;-;-;-;-;-;-;-;-;-;16
"110034 Alvorada D'Oeste";13;11;8;-;-;-;-;-;-;-;-;12;44
"110002 Ariquemes";14;29;17;15;3;3;-;-;-;-;2;7;90
"110045 Buritis";-;2;-;-;-;-;-;-;-;-;-;-;2
"110003 Cabixi";8;2;11;5;1;-;-;-;-;-;1;2;30
"110004 Cacoal";367;221;87;22;6;4;-;-;-;-;-;50;757
"110080 Candeias do Jamari";7;7;4;-;4;-;2;-;-;1;-;1;26
"110090 Castanheiras";-;-;1;1;-;-;-;-;-;-;-;-;2
"110005 Cerejeiras";10;39;59;49;11;4;1;-;-;-;-;1;174
"110092 Chupinguaia";8;-;2;6;4;1;1;-;-;-;-;-;22
"110006 Colorado do Oeste";15;2;3;2;1;2;-;-;1;1;2;10;39
"110007 Corumbiara";1;1;-;-;-;-;-;-;-;-;-;1;3
"110008 Costa Marques";5;-;1;3;-;-;-;-;-;-;-;2;11
"110009 Espigão D'Oeste";29;29;82;46;3;1;1;-;-;-;-;-;191
"110100 Governador Jorge Teixeira";-;1;1;3;-;-;-;-;-;-;-;-;5
"110010 Guajará-Mirim";2;27;112;85;14;-;2;1;-;-;3;2;248
"110110 Itapuã do Oeste";1;-;-;1;-;-;-;-;-;-;-;-;2
"110011 Jaru";10;5;15;7;-;-;-;1;-;-;1;-;39
"110012 Ji-Paraná";8;17;19;3;1;1;-;-;-;-;-;4;53
"110013 Machadinho D'Oeste";19;52;62;31;4;1;-;-;-;-;-;1;170
"110120 Ministro Andreazza";20;1;-;1;-;-;-;-;-;-;1;2;25
"110014 Nova Brasilândia D'Oeste";10;8;6;-;2;-;-;-;1;-;-;3;30
"110033 Nova Mamoré";7;-;-;1;-;-;-;-;-;1;-;4;13
"110015 Ouro Preto do Oeste";1;12;29;11;5;3;-;-;-;1;-;-;62
"110145 Parecis";1;-;7;4;-;-;-;-;-;-;-;-;12
"110018 Pimenta Bueno";5;6;1;2;-;-;-;-;-;-;-;27;41
"110146 Pimenteiras do Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";82;25;7;7;2;3;2;2;-;1;-;9;140
"110025 Presidente Médici";-;4;-;-;-;-;-;-;-;-;-;-;4
"110147 Primavera de Rondônia";11;1;-;-;-;-;-;-;-;-;1;-;13
"110028 Rolim de Moura";12;12;2;5;1;-;-;-;-;-;-;3;35
"110029 Santa Luzia D'Oeste";-;1;8;2;-;-;-;-;-;-;-;-;11
"110148 São Felipe D'Oeste";25;12;2;-;-;-;-;-;-;-;-;1;40
"110149 São Francisco do Guaporé";18;5;2;1;-;-;-;-;-;-;-;-;26
"110032 São Miguel do Guaporé";3;1;6;9;1;-;-;-;-;-;-;-;20
"110150 Seringueiras";1;-;6;-;-;-;-;-;-;-;-;-;7
"110155 Teixeirópolis";-;-;4;4;-;2;-;4;1;-;-;-;15
"110160 Theobroma";1;-;-;-;-;-;-;-;-;-;-;-;1
"110170 Urupá";7;3;29;24;-;-;-;-;-;-;-;-;63
"110175 Vale do Anari";1;-;9;4;-;-;-;-;-;-;-;-;14
"110180 Vale do Paraíso";6;5;10;2;-;-;1;-;-;-;-;-;24
"110030 Vilhena";93;72;89;71;24;10;4;2;6;23;64;68;526
"130260 Manaus";-;1;-;-;-;-;-;-;-;-;-;-;1
"292740 Salvador";-;1;-;-;-;-;-;-;-;-;-;-;1
"330455 Rio de Janeiro";-;-;-;1;-;-;-;-;-;-;-;-;1
"510285 Castanheira";-;-;-;1;-;-;-;-;-;-;-;-;1
"510330 Comodoro";1;-;-;1;-;-;-;-;-;-;-;-;2
"510340 Cuiabá";-;1;-;-;-;-;-;-;-;-;-;-;1
"510500 Jauru";1;-;-;-;-;-;-;-;-;-;-;-;1
"510675 Pontes e Lacerda";-;-;1;-;-;-;-;-;-;-;-;-;1
"520870 Goiânia";-;1;-;-;-;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";599;454;502;520;164;36;8;9;10;6;51;219;2578
"Total";1448;1074;1210;950;251;71;22;19;19;34;126;432;5656
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
