DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2019
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";-;-;-;-;-;1;-;1;3;-;2;-;7
"150013 Abel Figueiredo";1;-;-;-;2;1;1;2;-;-;-;-;7
"150030 Afuá";5;1;-;-;-;-;-;-;-;-;-;1;7
"150040 Alenquer";-;-;1;-;1;-;-;-;-;-;-;-;2
"150060 Altamira";-;-;-;-;-;-;-;-;-;-;1;6;7
"150080 Ananindeua";1;2;-;-;-;-;-;-;-;-;-;-;3
"150085 Anapu";1;5;3;22;33;18;3;4;1;-;-;-;90
"150090 Augusto Corrêa";-;-;-;-;-;-;-;-;1;-;-;-;1
"150095 Aurora do Pará";-;-;-;1;-;-;-;-;-;-;-;-;1
"150125 Bannach";1;2;1;-;-;-;-;-;1;-;18;-;23
"150130 Barcarena";4;-;-;-;-;-;-;-;-;-;-;-;4
"150140 Belém";1;2;1;1;1;1;3;2;-;-;1;-;13
"150145 Belterra";-;-;-;-;1;-;-;-;-;-;-;-;1
"150157 Bom Jesus do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"150160 Bonito";-;-;4;2;-;-;-;-;-;-;-;-;6
"150170 Bragança";-;-;-;1;-;-;-;1;-;-;-;-;2
"150172 Brasil Novo";-;-;-;-;-;-;5;-;-;1;1;-;7
"150175 Brejo Grande do Araguaia";-;-;-;2;-;-;-;-;-;-;-;-;2
"150178 Breu Branco";-;-;-;-;1;-;-;-;-;-;1;-;2
"150180 Breves";-;-;-;-;-;-;-;-;-;1;-;-;1
"150210 Cametá";1;-;-;1;-;-;-;-;-;-;-;-;2
"150215 Canaã dos Carajás";5;4;8;2;6;-;-;-;-;2;2;1;30
"150220 Capanema";-;-;2;2;-;1;-;1;-;-;1;-;7
"150230 Capitão Poço";-;-;-;-;-;-;1;-;-;1;-;-;2
"150240 Castanhal";3;3;-;-;-;2;-;1;-;-;1;1;11
"150270 Conceição do Araguaia";5;47;89;10;17;-;-;-;-;1;5;-;174
"150276 Cumaru do Norte";-;-;-;1;3;3;-;-;-;-;-;-;7
"150280 Curralinho";-;-;-;-;-;-;1;-;-;-;-;-;1
"150293 Dom Eliseu";3;3;4;3;4;-;1;1;1;-;-;-;20
"150295 Eldorado do Carajás";-;-;-;1;-;1;-;-;-;-;-;-;2
"150304 Floresta do Araguaia";-;-;-;1;-;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";1;-;1;2;-;-;-;-;2;-;-;-;6
"150345 Ipixuna do Pará";-;-;-;1;-;1;-;-;-;-;-;-;2
"150350 Irituia";-;-;1;1;-;-;-;-;-;-;-;-;2
"150360 Itaituba";1;1;2;4;2;4;2;-;-;-;-;3;19
"150370 Itupiranga";-;1;1;1;-;-;-;-;-;-;-;-;3
"150375 Jacareacanga";-;-;-;-;-;-;-;1;-;-;-;-;1
"150380 Jacundá";2;1;3;2;-;7;1;-;-;1;-;-;17
"150405 Mãe do Rio";3;5;1;1;2;-;-;1;-;-;-;-;13
"150420 Marabá";5;8;6;5;5;2;4;1;-;-;1;-;37
"150440 Marapanim";1;1;7;-;-;-;-;-;-;-;-;-;9
"150442 Marituba";-;-;-;-;1;4;-;1;-;-;1;-;7
"150445 Medicilândia";4;-;-;-;-;-;-;-;-;-;-;-;4
"150460 Mocajuba";-;-;-;-;-;-;-;1;-;1;4;-;6
"150470 Moju";28;4;-;-;-;-;-;-;-;1;-;4;37
