DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2010
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110005 Cerejeiras";1;-;-;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";-;1;-;-;3;1;-;-;-;-;-;-;5
"130040 Barcelos";-;-;-;-;-;-;6;5;22;53;66;23;175
"130063 Beruri";1;-;-;-;-;-;-;1;-;-;-;-;2
"130068 Boa Vista do Ramos";-;-;-;-;-;-;1;-;-;-;-;-;1
"130070 Boca do Acre";-;-;-;-;-;-;-;-;-;1;-;2;3
"130080 Borba";24;32;33;13;5;-;4;-;-;-;-;-;111
"130110 Careiro";-;-;6;8;25;2;-;-;-;-;2;6;49
"130120 Coari";-;-;1;1;12;14;131;63;32;18;41;101;414
"130130 Codajás";1;1;1;5;17;18;29;28;2;-;2;3;107
"130150 Envira";-;-;-;-;-;-;-;-;1;-;-;-;1
"130170 Humaitá";342;162;78;30;32;10;3;-;-;2;-;86;745
"130185 Iranduba";-;-;-;1;-;1;-;-;1;-;-;-;3
"130190 Itacoatiara";-;-;-;-;1;-;-;-;-;24;5;10;40
"130240 Lábrea";114;33;29;10;19;4;1;-;1;-;34;68;313
"130250 Manacapuru";3;7;10;2;1;2;2;7;-;-;-;5;39
"130260 Manaus";17;35;68;67;110;97;178;175;211;140;459;595;2152
"130270 Manicoré";-;-;1;-;-;-;-;-;-;-;-;1;2
"130290 Maués";-;-;1;3;35;44;48;10;1;1;-;-;143
"130310 Nova Olinda do Norte";-;2;18;46;19;19;52;32;5;1;3;-;197
"130320 Novo Airão";-;-;-;-;-;-;-;-;-;1;1;9;11
"130330 Novo Aripuanã";4;26;19;34;19;10;22;19;2;21;15;8;199
"130340 Parintins";-;1;2;-;2;-;-;-;-;-;-;-;5
"130353 Presidente Figueiredo";-;-;-;-;-;18;1;2;-;-;-;1;22
"130380 São Gabriel da Cachoeira";1;-;1;34;35;222;103;87;24;9;13;4;533
"130406 Tabatinga";-;-;-;-;1;-;-;-;-;-;-;-;1
"130420 Tefé";-;1;-;-;-;-;1;4;22;44;61;151;284
"140010 Boa Vista";-;-;-;-;-;-;-;1;-;-;-;-;1
"140047 Rorainópolis";1;1;1;-;-;-;-;-;-;-;-;-;3
"150390 Juruti";-;-;1;-;-;-;-;-;-;-;-;-;1
"230440 Fortaleza";-;-;-;-;-;-;-;-;-;-;1;-;1
"000000 Ignorado ou exterior";38;73;101;71;92;171;182;162;81;142;336;473;1922
"Total";547;375;371;325;428;633;764;596;405;457;1039;1546;7486
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
