DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2018
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120020 Cruzeiro do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"130002 Alvarães";-;1;-;-;-;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130080 Borba";-;-;-;-;1;-;-;-;-;-;-;-;1
"130100 Carauari";-;-;-;-;-;1;-;-;-;-;-;-;1
"130120 Coari";4;1;-;5;2;1;-;-;-;-;-;-;13
"130140 Eirunepé";-;-;-;1;-;-;-;-;-;-;-;-;1
"130165 Guajará";12;12;21;5;8;2;4;5;6;4;4;11;94
"130170 Humaitá";7;6;1;1;-;-;-;1;-;-;-;-;16
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;1;-;-;1
"130185 Iranduba";-;-;-;-;-;1;-;-;-;-;-;-;1
"130190 Itacoatiara";34;99;86;49;2;5;12;11;3;9;5;1;316
"130240 Lábrea";1;-;-;-;-;-;-;-;-;-;-;-;1
"130250 Manacapuru";-;1;-;1;-;-;-;-;-;-;-;-;2
"130260 Manaus";7;8;15;18;15;8;1;4;1;3;1;2;83
"130290 Maués";-;-;-;-;1;-;-;-;-;-;-;-;1
"130330 Novo Aripuanã";2;-;4;4;-;-;-;-;-;-;-;-;10
"130340 Parintins";-;-;-;-;-;1;1;-;-;-;-;-;2
"130353 Presidente Figueiredo";-;-;-;1;-;-;-;-;-;-;-;-;1
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;1;-;-;-;-;1
"130380 São Gabriel da Cachoeira";6;2;-;9;-;1;11;8;9;7;5;4;62
"130406 Tabatinga";1;-;4;-;-;-;1;-;-;-;1;-;7
"130410 Tapauá";-;-;1;-;-;-;-;-;-;-;-;-;1
"130420 Tefé";92;65;29;24;13;12;9;6;5;5;1;9;270
"130440 Urucurituba";-;1;1;1;-;-;-;-;-;-;-;-;3
"330490 São Gonçalo";-;-;-;-;1;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";97;98;166;189;162;153;153;125;99;76;82;70;1470
"Total";263;295;328;309;205;185;192;161;123;105;99;97;2362
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
