DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2014
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120020 Cruzeiro do Sul";-;-;-;1;-;-;-;1;2;-;-;-;4
"130002 Alvarães";-;1;-;-;-;-;-;-;-;-;-;-;1
"130006 Amaturá";-;-;-;-;-;-;-;-;2;-;-;-;2
"130010 Anori";2;9;9;4;1;-;-;-;-;-;2;-;27
"130014 Apuí";-;-;-;1;-;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;-;-;-;-;-;1;3;-;-;-;4
"130060 Benjamin Constant";1;-;-;-;-;-;-;-;-;1;-;-;2
"130070 Boca do Acre";1;-;-;-;-;-;-;-;-;1;-;-;2
"130080 Borba";7;8;19;6;1;1;1;1;-;-;-;-;44
"130083 Caapiranga";-;-;1;1;-;-;-;-;-;-;-;-;2
"130110 Careiro";-;-;1;-;3;-;-;-;1;-;-;-;5
"130120 Coari";26;6;17;24;51;8;16;5;1;-;-;7;161
"130130 Codajás";1;-;-;-;-;1;-;-;-;-;-;-;2
"130165 Guajará";-;-;-;1;-;1;17;65;65;22;33;54;258
"130170 Humaitá";34;18;4;1;-;-;-;-;-;-;-;4;61
"130185 Iranduba";-;-;-;-;1;-;-;-;-;-;1;-;2
"130190 Itacoatiara";57;135;142;80;20;12;3;2;-;-;1;1;453
"130210 Japurá";-;-;-;-;-;-;-;-;-;1;-;-;1
"130240 Lábrea";3;1;1;-;1;-;1;-;1;-;-;-;8
"130250 Manacapuru";2;-;2;1;-;1;1;-;-;2;-;1;10
"130260 Manaus";119;165;225;183;107;77;44;32;41;25;31;29;1078
"130280 Maraã";1;1;1;-;-;-;-;-;-;-;-;-;3
"130290 Maués";-;-;-;-;-;1;-;-;-;-;-;-;1
"130320 Novo Airão";-;-;2;3;-;-;-;-;-;-;-;-;5
"130330 Novo Aripuanã";-;1;1;-;-;-;-;-;-;-;1;7;10
"130340 Parintins";3;1;-;1;-;-;-;-;-;-;-;-;5
"130353 Presidente Figueiredo";-;-;2;1;-;16;6;-;-;-;1;-;26
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;-;-;-;1;1
"130380 São Gabriel da Cachoeira";-;-;-;1;1;-;1;-;1;-;-;-;4
"130395 São Sebastião do Uatumã";-;-;-;-;1;-;-;-;-;-;-;-;1
"130400 Silves";-;-;-;-;-;1;-;-;-;-;-;-;1
"130406 Tabatinga";76;22;12;3;-;-;-;1;5;9;35;43;206
"130420 Tefé";17;48;52;17;8;2;7;9;1;9;5;3;178
"130430 Urucará";-;-;-;-;-;-;-;-;-;-;1;-;1
"150613 Redenção";-;-;-;-;-;1;-;-;-;-;-;-;1
"150680 Santarém";-;-;-;-;-;-;1;-;-;-;-;-;1
"000000 Ignorado ou exterior";809;555;663;555;377;207;148;109;93;154;240;229;4139
"Total";1159;971;1154;884;572;329;246;226;216;224;351;379;6711
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
