DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2019
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"Total"
"150010 Abaetetuba";7;-;-;-;7
"150013 Abel Figueiredo";7;-;-;-;7
"150030 Afuá";7;-;-;-;7
"150040 Alenquer";2;-;-;-;2
"150060 Altamira";7;-;-;-;7
"150080 Ananindeua";3;-;-;-;3
"150085 Anapu";90;-;-;-;90
"150090 Augusto Corrêa";1;-;-;-;1
"150095 Aurora do Pará";1;-;-;-;1
"150125 Bannach";23;-;-;-;23
"150130 Barcarena";4;-;-;-;4
"150140 Belém";13;-;-;-;13
"150145 Belterra";1;-;-;-;1
"150157 Bom Jesus do Tocantins";1;-;-;-;1
"150160 Bonito";6;-;-;-;6
"150170 Bragança";2;-;-;-;2
"150172 Brasil Novo";7;-;-;-;7
"150175 Brejo Grande do Araguaia";2;-;-;-;2
"150178 Breu Branco";2;-;-;-;2
"150180 Breves";1;-;-;-;1
"150210 Cametá";2;-;-;-;2
"150215 Canaã dos Carajás";30;-;-;-;30
"150220 Capanema";7;-;-;-;7
"150230 Capitão Poço";2;-;-;-;2
"150240 Castanhal";11;-;-;-;11
"150270 Conceição do Araguaia";174;-;-;-;174
"150276 Cumaru do Norte";7;-;-;-;7
"150280 Curralinho";1;-;-;-;1
"150293 Dom Eliseu";20;-;-;-;20
"150295 Eldorado do Carajás";2;-;-;-;2
"150304 Floresta do Araguaia";1;-;-;-;1
"150320 Igarapé-Açu";6;-;-;-;6
"150345 Ipixuna do Pará";2;-;-;-;2
"150350 Irituia";2;-;-;-;2
"150360 Itaituba";19;-;-;-;19
"150370 Itupiranga";3;-;-;-;3
"150375 Jacareacanga";1;-;-;-;1
"150380 Jacundá";17;-;-;-;17
"150405 Mãe do Rio";13;-;-;-;13
"150420 Marabá";36;1;-;-;37
"150440 Marapanim";9;-;-;-;9
"150442 Marituba";7;-;-;-;7
"150445 Medicilândia";4;-;-;-;4
"150460 Mocajuba";6;-;-;-;6
"150470 Moju";37;-;-;-;37
"150480 Monte Alegre";1;-;-;-;1
"150495 Nova Esperança do Piriá";4;-;-;-;4
"150497 Nova Ipixuna";60;-;-;-;60
"150503 Novo Progresso";56;-;-;-;56
"150506 Novo Repartimento";109;-;-;-;109
"150530 Oriximiná";5;-;-;-;5
"150543 Ourilândia do Norte";59;1;-;-;60
"150548 Pacajá";61;-;-;-;61
"150550 Paragominas";41;-;-;-;41
"150553 Parauapebas";797;-;-;-;797
"150563 Piçarra";3;-;-;-;3
"150570 Ponta de Pedras";1;-;-;-;1
"150613 Redenção";9;-;-;-;9
"150616 Rio Maria";28;-;-;-;28
"150618 Rondon do Pará";12;-;-;-;12
"150619 Rurópolis";20;-;-;-;20
"150620 Salinópolis";10;-;-;-;10
"150635 Santa Bárbara do Pará";5;-;-;-;5
"150650 Santa Izabel do Pará";2;-;-;-;2
"150655 Santa Luzia do Pará";2;-;-;-;2
"150658 Santa Maria das Barreiras";2;-;-;-;2
"150670 Santana do Araguaia";59;-;-;-;59
"150680 Santarém";14;-;-;2;16
"150710 São Caetano de Odivelas";1;-;-;-;1
"150715 São Domingos do Araguaia";8;-;-;-;8
"150720 São Domingos do Capim";1;-;-;-;1
"150730 São Félix do Xingu";61;-;-;-;61
"150745 São Geraldo do Araguaia";3;-;-;-;3
"150747 São João de Pirabas";4;1;-;-;5
"150750 São João do Araguaia";6;-;-;-;6
"150760 São Miguel do Guamá";1;-;-;-;1
"150780 Senador José Porfírio";175;-;14;-;189
"150790 Soure";1;-;-;-;1
"150795 Tailândia";13;-;-;-;13
"150800 Tomé-Açu";3;-;-;-;3
"150803 Tracuateua";1;-;-;-;1
"150808 Tucumã";13;-;-;-;13
"150810 Tucuruí";10;-;-;-;10
"150815 Uruará";2;-;-;-;2
"150820 Vigia";3;-;-;-;3
"150835 Vitória do Xingu";41;-;-;-;41
"150840 Xinguara";2;-;-;-;2
"170550 Colinas do Tocantins";2;-;-;-;2
"170825 Fortaleza do Tabocão";1;-;-;-;1
"171610 Paraíso do Tocantins";1;-;-;-;1
"210480 Grajaú";1;-;-;-;1
"350570 Barueri";1;-;-;-;1
"000000 Ignorado ou exterior";3117;9;-;-;3126
"Total";5438;12;14;2;5466
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
