DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 4";"Total"
"120020 Cruzeiro do Sul";4;-;-;4
"130002 Alvarães";1;-;-;1
"130006 Amaturá";2;-;-;2
"130010 Anori";27;-;-;27
"130014 Apuí";1;-;-;1
"130040 Barcelos";3;-;1;4
"130060 Benjamin Constant";2;-;-;2
"130070 Boca do Acre";2;-;-;2
"130080 Borba";44;-;-;44
"130083 Caapiranga";2;-;-;2
"130110 Careiro";5;-;-;5
"130120 Coari";161;-;-;161
"130130 Codajás";2;-;-;2
"130165 Guajará";258;-;-;258
"130170 Humaitá";61;-;-;61
"130185 Iranduba";2;-;-;2
"130190 Itacoatiara";448;5;-;453
"130210 Japurá";1;-;-;1
"130240 Lábrea";8;-;-;8
"130250 Manacapuru";10;-;-;10
"130260 Manaus";1036;1;41;1078
"130280 Maraã";3;-;-;3
"130290 Maués";1;-;-;1
"130320 Novo Airão";5;-;-;5
"130330 Novo Aripuanã";10;-;-;10
"130340 Parintins";5;-;-;5
"130353 Presidente Figueiredo";25;1;-;26
"130370 Santo Antônio do Içá";1;-;-;1
"130380 São Gabriel da Cachoeira";4;-;-;4
"130395 São Sebastião do Uatumã";1;-;-;1
"130400 Silves";1;-;-;1
"130406 Tabatinga";200;6;-;206
"130420 Tefé";178;-;-;178
"130430 Urucará";1;-;-;1
"150613 Redenção";1;-;-;1
"150680 Santarém";1;-;-;1
"000000 Ignorado ou exterior";4138;1;-;4139
"Total";6655;14;42;6711
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
