DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Rondônia
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2010
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;7;-;-;1;-;-;-;-;-;1;-;10
"110037 Alto Alegre dos Parecis";18;3;-;-;-;-;-;-;-;-;-;4;25
"110040 Alto Paraíso";3;2;11;10;-;-;1;-;-;1;1;1;30
"110034 Alvorada D'Oeste";8;5;7;1;1;-;-;-;-;1;16;30;69
"110002 Ariquemes";102;50;42;12;3;-;3;1;-;-;1;9;223
"110045 Buritis";386;142;61;10;7;4;3;-;2;3;5;11;634
"110003 Cabixi";21;22;13;1;3;-;-;-;-;-;-;2;62
"110060 Cacaulândia";1;2;-;-;-;-;-;-;-;-;-;-;3
"110004 Cacoal";549;181;62;11;3;1;5;-;4;3;6;77;902
"110070 Campo Novo de Rondônia";10;2;4;2;2;-;-;-;-;-;-;2;22
"110080 Candeias do Jamari";61;30;9;2;8;2;2;1;-;-;1;10;126
"110005 Cerejeiras";49;15;10;12;3;4;-;1;3;-;2;19;118
"110092 Chupinguaia";12;2;-;-;-;1;1;-;-;-;-;-;16
"110006 Colorado do Oeste";53;30;34;43;22;19;6;10;9;15;68;155;464
"110007 Corumbiara";3;7;22;5;-;2;-;1;-;-;-;-;40
"110008 Costa Marques";80;220;30;5;4;-;-;-;-;1;-;9;349
"110094 Cujubim";55;12;11;4;-;-;-;-;3;-;-;6;91
"110009 Espigão D'Oeste";284;178;38;13;3;1;2;-;1;3;26;6;555
"110100 Governador Jorge Teixeira";31;8;7;3;1;-;1;-;-;1;-;6;58
"110010 Guajará-Mirim";150;34;10;-;2;-;-;-;-;-;-;32;228
"110110 Itapuã do Oeste";70;43;25;15;12;22;10;1;1;-;-;10;209
"110011 Jaru";402;140;64;40;11;1;3;4;2;5;4;24;700
"110012 Ji-Paraná";60;6;3;-;1;-;-;-;-;-;-;9;79
"110013 Machadinho D'Oeste";94;189;115;15;7;7;3;5;7;6;12;60;520
"110120 Ministro Andreazza";15;14;5;-;-;-;-;-;-;-;-;2;36
"110130 Mirante da Serra";2;-;-;-;-;-;-;-;-;-;-;-;2
"110140 Monte Negro";75;35;8;4;4;3;8;5;1;-;32;40;215
"110014 Nova Brasilândia D'Oeste";268;215;115;30;19;13;10;1;1;9;9;54;744
"110033 Nova Mamoré";62;33;9;1;1;1;-;-;-;1;-;5;113
"110143 Nova União";19;5;4;3;3;1;-;1;-;2;6;23;67
"110050 Novo Horizonte do Oeste";142;70;24;-;1;-;-;1;2;1;6;17;264
"110015 Ouro Preto do Oeste";200;44;15;5;8;4;2;2;3;6;8;62;359
"110145 Parecis";5;1;2;-;-;-;-;-;-;-;-;-;8
"110018 Pimenta Bueno";556;438;269;153;30;5;1;-;-;1;1;28;1482
"110146 Pimenteiras do Oeste";1;-;-;-;-;-;-;-;-;-;1;2;4
"110020 Porto Velho";1823;1068;119;14;1;10;5;1;4;7;10;119;3181
"110025 Presidente Médici";41;25;8;2;-;-;-;-;-;-;-;3;79
"110147 Primavera de Rondônia";-;-;2;-;-;-;-;-;-;-;-;-;2
"110026 Rio Crespo";2;2;9;7;1;3;1;1;-;-;1;2;29
"110028 Rolim de Moura";784;289;44;-;3;-;-;1;1;-;-;35;1157
"110029 Santa Luzia D'Oeste";24;6;2;-;-;-;-;-;-;-;-;2;34
