DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"171420 Natividade";1;-;-;-;-;1
"171488 Nova Olinda";2;-;-;-;-;2
"171500 Nova Rosalândia";2;-;-;-;-;2
"171515 Novo Alegre";1;-;-;-;-;1
"171525 Novo Jardim";7;-;-;-;-;7
"172100 Palmas";1096;-;-;-;3;1099
"171380 Palmeiras do Tocantins";1;-;-;-;-;1
"171575 Palmeirópolis";32;-;-;-;-;32
"171610 Paraíso do Tocantins";143;-;-;-;-;143
"171620 Paranã";11;-;-;-;-;11
"171630 Pau D'Arco";1;-;-;-;-;1
"171650 Pedro Afonso";6;-;-;-;-;6
"171660 Peixe";2;-;-;-;-;2
"171665 Pequizeiro";1;-;-;-;-;1
"171750 Pium";38;-;-;-;-;38
"171780 Ponte Alta do Bom Jesus";1;-;-;-;-;1
"171820 Porto Nacional";62;-;-;-;-;62
"171840 Presidente Kennedy";1;-;-;-;-;1
"171845 Pugmil";3;-;-;-;-;3
"171865 Rio da Conceição";2;-;-;-;-;2
"171870 Rio dos Bois";3;-;-;-;-;3
"171875 Rio Sono";2;-;-;-;-;2
"171880 Sampaio";1;-;-;-;-;1
"171884 Sandolândia";24;-;-;-;-;24
"171886 Santa Fé do Araguaia";5;-;-;-;-;5
"171889 Santa Rita do Tocantins";1;-;-;-;-;1
"172010 São Bento do Tocantins";1;-;-;-;-;1
"172020 São Miguel do Tocantins";3;-;-;-;-;3
"172025 São Salvador do Tocantins";7;-;-;-;-;7
"172049 São Valério";1;-;-;-;-;1
"172065 Silvanópolis";2;-;-;-;-;2
"172090 Taguatinga";6;-;-;-;-;6
"172097 Talismã";74;-;-;-;-;74
"172110 Tocantínia";5;-;-;-;-;5
"172120 Tocantinópolis";72;-;-;-;-;72
"172125 Tupirama";1;-;-;-;-;1
"172208 Wanderlândia";1;-;-;-;-;1
"210005 Açailândia";7;3;-;-;-;10
"210030 Aldeias Altas";8;-;-;-;-;8
"210047 Alto Alegre do Pindaré";1;-;-;-;-;1
"210050 Alto Parnaíba";8;-;-;-;-;8
"210060 Amarante do Maranhão";8;1;-;-;-;9
"210083 Apicum-Açu";9;1;-;-;1;11
"210087 Araguanã";1;-;-;-;-;1
"210100 Arari";2;-;-;-;-;2
"210120 Bacabal";2;1;-;-;-;3
"210125 Bacabeira";4;-;-;-;-;4
"210140 Balsas";1;-;-;-;-;1
"210150 Barão de Grajaú";2;-;-;-;-;2
"210160 Barra do Corda";59;-;-;-;-;59
"210190 Bequimão";1;-;-;-;-;1
"210200 Bom Jardim";4;-;-;-;-;4
"210203 Bom Jesus das Selvas";25;-;-;-;-;25
"210210 Brejo";2;-;-;-;-;2
"210232 Buriticupu";8;-;-;-;-;8
"210255 Campestre do Maranhão";3;-;-;-;-;3
"210270 Cantanhede";3;-;-;-;-;3
"210275 Capinzal do Norte";1;-;-;-;-;1
"210280 Carolina";32;-;-;-;-;32
"210300 Caxias";84;-;-;1;-;85
"210325 Cidelândia";10;-;-;-;-;10
"210330 Codó";3;-;-;-;-;3
"210340 Coelho Neto";8;-;-;-;-;8
"210350 Colinas";2;-;-;-;-;2
"210360 Coroatá";2;-;-;-;-;2
"210370 Cururupu";9;10;-;-;-;19
"210375 Davinópolis";1;-;-;-;-;1
"210380 Dom Pedro";1;-;-;-;-;1
"210390 Duque Bacelar";2;-;-;-;-;2
"210400 Esperantinópolis";1;-;-;-;-;1
"210405 Estreito";8;-;-;-;-;8
"210409 Formosa da Serra Negra";4;-;-;-;-;4
"210455 Governador Edison Lobão";16;-;-;-;-;16
"210460 Governador Eugênio Barros";1;-;-;-;-;1
"210465 Governador Newton Bello";4;-;-;-;-;4
"210480 Grajaú";4;-;-;-;-;4
"210530 Imperatriz";93;-;-;-;-;93
"210535 Itaipava do Grajaú";8;-;-;-;-;8
"210542 Itinga do Maranhão";16;-;-;-;-;16
"210570 Lago da Pedra";12;-;-;-;-;12
"210594 Lago dos Rodrigues";1;-;-;-;-;1
"210590 Lago Verde";14;-;-;-;-;14
"210598 Lajeado Novo";6;-;-;-;-;6
"210650 Matinha";2;-;-;-;-;2
"210660 Matões";1;-;-;-;-;1
"210670 Mirador";1;-;-;-;-;1
"210675 Miranda do Norte";2;1;-;-;-;3
"210700 Montes Altos";1;-;-;-;-;1
"210735 Nova Olinda do Maranhão";11;-;-;-;-;11
"210745 Olinda Nova do Maranhão";1;-;-;-;-;1
"210750 Paço do Lumiar";46;-;-;-;-;46
"210760 Palmeirândia";1;-;-;-;-;1
"210780 Parnarama";1;-;-;-;-;1
"210810 Paulo Ramos";1;-;-;-;-;1
"210840 Peri Mirim";11;-;-;-;-;11
"210845 Peritoró";1;-;-;-;-;1
"210860 Pinheiro";115;2;-;-;-;117
"210870 Pio XII";1;-;-;-;-;1
"210910 Presidente Dutra";1;-;-;-;-;1
"210923 Presidente Médici";1;-;-;-;-;1
"210927 Presidente Sarney";2;-;-;-;-;2
"210945 Raposa";2;-;-;-;-;2
"210950 Riachão";2;-;-;-;-;2
"210980 Santa Helena";23;-;-;-;-;23
"210990 Santa Inês";7;-;-;-;-;7
"211000 Santa Luzia";3;-;-;-;-;3
"211003 Santa Luzia do Paruá";7;-;-;-;-;7
"211020 Santa Rita";2;-;-;-;-;2
"211030 Santo Antônio dos Lopes";1;-;-;-;-;1
"211060 São Bernardo";42;1;-;-;-;43
"211070 São Domingos do Maranhão";23;-;-;-;-;23
"211085 São Francisco do Brejão";1;-;-;-;-;1
"211090 São Francisco do Maranhão";1;-;-;-;-;1
"211102 São João do Carú";1;-;-;-;-;1
"211105 São João do Paraíso";5;-;-;-;-;5
"211107 São João do Soter";1;-;-;-;-;1
"211110 São João dos Patos";1;-;-;-;-;1
"211120 São José de Ribamar";25;1;-;-;-;26
"211130 São Luís";585;1;1;-;2;589
"211140 São Luís Gonzaga do Maranhão";1;-;-;-;-;1
"211153 São Pedro da Água Branca";1;-;-;-;-;1
"211176 Senador La Rocque";1;-;-;-;-;1
"211180 Sítio Novo";21;-;-;-;-;21
"211220 Timon";10;-;-;-;-;10
"211230 Tuntum";13;-;-;-;-;13
"211245 Turilândia";2;-;-;-;-;2
"211270 Vargem Grande";8;-;-;-;-;8
"211280 Viana";2;-;-;-;-;2
"211290 Vitória do Mearim";1;-;-;-;-;1
"211300 Vitorino Freire";1;-;-;-;-;1
"211400 Zé Doca";15;-;-;-;-;15
"220020 Água Branca";4;-;-;-;-;4
"220025 Alagoinha do Piauí";2;-;-;-;-;2
"220030 Alto Longá";15;-;-;-;-;15
"220040 Altos";2;-;-;-;-;2
"220045 Alvorada do Gurguéia";16;-;-;-;-;16
"220050 Amarante";3;-;-;-;-;3
"220060 Angical do Piauí";3;-;-;-;-;3
"220070 Anísio de Abreu";3;-;-;-;-;3
"220080 Antônio Almeida";1;2;-;-;-;3
"220100 Arraial";1;-;-;-;-;1
"220110 Avelino Lopes";1;-;-;-;-;1
"220120 Barras";182;1;-;-;-;183
"220150 Batalha";22;-;-;-;-;22
"220157 Belém do Piauí";5;-;-;-;-;5
"220173 Betânia do Piauí";1;-;-;-;-;1
"220190 Bom Jesus";29;-;-;-;-;29
"220208 Cajueiro da Praia";2;-;-;-;-;2
"220211 Campo Alegre do Fidalgo";17;-;-;-;-;17
"220213 Campo Grande do Piauí";3;-;-;-;-;3
"220220 Campo Maior";13;-;-;-;-;13
"220230 Canto do Buriti";9;-;-;-;-;9
"220240 Capitão de Campos";33;-;-;-;-;33
"220245 Capitão Gervásio Oliveira";15;-;-;-;-;15
"220250 Caracol";8;-;-;-;-;8
"220260 Castelo do Piauí";10;-;-;-;-;10
"220270 Cocal";5;-;-;-;-;5
"220271 Cocal de Telha";2;-;-;-;-;2
"220272 Cocal dos Alves";5;-;-;-;-;5
"220273 Coivaras";18;-;-;-;-;18
"220277 Colônia do Piauí";6;-;-;-;-;6
"220290 Corrente";1;-;-;-;-;1
"220310 Cristino Castro";11;-;-;-;-;11
"220320 Curimatá";3;-;-;-;-;3
"220323 Currais";1;-;-;-;-;1
"220327 Curral Novo do Piauí";2;-;-;-;-;2
"220330 Demerval Lobão";3;-;-;-;-;3
"220335 Dirceu Arcoverde";1;-;-;-;-;1
"220340 Dom Expedito Lopes";8;-;-;-;-;8
"220345 Dom Inocêncio";21;-;-;-;-;21
"220370 Esperantina";17;-;-;-;-;17
"220375 Fartura do Piauí";11;1;-;-;-;12
"220390 Floriano";14;-;-;-;-;14
"220410 Francisco Ayres";1;-;-;-;-;1
"220430 Fronteiras";16;-;-;-;-;16
"220435 Geminiano";13;-;-;-;-;13
"220450 Guadalupe";8;-;-;-;-;8
"220455 Guaribas";17;-;-;-;-;17
"220480 Ipiranga do Piauí";5;-;-;-;-;5
"220490 Isaías Coelho";1;-;-;-;-;1
"220510 Itaueira";1;-;-;-;-;1
"220515 Jacobina do Piauí";46;-;-;-;-;46
"220545 Joca Marques";17;-;-;-;-;17
"220550 José de Freitas";21;-;-;-;-;21
"220552 Júlio Borges";1;-;-;-;-;1
"220553 Jurema";55;1;-;-;-;56
"220555 Lagoa Alegre";1;-;-;-;-;1
"220557 Lagoa de São Francisco";11;-;-;-;-;11
"220556 Lagoa do Barro do Piauí";4;-;-;-;-;4
"220560 Landri Sales";3;-;-;-;-;3
"220570 Luís Correia";2;-;-;-;-;2
"220580 Luzilândia";5;-;1;-;-;6
"220595 Marcolândia";2;-;-;-;-;2
"220600 Marcos Parente";4;-;-;-;-;4
"220610 Matias Olímpio";88;-;-;-;-;88
"220620 Miguel Alves";2;-;-;-;-;2
"220640 Monsenhor Gil";3;-;-;-;-;3
"220650 Monsenhor Hipólito";2;-;-;-;-;2
"220660 Monte Alegre do Piauí";2;-;-;-;-;2
"220670 Nazaré do Piauí";1;-;-;-;-;1
"220672 Nazária";2;-;-;-;-;2
"220680 Nossa Senhora dos Remédios";23;-;-;-;-;23
"220690 Novo Oriente do Piauí";2;-;-;-;-;2
"220695 Novo Santo Antônio";1;-;-;-;-;1
"220700 Oeiras";77;1;-;-;-;78
"220710 Olho D'Água do Piauí";2;-;-;-;-;2
"220755 Paquetá";6;-;-;-;-;6
"220770 Parnaíba";74;-;-;-;-;74
"220777 Patos do Piauí";2;-;-;-;-;2
"220780 Paulistana";16;-;-;-;-;16
"220790 Pedro II";17;3;-;-;-;20
"220800 Picos";608;-;-;-;-;608
"220810 Pimenteiras";6;-;-;-;-;6
"220830 Piracuruca";20;-;-;-;-;20
"220840 Piripiri";39;-;-;-;-;39
"220850 Porto";2;-;-;-;-;2
"220860 Prata do Piauí";1;-;-;-;-;1
"220865 Queimada Nova";1;-;-;-;-;1
"220890 Ribeiro Gonçalves";5;-;-;-;-;5
"220900 Rio Grande do Piauí";3;-;-;-;-;3
"220930 Santa Luz";1;-;-;-;-;1
"220937 Santa Rosa do Piauí";1;-;-;-;-;1
"220935 Santana do Piauí";4;-;-;-;-;4
"220950 Santo Inácio do Piauí";1;-;-;-;-;1
"220960 São Félix do Piauí";1;-;-;-;-;1
"220970 São Francisco do Piauí";3;-;-;-;-;3
"220975 São Gonçalo do Gurguéia";1;-;-;-;-;1
"220985 São João da Canabrava";1;-;-;-;-;1
"220995 São João da Varjota";1;-;-;-;-;1
"220997 São João do Arraial";50;-;-;-;-;50
"221000 São João do Piauí";3;-;-;-;-;3
"221005 São José do Divino";28;1;-;-;-;29
"221010 São José do Peixe";1;-;-;-;-;1
"221020 São José do Piauí";1;-;-;-;-;1
"221037 São Luis do Piauí";2;-;-;-;-;2
"221040 São Miguel do Tapuio";25;-;-;-;-;25
"221050 São Pedro do Piauí";17;-;-;-;-;17
"221060 São Raimundo Nonato";28;-;-;-;-;28
"221063 Sebastião Leal";2;-;-;-;-;2
"221065 Sigefredo Pacheco";10;-;-;-;-;10
"221080 Simplício Mendes";-;1;-;-;-;1
"221093 Sussuapara";3;-;-;-;-;3
"221097 Tanque do Piauí";10;-;-;-;-;10
"221100 Teresina";1961;1;-;-;1;1963
"221110 União";11;-;-;-;-;11
"221120 Uruçuí";23;-;-;-;-;23
"221130 Valença do Piauí";1;-;-;-;-;1
"221140 Várzea Grande";1;-;-;-;-;1
"221160 Vila Nova do Piauí";6;-;-;-;-;6
"230010 Abaiara";36;-;-;-;-;36
"230020 Acaraú";93;-;-;-;1;94
"230040 Aiuaba";6;-;-;-;-;6
"230050 Alcântaras";3;-;-;-;-;3
"230060 Altaneira";3;-;-;-;-;3
"230070 Alto Santo";331;6;-;-;-;337
"230075 Amontada";3;-;-;-;-;3
"230080 Antonina do Norte";1;-;-;-;-;1
"230090 Apuiarés";5;-;-;-;-;5
"230100 Aquiraz";28;-;-;-;-;28
"230110 Aracati";304;1;-;-;2;307
"230120 Aracoiaba";19;-;-;-;-;19
"230130 Araripe";150;-;-;-;-;150
"230140 Aratuba";7;-;-;-;-;7
"230150 Arneiroz";302;-;-;-;-;302
"230160 Assaré";36;-;-;-;-;36
"230170 Aurora";10;-;-;-;-;10
"230190 Barbalha";91;-;-;-;-;91
"230195 Barreira";3;-;-;-;-;3
"230200 Barro";225;-;-;-;-;225
"230205 Barroquinha";3;-;-;-;-;3
"230210 Baturité";8;-;-;-;-;8
"230220 Beberibe";149;3;-;-;-;152
"230230 Bela Cruz";10;3;-;-;-;13
"230240 Boa Viagem";167;-;-;-;-;167
"230250 Brejo Santo";1;-;-;-;-;1
"230260 Camocim";24;-;-;-;-;24
"230270 Campos Sales";394;-;-;-;-;394
"230280 Canindé";396;-;-;-;-;396
"230290 Capistrano";5;-;-;-;-;5
"230310 Cariré";1;-;-;-;-;1
"230320 Caririaçu";3;-;-;-;-;3
"230350 Cascavel";23;-;-;-;-;23
"230360 Catarina";52;-;-;-;-;52
"230370 Caucaia";81;-;-;-;-;81
"230390 Chaval";38;-;-;-;-;38
"230393 Choró";2;-;-;-;-;2
"230395 Chorozinho";20;-;-;-;-;20
"230400 Coreaú";39;-;-;-;-;39
"230410 Crateús";75;-;-;-;-;75
"230420 Crato";186;-;-;-;-;186
"230423 Croatá";4;-;-;-;-;4
"230425 Cruz";2;-;-;-;-;2
"230427 Ererê";16;-;-;-;-;16
"230428 Eusébio";176;1;-;-;-;177
"230430 Farias Brito";18;-;-;-;-;18
"230435 Forquilha";1;-;-;-;-;1
"230440 Fortaleza";2690;12;-;-;2;2704
"230445 Fortim";1;1;-;-;-;2
"230460 General Sampaio";29;-;-;-;-;29
"230470 Granja";4;-;-;-;-;4
"230480 Granjeiro";1;-;-;-;-;1
"230490 Groaíras";2;-;-;-;-;2
"230495 Guaiúba";10;-;-;-;-;10
"230500 Guaraciaba do Norte";4;1;-;-;-;5
"230510 Guaramiranga";1;-;-;-;-;1
"230520 Hidrolândia";3;-;-;-;-;3
