DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150293 Dom Eliseu";-;-;1;-;-;-;-;-;-;-;-;-;1
"172100 Palmas";-;-;-;-;-;1;-;-;-;-;-;-;1
"210005 Açailândia";-;-;2;-;-;-;-;-;-;-;-;-;2
"210010 Afonso Cunha";-;-;-;-;-;1;-;-;-;-;-;-;1
"210020 Alcântara";-;1;-;-;-;-;1;-;-;-;-;-;2
"210030 Aldeias Altas";-;-;2;6;2;-;-;-;-;-;-;-;10
"210047 Alto Alegre do Pindaré";-;-;-;-;-;-;1;-;-;-;4;1;6
"210050 Alto Parnaíba";-;-;11;3;2;5;2;2;-;-;-;-;25
"210060 Amarante do Maranhão";3;46;27;2;5;2;-;-;-;-;-;-;85
"210080 Anapurus";-;1;-;-;9;8;1;-;-;-;-;-;19
"210110 Axixá";-;-;-;-;-;1;-;-;-;-;-;-;1
"210120 Bacabal";3;6;19;3;3;-;-;2;-;-;-;-;36
"210125 Bacabeira";-;-;1;-;-;-;-;-;-;-;-;-;1
"210140 Balsas";10;294;216;64;50;7;2;-;1;1;2;-;647
"210150 Barão de Grajaú";-;-;5;-;2;-;-;-;-;-;-;-;7
"210160 Barra do Corda";3;-;-;-;-;-;41;69;41;10;-;-;164
"210200 Bom Jardim";4;5;2;4;1;1;-;-;-;-;-;-;17
"210207 Bom Lugar";-;-;2;-;-;-;-;-;-;-;-;-;2
"210210 Brejo";-;2;8;2;-;-;-;-;-;-;-;-;12
"210215 Brejo de Areia";-;-;-;1;-;-;-;-;-;-;-;-;1
"210220 Buriti";-;1;-;-;2;-;-;-;-;-;-;-;3
"210230 Buriti Bravo";-;-;-;-;-;-;-;-;1;-;-;-;1
"210255 Campestre do Maranhão";13;35;1;-;-;-;-;-;-;-;1;-;50
"210280 Carolina";-;6;7;4;2;1;1;1;1;-;-;-;23
"210300 Caxias";-;-;2;22;147;122;8;3;1;3;-;-;308
"210315 Centro do Guilherme";-;-;1;-;-;-;-;-;-;-;-;-;1
"210320 Chapadinha";-;4;7;3;9;3;9;-;-;-;-;-;35
"210325 Cidelândia";2;2;-;-;6;-;-;-;-;-;-;-;10
"210330 Codó";-;-;-;-;-;3;3;-;-;-;-;-;6
