DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2018
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150420 Marabá";-;-;-;-;1;-;-;-;-;-;-;-;1
"150810 Tucuruí";-;-;-;-;-;-;1;-;-;-;-;-;1
"170025 Abreulândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"170040 Almas";-;-;-;-;-;-;-;-;-;-;1;-;1
"170070 Alvorada";-;-;-;1;-;-;-;-;-;-;-;-;1
"170100 Ananás";-;-;1;1;-;-;-;-;-;-;-;-;2
"170200 Araguaçu";-;-;-;-;1;-;-;-;-;-;-;-;1
"170210 Araguaína";75;36;48;91;34;26;8;24;14;20;9;17;402
"170215 Araguanã";-;-;-;-;-;-;-;-;-;-;-;1;1
"170220 Araguatins";-;1;-;-;-;-;-;-;-;-;-;-;1
"170230 Arapoema";1;-;-;-;2;-;1;-;-;-;1;-;5
"170240 Arraias";-;3;6;3;-;2;-;-;-;2;-;-;16
"170290 Axixá do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"170300 Babaçulândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"170310 Barrolândia";-;-;-;-;1;-;-;-;-;-;-;-;1
"170320 Bernardo Sayão";-;1;-;-;4;-;-;-;-;-;-;-;5
"170370 Brejinho de Nazaré";1;-;-;-;-;-;-;-;-;-;2;-;3
"170384 Campos Lindos";-;-;-;-;1;-;-;-;-;-;1;7;9
"170386 Cariri do Tocantins";1;2;3;24;10;1;-;-;-;-;1;-;42
"170389 Carrasco Bonito";1;-;-;-;-;-;-;-;-;-;-;-;1
"170510 Chapada da Natividade";-;-;-;2;5;-;-;-;-;-;-;2;9
"170550 Colinas do Tocantins";-;-;-;-;-;1;1;-;-;-;-;-;2
"170555 Combinado";5;6;6;1;2;5;-;-;-;-;-;-;25
