DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2016
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"110001 Alta Floresta D'Oeste";12;-;-;-;-;12
"110037 Alto Alegre dos Parecis";6;-;-;-;-;6
"110040 Alto Paraíso";7;-;-;-;-;7
"110034 Alvorada D'Oeste";86;-;-;-;-;86
"110002 Ariquemes";27;3;-;-;-;30
"110045 Buritis";83;-;-;-;-;83
"110003 Cabixi";52;-;-;-;-;52
"110004 Cacoal";195;21;-;-;1;217
"110070 Campo Novo de Rondônia";12;-;-;-;-;12
"110080 Candeias do Jamari";32;1;-;-;-;33
"110090 Castanheiras";3;-;-;-;-;3
"110005 Cerejeiras";291;1;-;-;-;292
"110092 Chupinguaia";28;-;-;-;-;28
"110006 Colorado do Oeste";11;-;-;-;-;11
"110007 Corumbiara";9;-;-;-;-;9
"110008 Costa Marques";6;-;-;-;-;6
"110094 Cujubim";14;1;-;-;-;15
"110009 Espigão D'Oeste";280;-;-;-;-;280
"110010 Guajará-Mirim";25;-;-;-;-;25
"110110 Itapuã do Oeste";18;-;-;-;-;18
"110011 Jaru";19;-;-;-;-;19
"110012 Ji-Paraná";15;-;-;-;-;15
"110013 Machadinho D'Oeste";444;-;-;-;-;444
"110120 Ministro Andreazza";6;-;-;-;-;6
"110130 Mirante da Serra";2;-;-;-;-;2
"110140 Monte Negro";14;2;-;-;-;16
"110014 Nova Brasilândia D'Oeste";338;2;-;-;-;340
"110143 Nova União";3;1;-;-;-;4
"110050 Novo Horizonte do Oeste";16;-;-;-;-;16
"110015 Ouro Preto do Oeste";93;-;-;-;-;93
"110145 Parecis";29;-;-;-;-;29
"110018 Pimenta Bueno";203;-;-;-;-;203
"110146 Pimenteiras do Oeste";24;-;-;-;-;24
"110020 Porto Velho";828;4;-;-;-;832
"110025 Presidente Médici";10;-;-;-;-;10
"110147 Primavera de Rondônia";4;-;-;-;-;4
"110026 Rio Crespo";22;-;-;-;-;22
"110028 Rolim de Moura";363;-;-;-;-;363
"110029 Santa Luzia D'Oeste";28;2;-;-;-;30
"110148 São Felipe D'Oeste";46;-;-;-;-;46
"110149 São Francisco do Guaporé";21;-;-;-;-;21
"110032 São Miguel do Guaporé";50;-;-;-;-;50
"110150 Seringueiras";52;1;-;-;-;53
"110160 Theobroma";1;-;-;-;-;1
"110170 Urupá";23;-;-;-;-;23
"110175 Vale do Anari";4;-;-;-;-;4
"110180 Vale do Paraíso";33;1;-;-;-;34
"110030 Vilhena";272;6;-;-;-;278
"110000 Município ignorado - RO";1;-;-;-;-;1
"120001 Acrelândia";2;-;-;-;-;2
"120005 Assis Brasil";6;-;-;-;-;6
"120010 Brasiléia";24;-;-;-;-;24
"120017 Capixaba";53;-;-;-;-;53
"120020 Cruzeiro do Sul";150;-;-;-;-;150
"120025 Epitaciolândia";32;-;-;-;-;32
"120030 Feijó";6;-;-;-;-;6
"120033 Mâncio Lima";3;-;-;-;-;3
"120038 Plácido de Castro";1;-;-;-;-;1
"120080 Porto Acre";1;-;-;-;-;1
"120039 Porto Walter";1;-;-;-;-;1
"120040 Rio Branco";453;-;-;-;-;453
"120042 Rodrigues Alves";2;-;-;-;-;2
"120045 Senador Guiomard";4;-;-;-;-;4
"120070 Xapuri";1;-;-;-;-;1
"130014 Apuí";1;-;-;-;-;1
"130030 Autazes";2;-;-;-;-;2
"130040 Barcelos";2;-;-;-;-;2
"130050 Barreirinha";1;-;-;-;-;1
"130060 Benjamin Constant";9;-;-;-;-;9
"130063 Beruri";1;-;-;-;-;1
"130068 Boa Vista do Ramos";23;-;-;-;-;23
"130070 Boca do Acre";5;-;-;-;-;5
"130080 Borba";37;-;-;-;-;37
"130110 Careiro";3;-;-;-;-;3
"130120 Coari";54;-;-;-;-;54
"130165 Guajará";51;-;-;-;-;51
"130170 Humaitá";16;-;-;-;-;16
"130180 Ipixuna";1;-;-;-;-;1
"130185 Iranduba";14;-;-;-;-;14
"130190 Itacoatiara";103;-;-;-;-;103
"130210 Japurá";8;-;-;-;-;8
"130240 Lábrea";1;-;-;-;-;1
"130250 Manacapuru";16;-;-;-;-;16
"130260 Manaus";462;1;-;-;-;463
"130290 Maués";155;-;-;-;-;155
"130310 Nova Olinda do Norte";44;-;-;-;-;44
"130320 Novo Airão";14;-;-;-;-;14
"130330 Novo Aripuanã";93;-;-;-;-;93
"130340 Parintins";1;-;-;-;-;1
"130353 Presidente Figueiredo";19;-;-;-;-;19
"130380 São Gabriel da Cachoeira";3;-;-;-;-;3
"130390 São Paulo de Olivença";1;-;-;-;-;1
"130406 Tabatinga";62;-;-;-;-;62
"130410 Tapauá";65;-;-;-;-;65
"130420 Tefé";19;-;-;3;4;26
"130426 Uarini";1;-;-;-;-;1
"140005 Alto Alegre";1;-;-;-;-;1
"140002 Amajari";4;-;-;-;-;4
"140010 Boa Vista";52;-;-;-;-;52
"140017 Cantá";16;-;-;-;-;16
"140020 Caracaraí";1;-;-;-;-;1
"140023 Caroebe";44;-;-;-;-;44
"140028 Iracema";1;-;-;-;-;1
"140030 Mucajaí";7;-;-;-;-;7
"140045 Pacaraima";2;-;-;-;-;2
"140047 Rorainópolis";3;-;-;-;-;3
"140050 São João da Baliza";27;-;-;-;-;27
"150010 Abaetetuba";110;-;-;-;-;110
"150013 Abel Figueiredo";1;-;-;-;-;1
"150020 Acará";1;-;-;-;-;1
"150030 Afuá";1;-;-;-;-;1
"150040 Alenquer";522;-;-;-;-;522
"150060 Altamira";7;1;-;-;-;8
"150080 Ananindeua";28;-;-;-;-;28
"150085 Anapu";45;-;-;-;-;45
"150095 Aurora do Pará";1;-;-;-;-;1
"150100 Aveiro";1;-;-;-;-;1
"150125 Bannach";16;-;-;-;-;16
"150130 Barcarena";70;1;-;-;-;71
"150140 Belém";217;-;1;-;-;218
"150145 Belterra";1;-;-;-;-;1
"150150 Benevides";3;-;-;-;-;3
"150160 Bonito";1;-;-;-;-;1
"150170 Bragança";3;-;-;-;-;3
"150172 Brasil Novo";28;-;-;-;-;28
"150178 Breu Branco";6;-;-;-;-;6
"150180 Breves";43;-;-;-;-;43
"150210 Cametá";11;-;-;-;-;11
"150215 Canaã dos Carajás";51;-;-;-;-;51
"150220 Capanema";3;-;-;-;-;3
"150230 Capitão Poço";34;2;-;-;-;36
"150240 Castanhal";11;-;-;-;-;11
"150250 Chaves";1;-;-;-;-;1
"150260 Colares";2;-;-;-;-;2
"150270 Conceição do Araguaia";4;-;-;-;-;4
"150276 Cumaru do Norte";2;-;-;-;-;2
"150277 Curionópolis";10;-;-;-;-;10
"150280 Curralinho";1;-;-;-;-;1
"150290 Curuçá";2;-;-;-;-;2
"150293 Dom Eliseu";5;-;-;-;-;5
"150295 Eldorado do Carajás";1;-;-;-;-;1
"150304 Floresta do Araguaia";1;-;1;-;-;2
"150307 Garrafão do Norte";1;-;-;-;-;1
"150310 Gurupá";15;-;-;-;-;15
"150320 Igarapé-Açu";19;-;-;-;-;19
"150330 Igarapé-Miri";4;-;-;-;-;4
"150340 Inhangapi";8;-;-;-;-;8
"150345 Ipixuna do Pará";2;-;-;-;-;2
"150350 Irituia";3;-;-;-;-;3
"150360 Itaituba";415;-;-;-;1;416
"150370 Itupiranga";23;-;-;-;-;23
"150375 Jacareacanga";2;-;-;-;-;2
"150380 Jacundá";65;-;-;-;-;65
"150390 Juruti";5;-;-;-;-;5
"150400 Limoeiro do Ajuru";2;-;-;-;-;2
"150405 Mãe do Rio";3;-;-;-;-;3
"150420 Marabá";160;-;-;-;-;160
"150430 Maracanã";1;-;-;-;-;1
"150442 Marituba";12;-;-;-;-;12
"150460 Mocajuba";1;-;-;-;-;1
"150470 Moju";3;-;-;-;-;3
"150475 Mojuí dos Campos";1;-;-;-;-;1
"150480 Monte Alegre";186;-;-;-;-;186
"150490 Muaná";2;-;-;-;-;2
"150495 Nova Esperança do Piriá";15;-;-;-;-;15
"150497 Nova Ipixuna";90;-;-;-;-;90
"150503 Novo Progresso";243;-;-;-;-;243
"150506 Novo Repartimento";107;-;-;-;-;107
"150510 Óbidos";33;-;-;-;-;33
"150520 Oeiras do Pará";7;-;-;-;-;7
"150530 Oriximiná";291;-;-;-;-;291
"150543 Ourilândia do Norte";41;-;-;-;-;41
"150548 Pacajá";219;-;-;-;-;219
"150550 Paragominas";8;-;-;-;-;8
"150553 Parauapebas";325;-;-;-;-;325
"150555 Pau D'Arco";40;-;-;-;-;40
"150565 Placas";3;-;-;-;-;3
"150570 Ponta de Pedras";32;-;-;-;-;32
"150580 Portel";20;-;-;-;-;20
"150590 Porto de Moz";3;-;-;-;-;3
"150600 Prainha";46;-;-;-;-;46
"150610 Primavera";3;-;-;-;-;3
"150613 Redenção";18;-;-;-;-;18
"150618 Rondon do Pará";115;-;-;-;-;115
"150619 Rurópolis";2;-;-;-;-;2
"150620 Salinópolis";13;-;-;-;-;13
"150630 Salvaterra";8;-;-;-;-;8
"150635 Santa Bárbara do Pará";4;-;-;-;-;4
"150650 Santa Izabel do Pará";20;-;-;-;-;20
"150655 Santa Luzia do Pará";1;-;-;-;-;1
"150658 Santa Maria das Barreiras";3;-;-;-;-;3
"150660 Santa Maria do Pará";4;-;-;-;-;4
"150670 Santana do Araguaia";140;-;-;-;-;140
"150680 Santarém";2;-;-;-;-;2
"150690 Santarém Novo";2;-;-;-;-;2
"150700 Santo Antônio do Tauá";9;-;-;-;-;9
"150710 São Caetano de Odivelas";2;-;-;-;-;2
"150715 São Domingos do Araguaia";8;-;-;-;-;8
"150720 São Domingos do Capim";2;-;-;-;-;2
"150730 São Félix do Xingu";132;-;-;-;-;132
"150745 São Geraldo do Araguaia";91;-;-;-;-;91
"150747 São João de Pirabas";2;-;-;-;-;2
"150750 São João do Araguaia";1;-;-;-;-;1
"150780 Senador José Porfírio";21;-;-;-;-;21
"150790 Soure";1;-;-;-;-;1
"150795 Tailândia";9;-;-;-;-;9
"150797 Terra Santa";4;-;-;-;-;4
"150800 Tomé-Açu";86;-;-;-;-;86
"150803 Tracuateua";2;-;-;-;-;2
"150808 Tucumã";1;-;-;-;-;1
"150810 Tucuruí";328;-;-;-;-;328
"150812 Ulianópolis";1;-;-;-;-;1
"150820 Vigia";1;-;-;-;-;1
"150835 Vitória do Xingu";5;-;-;-;-;5
"150840 Xinguara";34;-;-;-;-;34
"150000 Município ignorado - PA";1;-;-;-;-;1
