DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110020 Porto Velho";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 Manaus";-;-;-;-;-;-;2;-;-;-;-;-;2
"150010 Abaetetuba";9;6;2;3;5;6;41;45;9;3;5;3;137
"150013 Abel Figueiredo";1;2;-;1;2;-;-;-;-;-;-;-;6
"150030 Afuá";-;-;-;-;1;-;-;-;1;-;-;-;2
"150034 Água Azul do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"150040 Alenquer";9;6;9;8;4;1;2;-;-;-;-;2;41
"150050 Almeirim";-;-;-;1;-;-;-;-;-;-;-;-;1
"150060 Altamira";-;5;2;-;-;-;-;-;-;-;-;-;7
"150080 Ananindeua";-;-;-;1;1;-;-;1;-;-;-;-;3
"150085 Anapu";280;124;1;-;-;-;-;-;-;-;-;7;412
"150090 Augusto Corrêa";-;-;-;-;1;-;-;-;-;-;-;-;1
"150095 Aurora do Pará";-;-;-;-;-;-;-;1;-;-;-;-;1
"150125 Bannach";1;4;2;-;-;-;-;-;-;-;-;1;8
"150130 Barcarena";-;2;1;-;-;-;1;6;1;-;-;-;11
"150140 Belém";4;19;11;2;1;1;2;-;-;-;1;1;42
"150157 Bom Jesus do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"150160 Bonito";-;1;-;-;-;-;-;-;-;-;-;-;1
"150170 Bragança";-;-;1;-;1;-;-;-;-;-;-;-;2
"150172 Brasil Novo";-;-;1;-;-;-;-;-;-;-;-;-;1
"150175 Brejo Grande do Araguaia";-;-;1;-;-;-;-;-;-;-;-;-;1
"150178 Breu Branco";-;-;-;-;-;1;-;-;-;-;-;-;1
"150180 Breves";-;-;-;1;1;-;-;-;-;1;-;-;3
"150210 Cametá";-;-;-;-;-;-;-;-;-;1;-;-;1
"150215 Canaã dos Carajás";10;3;3;3;-;-;-;-;-;1;1;4;25
"150230 Capitão Poço";2;22;21;-;2;1;-;-;1;-;3;-;52
"150240 Castanhal";-;2;5;1;2;2;1;-;-;1;-;2;16
"150250 Chaves";-;-;-;1;-;-;-;-;-;-;1;-;2
"150260 Colares";-;-;-;-;-;-;-;-;-;1;-;-;1
"150270 Conceição do Araguaia";1;1;1;1;-;-;-;-;-;-;-;-;4
"150275 Concórdia do Pará";-;1;-;-;-;-;-;-;-;-;-;-;1
"150276 Cumaru do Norte";-;7;1;-;-;-;-;-;-;-;-;1;9
"150277 Curionópolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"150285 Curuá";-;-;-;-;-;-;-;-;-;1;-;-;1
"150293 Dom Eliseu";-;-;-;1;-;-;-;-;-;-;-;1;2
"150295 Eldorado do Carajás";1;-;-;-;1;-;-;-;-;-;-;-;2
"150307 Garrafão do Norte";1;1;-;-;-;-;-;-;-;-;-;-;2
"150310 Gurupá";1;2;-;-;-;-;-;1;-;-;-;-;4
"150345 Ipixuna do Pará";1;-;-;-;-;-;-;-;-;-;1;-;2
"150350 Irituia";-;-;1;-;-;-;-;1;-;-;-;-;2
"150360 Itaituba";3;8;9;2;2;1;1;-;-;1;1;3;31
"150370 Itupiranga";-;1;-;-;-;-;-;-;1;-;-;1;3
"150380 Jacundá";2;36;40;8;-;4;3;-;-;1;-;-;94
"150390 Juruti";-;-;1;-;-;-;-;-;-;-;-;-;1
"150400 Limoeiro do Ajuru";-;-;1;4;6;-;-;-;2;-;-;-;13
"150420 Marabá";58;46;92;22;7;1;-;-;-;-;2;2;230
"150430 Maracanã";-;-;-;-;1;-;-;-;-;-;-;-;1
"150442 Marituba";1;-;-;-;-;-;-;-;-;-;-;-;1
"150445 Medicilândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"150480 Monte Alegre";1;-;2;-;-;-;-;-;-;-;-;-;3
"150495 Nova Esperança do Piriá";17;22;3;2;4;6;1;-;4;2;-;-;61
"150497 Nova Ipixuna";1;-;1;-;-;-;-;-;-;-;-;-;2
"150503 Novo Progresso";26;17;9;4;1;1;-;1;-;2;-;1;62
"150506 Novo Repartimento";5;82;41;6;3;6;-;-;-;-;-;-;143
"150510 Óbidos";-;-;1;-;-;-;-;-;-;-;-;1;2
"150520 Oeiras do Pará";1;-;-;-;-;1;-;-;1;-;-;-;3
"150530 Oriximiná";1;6;4;4;5;4;-;-;-;2;-;1;27
"150543 Ourilândia do Norte";28;17;18;1;2;-;-;-;-;1;-;6;73
"150548 Pacajá";54;128;67;19;4;1;-;-;-;1;-;1;275
"150549 Palestina do Pará";-;7;29;7;-;1;-;1;-;-;2;9;56
"150550 Paragominas";-;-;-;1;9;11;3;6;5;1;2;1;39
"150553 Parauapebas";60;213;368;227;101;30;22;7;6;4;6;7;1051
"150555 Pau D'Arco";-;-;3;3;1;-;-;-;-;-;-;-;7
"150565 Placas";-;-;-;-;-;1;-;-;-;-;-;-;1
"150610 Primavera";2;-;1;2;-;-;-;-;-;-;-;-;5
"150613 Redenção";34;10;2;2;5;1;1;2;2;6;9;14;88
"150616 Rio Maria";18;8;-;-;-;-;-;-;-;-;-;-;26
"150618 Rondon do Pará";1;20;16;1;3;1;-;-;-;-;-;-;42
