DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2020
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"130270 Manicoré";1;-;-;-;1
"150060 Altamira";2;-;-;-;2
"210160 Barra do Corda";2;-;-;-;2
"313960 Mantena";1;-;-;-;1
"355030 São Paulo";3;-;-;-;3
"410480 Cascavel";1;-;-;-;1
"410800 Florestópolis";1;-;-;-;1
"410880 Guaíra";1;-;-;-;1
"412370 Santa Isabel do Ivaí";1;-;-;-;1
"420420 Chapecó";1;-;-;-;1
"500270 Campo Grande";1;-;-;-;1
"510010 Acorizal";1;-;-;-;1
"510020 Água Boa";17;-;-;-;17
"510025 Alta Floresta";817;-;-;-;817
"510030 Alto Araguaia";18;-;-;-;18
"510040 Alto Garças";98;2;-;-;100
"510050 Alto Paraguai";2;1;-;-;3
"510060 Alto Taquari";30;-;-;-;30
"510080 Apiacás";2;-;-;-;2
"510100 Araguaiana";68;-;-;-;68
"510120 Araguainha";5;-;-;-;5
"510125 Araputanga";125;-;-;-;125
"510130 Arenápolis";94;-;1;-;95
"510140 Aripuanã";90;-;-;-;90
"510160 Barão de Melgaço";3;-;-;-;3
"510170 Barra do Bugres";197;-;-;-;197
"510180 Barra do Garças";38;1;-;-;39
"510185 Bom Jesus do Araguaia";10;-;-;1;11
"510190 Brasnorte";189;-;-;-;189
"510250 Cáceres";928;-;-;-;928
"510260 Campinápolis";37;-;-;-;37
"510263 Campo Novo do Parecis";937;-;4;-;941
"510267 Campo Verde";875;-;1;1;877
"510268 Campos de Júlio";307;-;1;-;308
"510269 Canabrava do Norte";7;-;-;-;7
"510270 Canarana";12;-;-;-;12
"510279 Carlinda";111;-;-;-;111
"510285 Castanheira";37;-;-;-;37
"510300 Chapada dos Guimarães";109;1;-;-;110
"510305 Cláudia";300;-;-;-;300
"510310 Cocalinho";24;-;-;-;24
"510320 Colíder";207;-;-;-;207
"510325 Colniza";358;1;-;-;359
"510330 Comodoro";465;-;-;-;465
"510335 Confresa";241;2;-;-;243
"510336 Conquista D'Oeste";17;1;-;-;18
"510337 Cotriguaçu";104;-;-;-;104
"510340 Cuiabá";753;1;3;-;757
"510343 Curvelândia";23;-;-;-;23
"510345 Denise";2;-;-;-;2
"510350 Diamantino";127;61;-;-;188
"510360 Dom Aquino";20;-;-;-;20
"510370 Feliz Natal";29;-;-;-;29
"510380 Figueirópolis D'Oeste";23;-;-;-;23
"510385 Gaúcha do Norte";69;-;-;-;69
"510390 General Carneiro";10;-;-;-;10
"510410 Guarantã do Norte";165;-;-;-;165
"510420 Guiratinga";10;-;-;-;10
"510450 Indiavaí";17;-;-;-;17
"510452 Ipiranga do Norte";332;-;1;-;333
"510454 Itanhangá";240;-;-;-;240
"510455 Itaúba";23;-;-;-;23
"510460 Itiquira";4;-;-;-;4
"510480 Jaciara";106;-;-;-;106
"510490 Jangada";3;-;-;-;3
"510500 Jauru";10;-;-;-;10
"510510 Juara";494;1;-;-;495
"510515 Juína";205;2;-;-;207
"510517 Juruena";6;-;-;-;6
"510520 Juscimeira";48;-;-;-;48
"510523 Lambari D'Oeste";51;-;-;-;51
"510525 Lucas do Rio Verde";1379;8;2;-;1389
"510558 Marcelândia";59;5;-;-;64
"510560 Matupá";153;-;-;-;153
"510562 Mirassol d'Oeste";115;-;-;-;115
"510590 Nobres";15;-;-;-;15
"510600 Nortelândia";4;-;-;-;4
"510610 Nossa Senhora do Livramento";2;-;-;-;2
"510615 Nova Bandeirantes";59;-;-;-;59
"510620 Nova Brasilândia";2;-;-;-;2
"510621 Nova Canaã do Norte";202;21;-;-;223
"510880 Nova Guarita";30;-;-;-;30
"510618 Nova Lacerda";61;-;-;-;61
"510885 Nova Marilândia";20;-;-;-;20
"510890 Nova Maringá";171;-;-;-;171
"510895 Nova Monte Verde";21;-;-;-;21
"510622 Nova Mutum";362;1;-;-;363
"510617 Nova Nazaré";3;-;-;-;3
"510623 Nova Olímpia";67;-;-;-;67
"510619 Nova Santa Helena";17;-;-;-;17
"510624 Nova Ubiratã";8;-;-;-;8
"510625 Nova Xavantina";39;-;-;-;39
"510627 Novo Horizonte do Norte";25;2;-;-;27
"510626 Novo Mundo";141;-;1;-;142
"510628 Novo São Joaquim";17;-;-;-;17
"510629 Paranaíta";87;-;-;-;87
"510630 Paranatinga";89;1;-;-;90
"510637 Pedra Preta";48;1;-;-;49
"510642 Peixoto de Azevedo";525;-;-;-;525
"510645 Planalto da Serra";240;2;-;-;242
"510650 Poconé";58;1;-;-;59
"510665 Pontal do Araguaia";13;-;-;-;13
"510670 Ponte Branca";5;-;-;-;5
"510675 Pontes e Lacerda";273;3;-;-;276
"510677 Porto Alegre do Norte";6;-;-;-;6
"510680 Porto dos Gaúchos";32;2;-;-;34
"510682 Porto Esperidião";140;-;-;-;140
"510685 Porto Estrela";15;-;-;-;15
"510700 Poxoréo";26;-;-;-;26
"510704 Primavera do Leste";716;6;10;-;732
"510706 Querência";28;-;-;-;28
"510715 Reserva do Cabaçal";89;-;-;-;89
"510718 Ribeirão Cascalheira";6;-;-;-;6
"510719 Ribeirãozinho";132;-;3;-;135
"510720 Rio Branco";30;-;-;-;30
"510757 Rondolândia";1;-;-;-;1
"510760 Rondonópolis";745;-;1;-;746
"510770 Rosário Oeste";1;-;-;-;1
"510775 Salto do Céu";6;-;-;-;6
"510724 Santa Carmem";112;-;-;-;112
"510774 Santa Cruz do Xingu";13;-;-;-;13
"510776 Santa Rita do Trivelato";75;1;-;-;76
