DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2016
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150293 Dom Eliseu";-;1;1;-;-;-;-;-;-;-;-;-;2
"170384 Campos Lindos";-;-;-;1;-;-;-;-;-;-;-;-;1
"170770 Filadélfia";-;-;-;1;-;-;-;-;-;-;-;-;1
"172020 São Miguel do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"210005 Açailândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"210030 Aldeias Altas";-;-;1;-;1;-;-;-;-;-;-;-;2
"210047 Alto Alegre do Pindaré";2;-;-;-;-;-;-;-;-;-;-;-;2
"210050 Alto Parnaíba";1;1;1;1;-;-;-;-;-;-;1;1;6
"210060 Amarante do Maranhão";2;14;5;1;2;-;-;-;-;-;-;-;24
"210110 Axixá";1;-;-;-;-;-;-;-;-;-;-;-;1
"210120 Bacabal";3;7;22;112;43;3;1;-;-;-;-;-;191
"210125 Bacabeira";1;1;2;-;1;-;2;-;-;-;-;-;7
"210140 Balsas";1;2;126;1002;176;9;-;-;1;1;2;1;1321
"210150 Barão de Grajaú";1;-;1;2;3;5;-;-;-;-;-;-;12
"210160 Barra do Corda";226;13;2;1;-;-;-;-;-;-;-;12;254
"210170 Barreirinhas";-;-;-;-;-;-;1;-;-;-;-;-;1
"210177 Bela Vista do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210173 Belágua";1;-;-;-;-;-;-;-;-;-;-;-;1
"210193 Bernardo do Mearim";-;-;-;1;-;1;-;-;-;-;-;-;2
"210200 Bom Jardim";4;6;6;11;21;14;5;7;4;6;3;2;89
"210203 Bom Jesus das Selvas";1;64;387;38;-;-;-;-;-;-;-;-;490
"210210 Brejo";-;-;12;-;-;-;-;-;-;-;-;-;12
"210230 Buriti Bravo";-;-;1;-;-;-;-;-;-;-;-;-;1
"210232 Buriticupu";-;3;-;-;1;-;-;-;-;-;-;-;4
"210237 Cachoeira Grande";-;-;1;-;-;-;-;-;-;-;-;-;1
"210270 Cantanhede";-;24;2;-;-;-;-;-;-;-;2;2;30
"210280 Carolina";1;11;11;7;17;16;-;-;-;-;1;-;64
"210300 Caxias";1;47;158;151;85;4;-;1;-;1;1;-;449
"210315 Centro do Guilherme";-;-;-;-;-;-;1;-;-;-;-;-;1
"210320 Chapadinha";-;3;-;-;-;-;-;-;-;-;-;-;3
"210325 Cidelândia";-;3;1;-;-;-;-;-;-;-;-;-;4
"210330 Codó";-;-;1;1;2;2;-;-;-;-;-;-;6
"210340 Coelho Neto";1;7;6;51;88;-;-;1;-;1;-;-;155
"210360 Coroatá";-;4;1;4;2;-;-;-;-;-;-;-;11
"210370 Cururupu";416;2;1;-;-;-;-;1;-;1;1;7;429
"210375 Davinópolis";-;-;2;1;3;-;-;-;-;-;-;-;6
"210380 Dom Pedro";1;-;-;1;-;-;-;-;-;-;-;-;2
"210390 Duque Bacelar";1;-;2;-;1;-;-;-;-;-;-;-;4
"210400 Esperantinópolis";-;1;8;8;2;-;-;-;-;-;-;-;19
"210405 Estreito";-;-;3;3;-;-;-;-;-;-;-;-;6
"210407 Feira Nova do Maranhão";1;1;7;7;-;-;-;-;-;-;-;-;16
"210408 Fernando Falcão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210409 Formosa da Serra Negra";-;2;-;2;4;-;-;-;-;-;-;-;8
"210410 Fortaleza dos Nogueiras";5;9;3;2;-;-;-;1;-;-;-;-;20
"210420 Fortuna";-;1;3;17;6;6;2;-;-;-;-;1;36
"210455 Governador Edison Lobão";2;15;12;7;11;3;-;-;-;-;-;-;50
"210465 Governador Newton Bello";-;-;1;-;-;-;-;-;-;-;-;-;1
"210467 Governador Nunes Freire";1;-;5;151;4;-;-;-;-;-;-;1;162
"210470 Graça Aranha";-;-;-;1;1;-;-;-;-;-;-;-;2
"210480 Grajaú";-;13;8;60;2;-;-;-;-;-;-;-;83
"210510 Icatu";-;-;-;-;1;-;-;-;-;-;-;-;1
"210515 Igarapé do Meio";-;1;1;-;-;-;-;-;-;-;-;-;2
"210530 Imperatriz";13;80;199;144;42;20;4;5;1;1;3;2;514
"210535 Itaipava do Grajaú";2;45;48;30;3;-;1;-;-;-;-;-;129
"210540 Itapecuru Mirim";-;1;3;-;-;1;-;-;-;-;-;-;5
"210542 Itinga do Maranhão";-;1;-;1;-;-;-;-;-;-;-;-;2
"210547 Jenipapo dos Vieiras";-;1;-;-;-;-;-;-;-;-;-;-;1
"210550 João Lisboa";-;5;123;76;-;-;-;-;-;-;-;-;204
"210560 Joselândia";-;-;-;-;1;-;-;1;-;-;-;-;2
"210565 Junco do Maranhão";-;-;-;-;-;-;1;-;-;-;-;-;1
"210570 Lago da Pedra";-;-;2;1;6;1;-;-;-;-;-;-;10
"210594 Lago dos Rodrigues";-;-;3;9;-;-;-;-;-;-;-;-;12
"210590 Lago Verde";-;-;-;2;-;-;-;-;-;-;-;-;2
"210598 Lajeado Novo";1;-;3;1;-;-;-;-;-;-;-;-;5
"210600 Lima Campos";-;-;-;-;-;1;-;-;-;-;-;-;1
"210650 Matinha";-;-;-;-;-;-;-;-;-;-;1;-;1
"210660 Matões";-;-;-;-;2;-;-;-;-;-;-;-;2
"210663 Matões do Norte";-;1;-;-;-;-;-;-;-;-;-;-;1
"210690 Monção";-;-;-;1;-;1;-;-;-;-;-;-;2
"210720 Nina Rodrigues";-;2;-;-;-;-;-;-;-;-;-;-;2
"210725 Nova Colinas";-;-;-;-;1;1;-;-;-;-;-;-;2
"210730 Nova Iorque";-;-;-;-;2;4;1;-;-;-;-;-;7
"210735 Nova Olinda do Maranhão";-;52;48;16;-;-;-;-;-;-;-;-;116
