DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Rondônia
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2011
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110040 Alto Paraíso";1;2;2;2;6;-;-;-;-;-;-;-;13
"110034 Alvorada D'Oeste";73;49;72;20;20;11;8;2;3;7;6;2;273
"110002 Ariquemes";6;5;5;2;-;-;-;-;1;-;-;1;20
"110045 Buritis";7;17;11;11;2;-;-;-;-;-;-;1;49
"110003 Cabixi";-;2;8;1;-;-;-;-;-;-;3;-;14
"110004 Cacoal";4;6;8;4;2;1;-;1;3;5;1;2;37
"110070 Campo Novo de Rondônia";7;22;13;15;1;-;-;-;-;-;-;-;58
"110080 Candeias do Jamari";1;1;1;-;1;1;-;-;1;-;-;-;6
"110005 Cerejeiras";41;31;20;26;2;-;-;2;2;-;5;24;153
"110092 Chupinguaia";-;2;2;2;-;-;1;1;-;3;-;-;11
"110006 Colorado do Oeste";56;10;21;9;2;-;-;-;-;-;-;8;106
"110007 Corumbiara";4;8;10;4;-;-;-;-;-;-;1;1;28
"110008 Costa Marques";1;23;6;4;-;-;-;-;-;-;-;-;34
"110094 Cujubim";-;-;-;-;1;-;-;1;-;-;-;-;2
"110009 Espigão D'Oeste";9;17;11;14;2;-;-;-;-;-;1;4;58
"110100 Governador Jorge Teixeira";-;1;-;-;-;-;-;-;-;-;-;-;1
"110010 Guajará-Mirim";1;3;2;-;3;-;-;-;1;-;-;1;11
"110110 Itapuã do Oeste";-;-;1;2;-;-;-;1;-;-;-;-;4
"110011 Jaru";-;2;8;3;1;-;-;-;-;-;-;-;14
"110012 Ji-Paraná";7;-;-;1;1;-;-;2;4;3;-;-;18
"110013 Machadinho D'Oeste";2;1;5;-;-;-;-;-;2;-;1;2;13
"110120 Ministro Andreazza";1;-;-;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";38;19;5;5;3;-;-;-;-;-;-;5;75
"110014 Nova Brasilândia D'Oeste";66;32;80;85;13;-;-;1;1;-;-;4;282
"110033 Nova Mamoré";1;-;-;1;-;1;1;-;1;-;-;-;5
"110143 Nova União";7;-;3;2;-;-;-;-;-;-;-;-;12
"110050 Novo Horizonte do Oeste";16;7;8;4;-;-;-;-;-;-;-;3;38
"110015 Ouro Preto do Oeste";-;-;1;3;2;1;1;3;-;-;-;-;11
"110018 Pimenta Bueno";-;2;-;1;1;1;-;2;-;-;-;-;7
"110146 Pimenteiras do Oeste";1;3;-;-;-;-;-;-;-;-;-;-;4
"110020 Porto Velho";7;10;12;5;2;-;2;1;-;1;-;2;42
"110025 Presidente Médici";2;1;-;-;-;-;-;-;1;-;-;1;5
"110026 Rio Crespo";1;-;2;1;-;-;-;-;-;-;-;-;4
"110028 Rolim de Moura";-;2;1;1;-;-;-;-;-;-;-;-;4
"110029 Santa Luzia D'Oeste";-;-;2;-;-;-;-;-;-;-;-;-;2
"110149 São Francisco do Guaporé";15;6;6;3;-;-;1;-;-;1;5;-;37
"110032 São Miguel do Guaporé";3;2;1;5;3;-;-;-;-;1;-;-;15
"110150 Seringueiras";-;-;3;1;-;-;-;-;-;-;-;-;4
"110160 Theobroma";-;-;-;-;-;-;-;-;1;-;-;-;1
"110170 Urupá";1;-;-;-;-;-;-;-;-;-;-;-;1
"110175 Vale do Anari";1;1;3;-;-;-;-;-;-;-;-;-;5
"110030 Vilhena";22;18;20;7;5;-;-;4;2;6;3;3;90
"120040 Rio Branco";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 Manaus";-;1;-;-;-;-;-;-;-;-;-;-;1
"411370 Londrina";-;1;-;-;-;-;-;-;-;-;-;-;1
"510250 Cáceres";-;-;-;1;-;-;-;-;-;-;-;-;1
"510787 Sapezal";1;-;-;-;-;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";294;253;317;211;98;28;18;38;54;45;4;23;1383
"Total";698;560;671;456;171;44;32;59;77;72;30;87;2957
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
