DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2013
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110010 Guajará-Mirim";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 Manaus";1;1;-;1;-;-;-;-;-;-;-;-;3
"150010 Abaetetuba";2;1;-;1;1;-;1;-;-;-;-;-;6
"150013 Abel Figueiredo";-;-;2;-;2;-;-;-;-;1;1;-;6
"150020 Acará";-;-;-;1;1;-;-;-;-;-;1;5;8
"150034 Água Azul do Norte";-;-;1;1;1;-;-;-;-;-;-;-;3
"150040 Alenquer";-;-;-;-;1;-;-;-;-;-;-;-;1
"150050 Almeirim";1;-;-;-;-;-;-;-;-;-;-;-;1
"150060 Altamira";56;78;59;23;8;4;3;3;1;11;6;5;257
"150070 Anajás";-;-;-;8;-;-;-;-;-;-;-;-;8
"150080 Ananindeua";1;-;-;-;-;-;-;-;-;-;-;-;1
"150085 Anapu";2;-;26;9;1;1;-;1;-;4;2;2;48
"150090 Augusto Corrêa";1;-;-;3;-;-;-;-;-;-;-;-;4
"150125 Bannach";-;-;1;3;-;1;-;-;-;-;-;-;5
"150130 Barcarena";12;7;5;12;1;-;-;-;-;-;-;-;37
"150140 Belém";18;37;30;25;9;2;4;9;9;6;5;-;154
"150145 Belterra";14;10;18;5;-;-;-;-;-;-;-;-;47
"150150 Benevides";-;3;-;-;-;-;-;-;-;-;-;-;3
"150170 Bragança";1;2;2;1;2;1;-;-;1;-;-;-;10
"150172 Brasil Novo";-;3;15;60;15;6;1;-;-;-;2;1;103
"150178 Breu Branco";-;1;2;8;9;1;-;-;-;-;-;-;21
"150180 Breves";-;6;5;-;-;-;2;-;-;-;1;-;14
"150190 Bujaru";1;-;1;-;-;-;-;-;-;-;-;-;2
"150195 Cachoeira do Piriá";-;-;2;-;1;-;-;-;-;-;-;-;3
"150210 Cametá";-;5;2;1;4;1;2;-;-;-;-;-;15
"150215 Canaã dos Carajás";3;25;34;44;9;2;2;3;-;1;1;-;124
"150220 Capanema";-;1;2;2;-;-;-;-;1;-;-;-;6
"150230 Capitão Poço";1;-;-;-;-;-;-;1;-;-;-;-;2
"150240 Castanhal";1;5;9;27;9;2;-;1;3;-;-;-;57
"150270 Conceição do Araguaia";23;36;42;23;12;12;-;-;-;-;1;2;151
"150276 Cumaru do Norte";2;-;-;3;1;-;-;-;-;-;-;1;7
"150290 Curuçá";-;4;-;-;1;-;-;-;-;-;-;-;5
"150293 Dom Eliseu";2;5;8;9;3;-;-;-;-;1;1;4;33
"150295 Eldorado do Carajás";1;-;-;1;-;-;-;-;-;-;-;-;2
"150307 Garrafão do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;2;-;1;-;-;-;-;1;-;-;-;4
"150330 Igarapé-Miri";7;6;8;2;-;-;-;-;1;-;-;-;24
"150340 Inhangapi";-;1;1;1;-;-;-;-;-;-;-;-;3
"150345 Ipixuna do Pará";3;2;6;5;1;1;-;-;1;-;-;-;19
"150350 Irituia";30;7;7;4;-;1;-;-;-;-;-;1;50
"150360 Itaituba";107;40;12;32;18;2;-;2;1;1;2;7;224
"150370 Itupiranga";32;46;33;17;13;1;2;4;6;5;2;4;165
"150375 Jacareacanga";-;-;-;-;-;2;-;-;-;-;-;-;2
"150380 Jacundá";3;1;-;-;1;-;-;-;-;-;-;-;5
"150390 Juruti";170;105;41;-;-;-;-;-;3;4;15;30;368
"150405 Mãe do Rio";1;-;-;-;-;-;-;-;-;-;-;-;1
"150420 Marabá";7;18;38;15;3;1;1;2;1;2;3;2;93
"150430 Maracanã";-;-;-;1;-;-;-;-;-;-;-;-;1
"150442 Marituba";7;13;17;-;3;-;1;-;-;-;-;-;41
"150445 Medicilândia";-;2;19;8;-;-;-;-;-;-;-;-;29
"150470 Moju";-;-;-;-;-;-;-;-;-;1;-;-;1
"150475 Mojuí dos Campos";-;-;2;-;1;-;-;-;-;-;-;-;3
"150480 Monte Alegre";20;43;62;35;2;1;-;-;-;-;-;-;163
"150490 Muaná";2;3;14;2;-;-;-;-;-;-;-;-;21
"150497 Nova Ipixuna";3;-;1;-;-;1;-;-;-;-;-;1;6
"150503 Novo Progresso";92;127;57;19;3;4;2;-;-;-;1;3;308
"150506 Novo Repartimento";-;-;-;-;2;-;-;-;-;-;-;-;2
"150510 Óbidos";2;12;14;5;2;1;-;-;-;-;-;-;36
"150530 Oriximiná";33;182;104;16;23;4;4;-;4;2;7;3;382
"150543 Ourilândia do Norte";12;8;25;22;31;6;2;-;-;-;-;-;106
"150548 Pacajá";18;25;45;30;13;1;3;-;4;3;26;19;187
"150549 Palestina do Pará";1;3;6;4;10;7;-;1;-;-;-;-;32
"150550 Paragominas";11;30;33;12;3;3;-;2;-;1;1;-;96
"150553 Parauapebas";86;107;109;83;112;23;16;4;2;18;104;57;721
"150555 Pau D'Arco";5;1;-;2;-;-;-;-;-;-;-;-;8
"150563 Piçarra";1;-;1;-;-;-;-;-;-;-;-;-;2
"150565 Placas";-;-;-;4;4;1;2;2;-;-;-;1;14
"150570 Ponta de Pedras";-;-;-;1;4;-;-;2;1;-;1;-;9
"150580 Portel";76;60;23;-;-;2;-;-;1;-;-;2;164
"150590 Porto de Moz";1;-;-;-;-;-;-;-;-;-;-;-;1
"150600 Prainha";25;41;31;48;9;3;-;-;-;-;-;-;157
"150610 Primavera";-;-;-;-;-;-;-;-;-;1;-;-;1
"150613 Redenção";4;10;23;13;8;2;-;1;1;-;-;1;63
"150616 Rio Maria";45;5;-;10;-;-;-;-;-;-;-;1;61
"150618 Rondon do Pará";5;4;1;7;3;3;-;-;-;-;2;-;25
