DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2009
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130260 Manaus";-;-;1;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;4;4;-;-;-;1;-;-;-;-;9
"150013 Abel Figueiredo";9;3;2;3;2;-;1;-;-;-;-;-;20
"150020 Acará";-;-;5;2;-;-;-;-;-;-;-;-;7
"150030 Afuá";-;1;-;-;-;-;-;-;-;-;-;-;1
"150034 Água Azul do Norte";-;1;6;1;3;-;-;-;-;-;-;-;11
"150050 Almeirim";-;1;-;-;-;-;-;-;-;-;-;-;1
"150060 Altamira";1;-;1;2;-;-;2;1;7;155;169;69;407
"150080 Ananindeua";40;33;28;12;3;5;1;1;-;-;5;4;132
"150085 Anapu";-;-;-;-;2;-;-;-;-;-;-;-;2
"150090 Augusto Corrêa";15;3;1;-;-;-;-;-;-;-;-;2;21
"150095 Aurora do Pará";9;2;1;1;-;-;-;-;-;-;-;-;13
"150100 Aveiro";-;1;-;-;-;-;-;-;-;-;-;-;1
"150120 Baião";-;-;2;-;1;-;-;-;-;-;-;-;3
"150125 Bannach";-;1;3;2;3;-;-;-;-;-;-;-;9
"150130 Barcarena";12;18;5;2;1;-;-;1;-;-;-;1;40
"150140 Belém";93;191;248;113;71;52;21;25;12;17;18;13;874
"150145 Belterra";19;37;13;10;9;4;2;-;1;-;-;-;95
"150150 Benevides";3;3;3;3;5;2;-;1;-;-;-;-;20
"150157 Bom Jesus do Tocantins";2;21;9;9;9;2;1;-;-;1;-;-;54
"150170 Bragança";16;9;14;2;2;-;4;-;-;-;-;-;47
"150172 Brasil Novo";-;-;-;1;-;-;-;2;-;-;1;-;4
"150175 Brejo Grande do Araguaia";-;-;-;3;3;1;-;-;-;-;-;-;7
"150180 Breves";-;2;1;2;-;-;-;-;-;-;-;-;5
"150190 Bujaru";-;1;1;-;-;-;-;-;-;-;-;-;2
"150195 Cachoeira do Piriá";2;-;2;-;1;-;-;-;-;-;-;1;6
"150210 Cametá";1;5;3;-;-;-;-;-;-;-;-;-;9
