DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Sorotipo                     
Período:2018
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"150420 Marabá";1;-;-;1
"150810 Tucuruí";1;-;-;1
"170025 Abreulândia";1;-;-;1
"170040 Almas";1;-;-;1
"170070 Alvorada";1;-;-;1
"170100 Ananás";2;-;-;2
"170200 Araguaçu";1;-;-;1
"170210 Araguaína";401;-;1;402
"170215 Araguanã";1;-;-;1
"170220 Araguatins";1;-;-;1
"170230 Arapoema";5;-;-;5
"170240 Arraias";16;-;-;16
"170290 Axixá do Tocantins";1;-;-;1
"170300 Babaçulândia";1;-;-;1
"170310 Barrolândia";1;-;-;1
"170320 Bernardo Sayão";5;-;-;5
"170370 Brejinho de Nazaré";3;-;-;3
"170384 Campos Lindos";9;-;-;9
"170386 Cariri do Tocantins";42;-;-;42
"170389 Carrasco Bonito";1;-;-;1
"170510 Chapada da Natividade";9;-;-;9
"170550 Colinas do Tocantins";1;-;1;2
"170555 Combinado";25;-;-;25
"170560 Conceição do Tocantins";1;-;-;1
"170600 Couto Magalhães";3;-;-;3
"170700 Dianópolis";18;-;-;18
"170710 Divinópolis do Tocantins";13;-;-;13
"170720 Dois Irmãos do Tocantins";2;-;-;2
"170740 Esperantina";10;-;-;10
"170765 Figueirópolis";5;-;-;5
"170770 Filadélfia";2;-;-;2
"170820 Formoso do Araguaia";28;-;-;28
"170825 Fortaleza do Tabocão";4;-;-;4
"170900 Goiatins";1;-;-;1
"170930 Guaraí";7;-;-;7
"170950 Gurupi";38;-;-;38
"170980 Ipueiras";1;-;-;1
"171050 Itacajá";12;-;-;12
"171090 Itapiratins";1;-;-;1
"171110 Itaporã do Tocantins";1;-;-;1
"171150 Jaú do Tocantins";2;-;-;2
"171200 Lajeado";3;-;-;3
"171245 Luzinópolis";3;-;-;3
"171250 Marianópolis do Tocantins";3;-;-;3
"171320 Miracema do Tocantins";3;-;1;4
"171330 Miranorte";2;-;-;2
"171360 Monte do Carmo";7;-;-;7
"171370 Monte Santo do Tocantins";1;-;-;1
"171395 Muricilândia";1;-;-;1
"171420 Natividade";20;-;3;23
"171430 Nazaré";2;-;-;2
"171488 Nova Olinda";9;-;-;9
"171550 Oliveira de Fátima";5;-;-;5
"172100 Palmas";58;-;12;70
"171570 Palmeirante";2;-;-;2
"171575 Palmeirópolis";11;-;-;11
"171610 Paraíso do Tocantins";7;-;-;7
"171620 Paranã";1;-;-;1
"171650 Pedro Afonso";3;-;-;3
"171660 Peixe";1;-;-;1
"171750 Pium";1;-;-;1
"171780 Ponte Alta do Bom Jesus";1;-;-;1
"171790 Ponte Alta do Tocantins";2;-;-;2
"171800 Porto Alegre do Tocantins";5;-;-;5
"171820 Porto Nacional";79;-;-;79
"171830 Praia Norte";3;-;-;3
"171845 Pugmil";1;-;-;1
"171870 Rio dos Bois";9;-;-;9
"171875 Rio Sono";1;-;-;1
"171886 Santa Fé do Araguaia";2;-;-;2
"171888 Santa Maria do Tocantins";2;-;-;2
"171890 Santa Rosa do Tocantins";4;-;-;4
"171900 Santa Tereza do Tocantins";1;-;-;1
"172000 Santa Terezinha do Tocantins";2;-;-;2
"172025 São Salvador do Tocantins";1;-;-;1
"172049 São Valério";1;-;-;1
"172065 Silvanópolis";2;-;-;2
"172090 Taguatinga";4;-;-;4
"172093 Taipas do Tocantins";1;-;-;1
"172097 Talismã";36;-;-;36
"172110 Tocantínia";2;-;-;2
"172120 Tocantinópolis";18;-;-;18
"172208 Wanderlândia";1;-;-;1
"172210 Xambioá";1;-;-;1
"291955 Luís Eduardo Magalhães";1;-;-;1
"520450 Caldas Novas";1;-;-;1
"520870 Goiânia";3;-;-;3
"000000 Ignorado ou exterior";1671;9;113;1793
"Total";2677;9;131;2817
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
