DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Rondônia
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2009
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;1;8;7;4;6;13;9;10;21;48;16;144
"110037 Alto Alegre dos Parecis";-;-;-;2;1;-;-;-;2;1;1;1;8
"110040 Alto Paraíso";-;1;3;-;-;-;-;-;-;-;2;1;7
"110034 Alvorada D'Oeste";30;73;12;3;9;5;-;-;-;1;-;2;135
"110002 Ariquemes";56;145;172;35;10;4;6;4;5;10;19;32;498
"110045 Buritis";6;2;15;1;-;-;-;-;-;14;218;307;563
"110003 Cabixi";4;-;3;-;1;-;-;1;-;-;-;4;13
"110060 Cacaulândia";1;-;3;-;-;-;-;-;-;-;1;1;6
"110004 Cacoal";12;20;52;81;174;157;129;83;50;121;266;445;1590
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;-;-;-;-;1;1
"110080 Candeias do Jamari";2;1;1;1;-;-;-;-;-;-;1;23;29
"110090 Castanheiras";2;-;1;1;-;-;-;-;-;-;-;2;6
"110005 Cerejeiras";17;61;73;29;10;-;6;2;2;-;6;4;210
"110092 Chupinguaia";-;37;32;29;6;9;6;2;3;2;-;1;127
"110006 Colorado do Oeste";8;8;53;19;19;9;5;1;-;2;13;79;216
"110008 Costa Marques";1;-;8;7;5;2;-;-;-;-;-;-;23
"110094 Cujubim";-;-;-;1;-;-;-;-;-;-;2;2;5
"110009 Espigão D'Oeste";7;16;20;19;56;21;10;6;5;15;45;347;567
"110100 Governador Jorge Teixeira";1;3;-;-;-;-;-;1;-;10;65;64;144
"110010 Guajará-Mirim";106;92;116;44;16;6;1;-;-;12;75;88;556
"110110 Itapuã do Oeste";1;-;-;-;-;-;-;1;-;-;2;14;18
"110011 Jaru";3;3;1;4;5;5;16;2;23;278;1272;892;2504
"110012 Ji-Paraná";2;8;18;15;14;18;3;26;36;46;38;23;247
"110013 Machadinho D'Oeste";2;4;2;1;27;19;-;8;19;47;201;139;469
"110120 Ministro Andreazza";-;-;-;-;1;-;-;-;4;1;15;67;88
"110130 Mirante da Serra";-;-;-;-;-;-;3;10;10;59;136;12;230
"110140 Monte Negro";-;1;3;1;-;-;-;-;-;-;-;7;12
"110014 Nova Brasilândia D'Oeste";1;3;-;1;1;1;1;1;1;1;9;97;117
"110033 Nova Mamoré";2;-;6;2;-;-;1;1;-;-;4;4;20
"110143 Nova União";3;2;-;7;1;1;-;-;1;64;111;134;324
"110050 Novo Horizonte do Oeste";1;-;12;1;-;-;-;32;4;2;-;25;77
"110015 Ouro Preto do Oeste";14;36;112;17;14;7;12;8;3;11;89;207;530
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;1;-;1
"110018 Pimenta Bueno";2;6;10;1;1;1;1;11;20;21;193;195;462
"110020 Porto Velho";17;20;19;5;8;7;11;10;26;51;240;601;1015
"110025 Presidente Médici";1;2;4;1;-;-;-;1;-;-;2;7;18
"110147 Primavera de Rondônia";1;1;-;-;-;-;-;-;-;-;1;-;3
"110026 Rio Crespo";-;-;1;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;1;16;16;7;3;5;5;4;10;183;465;715
"110029 Santa Luzia D'Oeste";-;-;4;4;2;1;1;-;2;3;26;124;167
"110148 São Felipe D'Oeste";-;-;2;2;-;-;2;13;5;12;8;5;49
"110149 São Francisco do Guaporé";-;2;-;-;-;-;-;-;-;-;-;4;6
"110032 São Miguel do Guaporé";13;27;67;69;25;-;2;2;2;-;-;2;209
"110150 Seringueiras";50;57;5;1;-;1;-;-;-;-;3;5;122
"110155 Teixeirópolis";11;63;32;3;1;-;-;-;-;-;1;28;139
"110160 Theobroma";2;1;-;1;-;-;-;-;-;1;20;24;49
"110170 Urupá";-;-;-;1;-;-;-;-;-;-;2;3;6
"110175 Vale do Anari";1;2;13;-;-;3;-;7;7;30;71;37;171
"110030 Vilhena";150;141;172;154;84;15;17;1;6;11;46;97;894
"110000 Município ignorado - RO";-;-;-;-;-;1;-;-;-;-;-;-;1
"120040 Rio Branco";1;-;-;-;-;-;-;-;-;-;-;-;1
"130240 Lábrea";-;-;-;-;-;-;-;-;-;-;1;-;1
"140010 Boa Vista";-;-;1;-;-;-;-;-;-;-;-;-;1
"320080 Baixo Guandu";2;-;-;-;-;-;-;-;-;-;-;-;2
"320130 Cariacica";-;-;-;-;1;-;-;-;-;-;-;-;1
"330455 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;1;1
"410720 Dois Vizinhos";1;-;-;-;-;-;-;-;-;-;-;-;1
"510140 Aripuanã";-;-;-;-;-;-;-;-;-;-;-;1;1
"510268 Campos de Júlio";-;1;1;-;1;-;-;-;-;-;-;-;3
"510330 Comodoro";1;-;2;1;-;-;-;-;1;-;-;-;5
"510340 Cuiabá";-;1;-;-;-;-;-;-;-;-;1;-;2
"510515 Juína";-;1;-;-;-;-;-;-;-;-;-;-;1
"510675 Pontes e Lacerda";-;-;-;-;-;-;-;-;-;-;-;1;1
"510790 Sinop";-;-;-;-;-;-;-;1;-;-;-;-;1
"520870 Goiânia";-;1;-;-;-;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";241;397;1143;308;197;114;64;70;80;337;968;1332;5251
"Total";777;1241;2218;895;701;416;315;319;331;1194;4406;5973;18786
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
