DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Rondônia
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2012
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;-;2;-;-;-;-;-;-;-;-;1;4
"110037 Alto Alegre dos Parecis";1;-;-;-;-;-;-;-;-;-;-;4;5
"110040 Alto Paraíso";-;1;1;1;6;4;2;1;-;3;3;4;26
"110034 Alvorada D'Oeste";4;2;6;1;4;1;12;2;3;2;6;41;84
"110002 Ariquemes";-;-;-;-;1;-;-;-;-;-;-;1;2
"110045 Buritis";3;2;2;1;-;3;2;3;4;2;-;-;22
"110003 Cabixi";1;2;4;6;8;-;2;7;1;1;3;6;41
"110004 Cacoal";1;2;1;1;2;1;1;-;1;-;2;4;16
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;-;-;-;-;1;1
"110080 Candeias do Jamari";1;1;-;-;-;-;1;-;-;-;-;-;3
"110090 Castanheiras";-;-;-;1;-;-;1;-;-;-;-;-;2
"110005 Cerejeiras";20;21;18;11;5;6;4;1;2;-;8;8;104
"110092 Chupinguaia";-;2;-;2;-;3;1;5;1;2;2;-;18
"110006 Colorado do Oeste";-;1;1;-;2;2;2;1;-;-;-;2;11
"110007 Corumbiara";4;13;15;12;-;4;1;1;-;-;-;4;54
"110008 Costa Marques";-;-;1;-;-;-;-;-;-;-;-;-;1
"110094 Cujubim";-;1;-;-;-;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";1;1;2;2;2;-;2;7;6;6;6;16;51
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;-;2;-;2
"110010 Guajará-Mirim";1;-;-;2;1;2;1;4;4;4;13;2;34
"110110 Itapuã do Oeste";-;-;-;-;-;1;-;-;-;1;2;-;4
"110011 Jaru";-;1;1;1;-;-;-;-;-;1;-;1;5
"110012 Ji-Paraná";1;-;2;1;-;-;-;-;-;-;-;1;5
"110013 Machadinho D'Oeste";1;1;-;-;-;-;-;-;-;-;1;1;4
"110120 Ministro Andreazza";-;1;-;-;-;-;-;-;-;-;-;5;6
"110014 Nova Brasilândia D'Oeste";2;3;1;-;3;2;1;1;-;-;1;-;14
"110033 Nova Mamoré";-;-;-;-;-;-;-;-;1;1;-;-;2
"110143 Nova União";-;-;-;-;-;-;-;-;-;-;-;1;1
"110015 Ouro Preto do Oeste";-;1;4;-;-;-;-;-;-;1;-;1;7
"110145 Parecis";3;1;8;2;-;-;-;-;-;-;-;-;14
"110018 Pimenta Bueno";1;-;-;-;-;-;-;-;-;-;-;-;1
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;-;1;1
"110020 Porto Velho";5;-;3;1;-;2;1;1;-;-;2;9;24
"110025 Presidente Médici";-;-;-;-;-;-;-;-;-;-;-;1;1
"110026 Rio Crespo";-;-;-;-;-;-;-;-;-;1;-;-;1
"110028 Rolim de Moura";-;1;-;6;7;2;3;17;1;5;14;37;93
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;-;-;-;-;1;1
"110148 São Felipe D'Oeste";3;2;2;-;2;4;1;-;-;-;-;-;14
"110149 São Francisco do Guaporé";1;-;-;-;-;-;-;-;-;-;4;4;9
"110032 São Miguel do Guaporé";24;7;1;-;1;-;-;-;-;-;-;3;36
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;1;-;1;5;7
"110160 Theobroma";-;1;-;-;-;-;-;-;-;-;-;-;1
"110170 Urupá";-;-;-;-;-;-;-;-;-;-;3;4;7
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;1;1
"110180 Vale do Paraíso";-;-;1;-;-;-;-;-;-;-;-;1;2
"110030 Vilhena";102;106;96;113;167;197;103;66;21;65;67;71;1174
"230440 Fortaleza";-;-;-;-;1;-;-;-;-;-;-;-;1
"510140 Aripuanã";-;-;1;-;-;-;-;-;-;-;-;-;1
"510268 Campos de Júlio";-;-;-;-;-;-;-;-;-;-;-;1;1
"510330 Comodoro";-;-;-;-;-;1;-;-;-;-;-;-;1
"510340 Cuiabá";-;-;-;-;1;-;-;-;-;-;-;-;1
"510795 Tangará da Serra";-;-;-;-;-;-;-;1;-;-;-;-;1
"000000 Ignorado ou exterior";85;126;202;131;76;58;71;60;45;75;166;197;1292
"Total";266;300;375;295;289;293;212;178;91;170;306;440;3215
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
