DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2010
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150420 Marabá";-;-;-;1;-;-;-;-;-;-;-;-;1
"170030 Aguiarnópolis";-;1;3;12;3;4;4;2;-;-;2;-;31
"170035 Aliança do Tocantins";3;1;5;2;1;-;-;-;-;-;-;-;12
"170040 Almas";1;7;16;36;6;1;1;-;1;-;11;2;82
"170070 Alvorada";3;4;-;1;-;-;-;-;-;-;-;-;8
"170100 Ananás";-;-;-;1;1;-;-;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";13;4;2;-;-;-;-;1;-;-;-;3;23
"170130 Aragominas";-;-;1;-;1;2;-;-;-;-;1;-;5
"170190 Araguacema";-;2;-;1;-;1;-;-;-;-;-;-;4
"170200 Araguaçu";76;49;83;77;54;11;1;-;-;6;34;14;405
"170210 Araguaína";13;5;14;19;14;17;3;6;3;6;18;35;153
"170220 Araguatins";-;-;2;-;1;-;-;-;-;-;-;-;3
"170230 Arapoema";53;17;7;-;-;-;-;2;-;-;-;8;87
"170240 Arraias";22;24;32;22;34;20;1;4;1;-;-;4;164
"170255 Augustinópolis";1;3;3;1;-;-;-;-;-;-;-;-;8
"170270 Aurora do Tocantins";8;12;5;2;1;-;-;-;-;-;-;-;28
"170290 Axixá do Tocantins";2;2;2;-;-;-;-;-;-;-;-;-;6
"170310 Barrolândia";-;-;1;5;-;-;-;-;-;-;-;-;6
"170320 Bernardo Sayão";-;8;18;1;-;-;-;-;-;-;-;-;27
"170330 Bom Jesus do Tocantins";-;-;-;1;2;-;-;-;-;-;-;-;3
"170360 Brasilândia do Tocantins";-;12;10;10;10;8;1;-;-;-;-;1;52
"170370 Brejinho de Nazaré";2;2;1;-;-;1;-;-;-;-;-;-;6
"170380 Buriti do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"170382 Cachoeirinha";-;-;-;-;-;-;-;-;-;-;-;1;1
"170384 Campos Lindos";18;10;10;5;6;2;-;-;-;-;1;2;54
"170386 Cariri do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"170388 Carmolândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"170389 Carrasco Bonito";-;-;-;-;-;-;-;-;1;-;-;-;1
"170390 Caseara";-;-;1;-;-;-;-;-;-;-;-;-;1
"170410 Centenário";2;-;1;8;1;6;-;-;-;-;-;-;18
"170460 Chapada de Areia";1;1;1;-;-;-;-;-;-;-;-;-;3
"170550 Colinas do Tocantins";16;40;73;69;48;7;2;3;1;1;-;4;264
"171670 Colméia";1;-;-;-;-;-;1;-;-;-;-;-;2
"170555 Combinado";-;2;10;6;3;-;-;-;-;-;-;-;21
"170600 Couto Magalhães";-;-;-;-;1;-;-;-;-;-;-;-;1
"170610 Cristalândia";-;3;7;11;6;2;-;-;-;-;1;-;30
"170700 Dianópolis";5;10;16;21;20;9;4;-;1;-;1;3;90
"170710 Divinópolis do Tocantins";-;2;3;8;9;3;3;3;-;-;-;-;31
"170720 Dois Irmãos do Tocantins";-;1;5;4;-;1;-;-;-;-;-;1;12
"170730 Dueré";1;4;3;6;7;2;-;-;-;-;9;11;43
"170755 Fátima";-;-;1;1;4;3;-;-;-;-;-;2;11
"170765 Figueirópolis";-;-;28;6;-;-;-;-;-;1;-;-;35
"170820 Formoso do Araguaia";-;2;2;-;-;-;-;2;-;-;1;1;8
"170830 Goianorte";1;-;2;-;1;-;-;-;4;-;4;-;12
"170930 Guaraí";-;1;2;2;1;3;1;-;-;-;4;-;14
"170950 Gurupi";19;51;71;59;38;4;2;4;6;3;30;29;316
"170980 Ipueiras";-;1;-;-;2;-;-;1;-;-;-;-;4
"171050 Itacajá";-;1;-;2;1;-;-;-;-;-;2;5;11
"171090 Itapiratins";-;-;-;-;1;-;-;-;-;-;5;-;6
"171110 Itaporã do Tocantins";1;-;1;1;1;-;-;-;-;-;-;-;4
"171150 Jaú do Tocantins";4;5;60;38;11;2;-;-;-;-;-;-;120
"171180 Juarina";3;15;8;-;-;-;-;-;-;-;-;-;26
"171195 Lagoa do Tocantins";-;2;-;-;1;1;-;-;-;-;3;-;7
"171200 Lajeado";4;3;5;9;-;-;-;-;-;-;-;-;21
"171215 Lavandeira";6;5;18;55;34;4;-;-;-;-;2;1;125
"171240 Lizarda";1;1;-;1;5;3;2;1;-;-;-;1;15
"171270 Mateiros";-;15;10;-;-;-;-;-;-;-;-;-;25
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;-;5;8;1;1;-;15
"171320 Miracema do Tocantins";-;3;10;8;4;-;1;1;2;3;1;1;34
"171330 Miranorte";25;13;12;19;4;1;-;2;-;-;9;10;95
"171360 Monte do Carmo";3;7;4;5;5;1;-;-;-;-;-;1;26
"171370 Monte Santo do Tocantins";1;5;5;7;-;-;-;-;-;-;-;-;18
"171395 Muricilândia";-;-;-;-;-;1;-;-;-;-;1;-;2
"171420 Natividade";-;3;20;21;14;4;-;-;-;-;1;-;63
"171488 Nova Olinda";1;-;1;8;1;-;1;1;-;1;1;1;16
"171510 Novo Acordo";5;65;47;7;3;-;-;-;-;-;1;7;135
"171515 Novo Alegre";-;1;3;2;8;4;1;-;-;-;-;-;19
"171550 Oliveira de Fátima";-;-;-;2;-;-;-;-;-;-;-;-;2
"172100 Palmas";428;442;536;525;407;186;60;23;7;17;74;73;2778
"171575 Palmeirópolis";12;51;60;44;8;1;-;-;1;-;-;-;177
"171610 Paraíso do Tocantins";90;98;77;87;53;37;18;5;3;2;16;8;494
"171630 Pau D'Arco";-;2;-;-;-;-;-;-;-;-;-;-;2
"171650 Pedro Afonso";1;2;5;10;3;1;-;-;-;-;1;-;23
"171660 Peixe";1;-;-;3;8;4;-;1;-;-;1;-;18
"171665 Pequizeiro";-;-;-;-;1;-;-;-;-;-;-;1;2
"171700 Pindorama do Tocantins";-;-;6;-;-;-;-;-;-;-;-;1;7
"171720 Piraquê";1;-;-;-;-;-;-;-;-;-;-;-;1
"171750 Pium";27;85;88;21;9;-;-;-;-;-;4;1;235
"171780 Ponte Alta do Bom Jesus";3;11;3;9;1;-;-;-;-;1;-;-;28
"171790 Ponte Alta do Tocantins";3;26;17;26;6;5;-;-;-;-;-;4;87
"171800 Porto Alegre do Tocantins";-;1;6;6;2;3;-;-;-;2;9;-;29
"171820 Porto Nacional";241;188;170;123;60;15;2;1;2;1;6;21;830
"171830 Praia Norte";-;-;1;1;-;1;-;-;-;-;-;-;3
"171845 Pugmil";-;-;-;-;-;-;-;-;-;1;13;1;15
"171850 Recursolândia";-;2;-;3;1;-;-;-;-;-;-;-;6
"171855 Riachinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"171875 Rio Sono";-;-;2;-;-;-;-;-;-;-;-;-;2
"171880 Sampaio";-;8;-;1;-;1;-;-;-;-;-;-;10
"171884 Sandolândia";11;22;24;14;8;1;-;-;-;-;-;-;80
"171888 Santa Maria do Tocantins";11;6;6;-;-;1;-;-;-;-;-;1;25
"171889 Santa Rita do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"171890 Santa Rosa do Tocantins";1;18;35;72;17;19;2;18;2;2;6;-;192
