DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 4";"Total"
"170025 Abreulândia";12;-;-;12
"170030 Aguiarnópolis";7;-;-;7
"170100 Ananás";2;-;-;2
"170105 Angico";1;-;-;1
"170110 Aparecida do Rio Negro";1;1;-;2
"170130 Aragominas";4;-;-;4
"170190 Araguacema";6;-;-;6
"170200 Araguaçu";331;-;-;331
"170210 Araguaína";479;-;2;481
"170215 Araguanã";5;-;-;5
"170220 Araguatins";13;-;-;13
"170230 Arapoema";2;-;-;2
"170240 Arraias";11;-;-;11
"170255 Augustinópolis";4;-;-;4
"170300 Babaçulândia";3;-;-;3
"170305 Bandeirantes do Tocantins";3;-;-;3
"170310 Barrolândia";9;-;-;9
"170320 Bernardo Sayão";2;-;-;2
"170330 Bom Jesus do Tocantins";1;-;-;1
"170360 Brasilândia do Tocantins";2;-;-;2
"170382 Cachoeirinha";1;-;-;1
"170384 Campos Lindos";3;-;-;3
"170386 Cariri do Tocantins";16;-;-;16
"170388 Carmolândia";1;-;-;1
"170460 Chapada de Areia";3;-;-;3
"170550 Colinas do Tocantins";10;-;-;10
"171670 Colméia";1;-;-;1
"170555 Combinado";5;-;-;5
"170560 Conceição do Tocantins";1;-;-;1
"170610 Cristalândia";1;-;-;1
"170650 Darcinópolis";1;-;-;1
"170700 Dianópolis";9;-;-;9
"170710 Divinópolis do Tocantins";23;-;-;23
"170720 Dois Irmãos do Tocantins";4;3;-;7
"170755 Fátima";1;-;-;1
"170820 Formoso do Araguaia";151;-;-;151
"170825 Fortaleza do Tabocão";1;-;-;1
"170830 Goianorte";2;-;-;2
"170900 Goiatins";13;-;-;13
"170930 Guaraí";28;-;-;28
"170950 Gurupi";29;-;-;29
"171050 Itacajá";13;-;-;13
"171070 Itaguatins";6;-;-;6
"171110 Itaporã do Tocantins";2;-;-;2
"171190 Lagoa da Confusão";1;-;-;1
"171280 Maurilândia do Tocantins";5;-;-;5
"171320 Miracema do Tocantins";46;-;-;46
"171330 Miranorte";75;-;-;75
"171395 Muricilândia";5;-;-;5
"171420 Natividade";1;-;-;1
"171488 Nova Olinda";2;-;-;2
"171500 Nova Rosalândia";2;-;-;2
"171515 Novo Alegre";1;-;-;1
"171525 Novo Jardim";7;-;-;7
"172100 Palmas";1093;-;3;1096
"171575 Palmeirópolis";32;-;-;32
"171610 Paraíso do Tocantins";143;-;-;143
"171620 Paranã";11;-;-;11
"171630 Pau D'Arco";1;-;-;1
"171650 Pedro Afonso";6;-;-;6
"171660 Peixe";2;-;-;2
"171750 Pium";38;-;-;38
"171780 Ponte Alta do Bom Jesus";1;-;-;1
"171820 Porto Nacional";62;-;-;62
"171840 Presidente Kennedy";1;-;-;1
"171845 Pugmil";3;-;-;3
"171865 Rio da Conceição";2;-;-;2
"171870 Rio dos Bois";3;-;-;3
"171875 Rio Sono";2;-;-;2
"171880 Sampaio";1;-;-;1
"171884 Sandolândia";24;-;-;24
"171886 Santa Fé do Araguaia";5;-;-;5
"172010 São Bento do Tocantins";1;-;-;1
"172020 São Miguel do Tocantins";2;-;-;2
"172025 São Salvador do Tocantins";7;-;-;7
"172049 São Valério";1;-;-;1
"172065 Silvanópolis";2;-;-;2
"172090 Taguatinga";6;-;-;6
"172097 Talismã";74;-;-;74
"172110 Tocantínia";5;-;-;5
"172120 Tocantinópolis";72;-;-;72
"172125 Tupirama";1;-;-;1
"172208 Wanderlândia";1;-;-;1
"520870 Goiânia";1;-;-;1
"522020 São Miguel do Araguaia";1;-;-;1
"000000 Ignorado ou exterior";732;5;-;737
"Total";3704;9;5;3718
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
