DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2015
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130255 Manaquiri";-;-;-;-;-;-;-;-;-;-;-;1;1
"150060 Altamira";-;-;1;-;-;-;-;-;-;-;-;-;1
"172020 São Miguel do Tocantins";-;-;-;-;-;-;-;1;-;-;-;-;1
"210005 Açailândia";15;2;5;5;-;-;-;-;-;-;-;-;27
"210030 Aldeias Altas";5;1;6;2;1;-;-;-;-;-;-;2;17
"210040 Altamira do Maranhão";-;-;-;-;1;-;-;-;-;-;-;-;1
"210047 Alto Alegre do Pindaré";-;-;-;-;-;-;-;-;-;-;-;1;1
"210050 Alto Parnaíba";-;-;-;-;1;-;-;-;-;-;-;1;2
"210060 Amarante do Maranhão";-;1;8;9;11;9;5;-;1;-;-;1;45
"210087 Araguanã";-;-;-;-;1;-;-;-;-;-;-;-;1
"210095 Arame";-;-;-;1;-;-;-;-;-;-;-;-;1
"210120 Bacabal";-;1;8;17;-;-;-;1;-;-;-;-;27
"210125 Bacabeira";-;6;-;3;1;-;-;-;-;-;-;-;10
"210140 Balsas";-;-;8;13;6;-;-;-;-;-;1;-;28
"210150 Barão de Grajaú";-;1;-;-;-;-;-;-;-;-;-;-;1
"210160 Barra do Corda";17;115;169;97;34;4;2;-;1;2;-;1;442
"210170 Barreirinhas";-;-;-;-;-;-;-;-;-;-;1;-;1
"210177 Bela Vista do Maranhão";-;-;5;1;1;-;-;-;-;-;-;-;7
"210193 Bernardo do Mearim";1;-;-;-;-;-;-;-;-;-;-;-;1
"210200 Bom Jardim";-;-;5;-;-;1;-;-;-;-;-;-;6
"210203 Bom Jesus das Selvas";-;-;5;1;-;-;-;-;-;-;-;-;6
"210207 Bom Lugar";-;-;6;-;-;1;-;-;-;-;-;-;7
"210210 Brejo";-;-;8;20;2;3;-;-;-;-;-;-;33
"210215 Brejo de Areia";-;1;-;-;-;-;-;-;-;-;-;-;1
"210232 Buriticupu";-;-;6;10;-;5;-;-;-;-;-;-;21
"210255 Campestre do Maranhão";-;11;141;85;19;3;2;-;-;-;-;-;261
"210270 Cantanhede";1;-;4;3;-;4;1;-;-;2;3;-;18
"210275 Capinzal do Norte";-;-;-;-;-;-;-;-;-;-;1;-;1
"210280 Carolina";1;3;3;7;11;6;2;-;-;-;-;-;33
"210300 Caxias";140;59;30;5;1;1;2;1;-;-;-;9;248
"210320 Chapadinha";4;15;-;-;-;2;-;-;-;-;-;1;22
"210325 Cidelândia";1;-;-;2;3;-;-;-;-;-;-;-;6
"210330 Codó";-;14;2;3;-;-;-;1;-;-;-;-;20
"210340 Coelho Neto";-;1;2;-;-;-;-;-;-;-;-;-;3
"210350 Colinas";-;2;-;-;-;-;-;-;-;-;-;-;2
"210355 Conceição do Lago-Açu";-;-;-;-;-;-;-;-;-;-;-;1;1
"210370 Cururupu";1;-;2;1;6;-;1;1;-;52;43;16;123
"210380 Dom Pedro";-;1;3;1;-;-;-;-;-;-;-;-;5
"210405 Estreito";-;-;2;2;-;-;-;-;-;-;-;-;4
"210407 Feira Nova do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210408 Fernando Falcão";-;2;8;-;-;-;-;-;-;-;-;-;10
"210409 Formosa da Serra Negra";-;2;1;2;1;-;-;-;-;-;-;-;6
"210420 Fortuna";-;3;7;-;-;-;-;-;-;-;-;-;10
"210455 Governador Edison Lobão";-;3;16;3;-;1;-;-;-;-;-;-;23
"210480 Grajaú";2;3;11;2;5;-;-;-;-;-;-;-;23
"210490 Guimarães";-;-;-;-;-;-;-;3;2;1;-;-;6
"210515 Igarapé do Meio";-;-;1;1;-;-;-;-;-;-;-;-;2
"210530 Imperatriz";6;6;71;41;17;9;2;4;3;-;2;2;163
"210535 Itaipava do Grajaú";-;2;5;-;-;-;-;-;-;-;-;-;7
"210550 João Lisboa";-;-;11;2;-;-;-;-;-;-;-;-;13
"210560 Joselândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"210565 Junco do Maranhão";-;-;-;-;1;-;-;-;-;-;-;-;1
"210570 Lago da Pedra";-;-;7;3;-;-;-;-;-;-;-;1;11
"210594 Lago dos Rodrigues";-;-;1;-;-;-;-;-;-;-;-;-;1
"210590 Lago Verde";-;-;1;-;-;-;-;-;-;-;-;-;1
"210598 Lajeado Novo";-;-;2;1;2;-;-;1;1;-;13;1;21
"210600 Lima Campos";-;-;-;1;-;-;-;-;-;-;-;-;1
"210630 Magalhães de Almeida";-;-;1;-;1;-;-;-;-;-;-;-;2
"210632 Maracaçumé";-;-;3;3;-;-;-;-;-;-;-;-;6
"210660 Matões";1;1;2;-;-;-;-;-;-;1;-;-;5
"210663 Matões do Norte";-;1;-;-;-;-;-;-;-;-;-;-;1
"210667 Milagres do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210670 Mirador";-;-;6;-;-;-;-;-;-;-;-;-;6
"210680 Mirinzal";-;1;-;-;-;-;-;-;2;-;-;-;3
"210690 Monção";-;-;1;-;-;-;-;-;-;-;-;-;1
"210700 Montes Altos";-;-;1;-;-;-;-;-;-;-;-;-;1
"210710 Morros";-;-;-;-;1;-;-;-;-;-;-;-;1
"210720 Nina Rodrigues";-;-;1;1;-;-;-;-;-;-;-;-;2
"210730 Nova Iorque";-;-;1;1;-;-;-;-;-;-;-;-;2
"210735 Nova Olinda do Maranhão";-;7;34;4;30;4;-;-;-;-;-;-;79
"210750 Paço do Lumiar";2;-;7;7;4;8;4;-;-;-;-;-;32
"210770 Paraibano";-;1;1;3;1;-;-;-;-;-;-;-;6
"210780 Parnarama";1;-;4;4;1;-;-;-;-;-;-;-;10
"210790 Passagem Franca";-;-;2;1;-;-;-;-;-;-;-;-;3
"210800 Pastos Bons";-;1;-;-;1;-;-;-;-;-;-;-;2
"210805 Paulino Neves";-;-;-;-;-;-;1;-;-;1;-;1;3
"210820 Pedreiras";-;-;3;21;7;2;-;-;-;-;-;-;33
"210825 Pedro do Rosário";-;-;10;-;-;-;-;-;-;-;-;-;10
"210840 Peri Mirim";1;-;-;-;-;4;-;-;-;-;-;1;6
"210845 Peritoró";-;-;7;3;4;-;-;-;-;-;-;-;14
"210850 Pindaré-Mirim";-;-;2;-;1;1;-;-;-;-;-;-;4
"210860 Pinheiro";106;3;-;1;-;-;-;-;-;-;-;8;118
"210890 Poção de Pedras";-;-;-;-;1;-;-;-;-;-;-;-;1
"210900 Porto Franco";-;2;4;9;-;1;1;-;-;-;-;1;18
"210905 Porto Rico do Maranhão";-;-;2;-;-;-;-;-;-;-;-;-;2
"210910 Presidente Dutra";-;-;10;7;2;-;-;-;-;-;-;-;19
"210927 Presidente Sarney";-;-;-;1;3;1;-;-;-;-;-;-;5
"210930 Presidente Vargas";-;-;6;1;2;-;1;-;-;-;-;-;10
"210950 Riachão";-;2;3;3;2;-;-;-;-;-;-;-;10
"210960 Rosário";1;-;13;-;-;-;-;-;-;-;-;-;14
"210980 Santa Helena";17;13;39;6;-;-;-;-;-;-;-;-;75
"210990 Santa Inês";1;2;8;9;3;-;2;-;-;-;-;-;25
"211000 Santa Luzia";-;1;-;-;-;-;-;-;-;-;-;-;1
"211003 Santa Luzia do Paruá";-;-;2;-;-;1;-;-;-;-;-;-;3
"211020 Santa Rita";-;3;-;-;-;-;-;-;-;-;-;-;3
"211060 São Bernardo";-;-;-;1;-;-;2;-;-;-;-;-;3
"211070 São Domingos do Maranhão";-;2;18;2;-;-;-;-;1;1;-;-;24
"211085 São Francisco do Brejão";-;-;1;1;1;-;-;1;-;-;2;-;6
"211105 São João do Paraíso";-;1;13;-;-;-;-;-;-;-;-;-;14
"211107 São João do Soter";1;-;-;-;-;-;-;-;-;-;-;-;1
"211110 São João dos Patos";-;-;-;2;1;-;-;-;-;-;-;-;3
"211120 São José de Ribamar";1;-;2;4;16;20;-;-;-;-;-;-;43
"211130 São Luís";20;4;27;39;36;92;10;-;-;-;-;2;230
"211160 São Raimundo das Mangabeiras";-;-;-;1;-;-;-;-;-;-;-;-;1
"211174 Senador Alexandre Costa";-;1;5;46;3;-;-;-;-;-;-;-;55
"211176 Senador La Rocque";-;-;1;1;-;-;-;-;-;-;-;-;2
"211180 Sítio Novo";-;-;1;2;-;-;-;-;-;-;-;1;4
"211200 Tasso Fragoso";-;-;-;2;1;1;-;-;-;4;5;12;25
"211220 Timon";3;15;14;5;3;-;-;-;1;-;-;-;41
"211223 Trizidela do Vale";-;-;-;2;-;-;-;-;-;-;-;-;2
"211230 Tuntum";2;3;20;42;1;-;-;-;-;-;-;-;68
"211250 Tutóia";-;-;-;-;-;1;-;-;-;-;-;-;1
"211260 Urbano Santos";-;-;-;13;6;1;-;-;-;-;-;-;20
"211270 Vargem Grande";1;19;17;-;-;-;-;-;-;-;-;2;39
"211280 Viana";-;-;-;-;1;-;-;-;-;-;-;-;1
"211400 Zé Doca";-;4;27;42;46;8;-;1;-;-;2;15;145
"221100 Teresina";-;-;1;-;-;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";198;340;1258;1147;614;261;180;160;145;139;213;414;5069
"Total";550;682;2151;1782;918;455;218;175;157;203;286;495;8072
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
