DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2019
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"210005 Açailândia";2;-;-;-;2
"210010 Afonso Cunha";1;-;-;-;1
"210020 Alcântara";1;-;-;-;1
"210030 Aldeias Altas";9;-;-;-;9
"210043 Alto Alegre do Maranhão";43;-;-;-;43
"210047 Alto Alegre do Pindaré";4;-;-;-;4
"210050 Alto Parnaíba";6;-;-;-;6
"210055 Amapá do Maranhão";1;-;-;-;1
"210060 Amarante do Maranhão";61;-;-;-;61
"210070 Anajatuba";1;-;-;-;1
"210080 Anapurus";52;-;-;-;52
"210083 Apicum-Açu";1;-;-;-;1
"210090 Araioses";1;-;-;-;1
"210100 Arari";5;-;-;-;5
"210110 Axixá";2;-;-;-;2
"210120 Bacabal";3;-;-;-;3
"210125 Bacabeira";7;-;-;-;7
"210130 Bacuri";1;-;-;-;1
"210135 Bacurituba";1;-;-;-;1
"210140 Balsas";38;-;-;-;38
"210150 Barão de Grajaú";15;1;-;-;16
"210160 Barra do Corda";515;1;5;-;521
"210170 Barreirinhas";4;-;-;-;4
"210210 Brejo";3;-;-;-;3
"210220 Buriti";9;-;-;-;9
"210232 Buriticupu";2;-;-;-;2
"210235 Buritirana";1;-;-;-;1
"210237 Cachoeira Grande";1;-;-;-;1
"210255 Campestre do Maranhão";5;-;-;-;5
"210270 Cantanhede";2;-;-;-;2
"210275 Capinzal do Norte";5;-;-;-;5
"210280 Carolina";10;-;-;-;10
"210300 Caxias";183;-;-;-;183
"210320 Chapadinha";30;-;-;-;30
"210325 Cidelândia";22;-;-;-;22
"210330 Codó";6;-;-;-;6
"210340 Coelho Neto";8;-;-;-;8
"210350 Colinas";156;-;-;-;156
"210360 Coroatá";4;-;-;-;4
"210370 Cururupu";2;-;-;-;2
"210375 Davinópolis";1;-;-;-;1
"210380 Dom Pedro";14;-;-;-;14
"210390 Duque Bacelar";6;-;-;-;6
"210400 Esperantinópolis";2;-;-;-;2
"210405 Estreito";30;-;-;-;30
"210407 Feira Nova do Maranhão";152;1;-;-;153
"210409 Formosa da Serra Negra";123;-;-;-;123
"210410 Fortaleza dos Nogueiras";8;-;-;-;8
"210420 Fortuna";4;-;-;-;4
"210430 Godofredo Viana";1;-;-;-;1
"210440 Gonçalves Dias";4;-;-;-;4
"210450 Governador Archer";1;-;-;-;1
"210455 Governador Edison Lobão";92;-;-;-;92
"210462 Governador Luiz Rocha";1;-;-;-;1
"210465 Governador Newton Bello";2;-;-;-;2
"210470 Graça Aranha";3;-;-;-;3
"210480 Grajaú";5;-;1;-;6
"210500 Humberto de Campos";2;-;-;-;2
"210510 Icatu";2;-;-;-;2
"210515 Igarapé do Meio";1;-;-;-;1
"210520 Igarapé Grande";56;-;-;-;56
"210530 Imperatriz";94;-;-;-;94
"210535 Itaipava do Grajaú";4;-;-;-;4
"210540 Itapecuru Mirim";22;-;-;-;22
"210542 Itinga do Maranhão";9;-;-;-;9
"210545 Jatobá";11;-;-;-;11
"210547 Jenipapo dos Vieiras";18;-;-;-;18
"210550 João Lisboa";2;-;-;-;2
"210560 Joselândia";3;-;-;-;3
"210570 Lago da Pedra";10;1;-;-;11
"210580 Lago do Junco";10;2;-;-;12
"210592 Lagoa do Mato";1;-;-;-;1
"210596 Lagoa Grande do Maranhão";32;-;-;-;32
"210598 Lajeado Novo";3;-;-;-;3
"210600 Lima Campos";2;-;-;-;2
"210630 Magalhães de Almeida";1;-;-;-;1
"210632 Maracaçumé";3;-;-;-;3
"210637 Maranhãozinho";1;-;-;-;1
"210640 Mata Roma";19;-;-;-;19
"210650 Matinha";2;-;-;-;2
"210660 Matões";4;-;-;-;4
"210670 Mirador";2;-;-;-;2
"210675 Miranda do Norte";3;-;-;-;3
"210680 Mirinzal";2;-;-;-;2
"210690 Monção";1;-;-;-;1
"210700 Montes Altos";22;-;-;-;22
"210710 Morros";1;-;-;-;1
"210725 Nova Colinas";7;-;-;-;7
"210730 Nova Iorque";2;-;-;-;2
"210745 Olinda Nova do Maranhão";1;-;-;-;1
"210750 Paço do Lumiar";51;1;-;-;52
"210770 Paraibano";5;-;-;-;5
"210790 Passagem Franca";1;-;-;-;1
"210800 Pastos Bons";1;-;-;-;1
"210805 Paulino Neves";2;-;-;-;2
"210810 Paulo Ramos";2;-;-;-;2
"210820 Pedreiras";2;-;-;-;2
"210845 Peritoró";9;-;-;-;9
"210850 Pindaré-Mirim";1;-;-;-;1
"210860 Pinheiro";3;-;-;-;3
"210890 Poção de Pedras";46;-;-;-;46
"210900 Porto Franco";9;-;-;-;9
"210910 Presidente Dutra";46;-;-;-;46
"210920 Presidente Juscelino";1;-;-;-;1
"210927 Presidente Sarney";8;-;-;-;8
"210945 Raposa";1;-;-;-;1
"210950 Riachão";9;-;-;-;9
"210955 Ribamar Fiquene";6;-;-;-;6
"210960 Rosário";9;-;-;-;9
"210970 Sambaíba";1;-;-;-;1
"210975 Santa Filomena do Maranhão";1;-;-;-;1
"210980 Santa Helena";2;-;-;-;2
"210990 Santa Inês";30;-;-;-;30
"211000 Santa Luzia";2;-;-;-;2
"211003 Santa Luzia do Paruá";3;-;-;-;3
"211010 Santa Quitéria do Maranhão";2;-;-;-;2
"211020 Santa Rita";6;-;-;-;6
"211023 Santana do Maranhão";1;-;-;-;1
"211027 Santo Amaro do Maranhão";1;-;-;-;1
"211040 São Benedito do Rio Preto";3;-;-;-;3
"211050 São Bento";1;-;-;-;1
"211060 São Bernardo";1;-;-;-;1
